Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4539186056,3.99824262547,0.000733247987336,0.0,4.58992532963,8.1892,141.366183112,131.097221674,3.33988,6.92908143778
 01/01  02:00:00,14.637149344,0.0,0.0,0.0,1.52997510988,7.4902,3.93197103499,0.0,3.33988,0.592091034987
 01/01  03:00:00,14.6511826574,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.6579472504,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8060502773,0.0,0.0,0.0,1.52997510988,7.4902,3.93194247867,0.0,3.33988,0.592062478674
 01/01  06:00:00,22.5854483624,3.99824262547,0.0137092507485,0.0,4.58992532963,8.1892,144.478554925,136.108854925,8.3497,0.02
 01/01  07:00:00,38.5427995655,3.99824262547,0.0109354373249,0.0,9.17985065927,19.4245,149.578294061,128.265068842,16.6994,4.61382521843
 01/01  08:00:00,42.8299962605,3.99824262547,0.00881606162922,0.0,9.17985065927,26.9147,142.600470441,112.938409504,25.0491,4.61296093701
 01/01  09:00:00,41.7793936777,3.99824262547,0.0,0.0,9.17985065927,26.9147,144.51883657,106.506019343,33.3988,4.61401722612
 01/01  10:00:00,34.2918060892,3.99824262547,0.0,0.0,9.17985065927,19.4245,140.284948755,111.195933515,25.0491,4.03991523967
 01/01  11:00:00,41.7924087077,3.99824262547,0.00621699047312,0.0,9.17985065927,26.9147,165.419531106,109.163500288,41.7485,14.5075308178
 01/01  12:00:00,42.5629697399,3.99824262547,0.0,0.0,9.17985065927,26.9147,159.088268583,103.4099887,41.7485,13.9297798833
 01/01  13:00:00,41.841577489,3.99824262547,0.0,0.0,9.17985065927,26.9147,150.320718338,96.9909218289,41.7485,11.5812965089
 01/01  14:00:00,34.315459841,3.99824262547,0.0,0.0,9.17985065927,19.4245,143.428069017,98.4498581043,33.3988,11.5794109127
 01/01  15:00:00,34.3190877392,3.99824262547,0.0,0.0,9.17985065927,19.4245,138.517849826,104.801363301,25.0491,8.66738652493
 01/01  16:00:00,34.3064992779,3.99824262547,0.0,0.0,9.17985065927,19.4245,149.130779232,107.064783905,33.3988,8.66719532687
 01/01  17:00:00,43.8484165902,3.99824262547,0.00575330369349,0.0,9.17985065927,26.9147,160.862748318,102.09801779,50.0982,8.66653052861
 01/01  18:00:00,45.9765480537,3.99824262547,0.00279598859956,0.0,9.17985065927,26.9147,161.553034659,99.8771527273,50.0982,11.5776819314
 01/01  19:00:00,45.9794689678,3.99824262547,0.0,0.0,9.17985065927,26.9147,157.047117065,93.0217251557,50.0982,13.9271919091
 01/01  20:00:00,38.62619006,3.99824262547,0.0,0.0,9.17985065927,19.4245,135.383432709,87.4742100781,33.3988,14.5104226307
 01/01  21:00:00,38.6101021793,3.99824262547,0.0,0.0,9.17985065927,19.4245,130.59033343,85.6151526858,33.3988,11.5763807442
 01/01  22:00:00,38.5397003782,3.99824262547,0.0,0.0,9.17985065927,19.4245,131.866831565,92.8920789411,25.0491,13.9256526244
 01/01  23:00:00,38.4287333834,3.99824262547,0.0,0.0,9.17985065927,19.4245,123.989554817,95.7105995053,16.6994,11.5795553119
 01/01  24:00:00,39.2374940058,3.99824262547,0.0,0.0,9.17985065927,19.4245,110.975150117,96.8553480731,8.3497,5.77010204407
 01/02  01:00:00,22.4784188601,3.99824262547,0.0,0.0,4.58992532963,8.1892,112.260034848,103.151870428,3.33988,5.76828441987
 01/02  02:00:00,14.6383393813,0.0,0.0,0.0,1.52997510988,7.4902,3.9319400734,0.0,3.33988,0.592060073395
 01/02  03:00:00,14.6615763551,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6783139196,0.0,0.0,0.0,1.52997510988,7.4902,3.93197183443,0.0,3.33988,0.592091834429
 01/02  05:00:00,14.8339683264,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.6091172136,3.99824262547,0.00815079371558,0.0,4.58992532963,8.1892,93.9014876554,85.5317876554,8.3497,0.02
 01/02  07:00:00,38.5744017804,3.99824262547,0.0148190215987,0.0,9.17985065927,19.4245,101.545568995,80.2318555436,16.6994,4.61431345168
 01/02  08:00:00,42.873319959,3.99824262547,0.0154200225241,0.0,9.17985065927,26.9147,113.087302389,70.5857574383,25.0491,17.4524449507
 01/02  09:00:00,41.8171482479,3.99824262547,0.0,0.0,9.17985065927,26.9147,118.066843423,69.5608824784,33.3988,15.1071609447
 01/02  10:00:00,34.3267702812,3.99824262547,0.0,0.0,9.17985065927,19.4245,118.818942525,80.4370980007,25.0491,13.3327445245
 01/02  11:00:00,41.8109756743,3.99824262547,0.00142980979687,0.0,9.17985065927,26.9147,141.339471668,88.1696431457,41.7485,11.421328522
 01/02  12:00:00,42.5815836172,3.99824262547,0.0,0.0,9.17985065927,26.9147,139.220297647,84.5593272249,41.7485,12.9124704218
 01/02  13:00:00,41.8566095266,3.99824262547,0.0,0.0,9.17985065927,26.9147,130.036843865,76.7092108378,41.7485,11.5791330275
 01/02  14:00:00,34.3322744396,3.99824262547,0.0,0.0,9.17985065927,19.4245,123.292848091,80.0603371145,33.3988,9.83371097614
 01/02  15:00:00,34.326221337,3.99824262547,0.0,0.0,9.17985065927,19.4245,120.720096492,87.0038924125,25.0491,8.6671040796
 01/02  16:00:00,34.3094462526,3.99824262547,0.0,0.0,9.17985065927,19.4245,135.984064357,93.918756405,33.3988,8.66650795193
 01/02  17:00:00,43.857554425,3.99824262547,0.00502619290337,0.0,9.17985065927,26.9147,153.049044529,94.2827244672,50.0982,8.66812006129
 01/02  18:00:00,45.9822203816,3.99824262547,0.0,0.0,9.17985065927,26.9147,151.733752972,90.0553526565,50.0982,11.5802003154
 01/02  19:00:00,45.9896831024,3.99824262547,0.00156289468578,0.0,9.17985065927,26.9147,149.805695227,84.018184092,50.0982,15.6893111352
 01/02  20:00:00,38.6297260637,3.99824262547,0.0,0.0,9.17985065927,19.4245,138.513086549,88.2413104607,33.3988,16.8729760878
 01/02  21:00:00,38.6099230479,3.99824262547,0.0,0.0,9.17985065927,19.4245,140.459301052,92.5486364204,33.3988,14.5118646317
 01/02  22:00:00,38.5371585246,3.99824262547,0.0,0.0,9.17985065927,19.4245,141.410566028,100.672797586,25.0491,15.6886684419
 01/02  23:00:00,38.4261446006,3.99824262547,0.0,0.0,9.17985065927,19.4245,133.749875539,104.298311637,16.6994,12.7521639018
 01/02  24:00:00,39.2353551301,3.99824262547,0.0,0.0,9.17985065927,19.4245,125.804898589,110.527008528,8.3497,6.92819006089
 01/03  01:00:00,22.4741879071,3.99824262547,0.0,0.0,4.58992532963,8.1892,127.456879843,117.771972915,3.33988,6.34502692804
 01/03  02:00:00,14.6286767753,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.648200182,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.6616897689,0.0,0.0,0.0,1.52997510988,7.4902,3.93196376863,0.0,3.33988,0.59208376863
 01/03  05:00:00,15.3284467715,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.1011298093,3.99824262547,0.0071054453889,0.0,4.58992532963,8.1892,128.699051053,119.757261402,8.3497,0.592089651693
 01/03  07:00:00,38.7764941291,3.99824262547,0.0107659027872,0.0,9.17985065927,19.4245,137.635450083,116.323411121,16.6994,4.61263896139
