Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.6818850344,3.99355996169,0.0,0.0,4.58992532963,8.1892,31.6348429579,21.3684803891,3.33988,6.92648256877
 01/01  02:00:00,14.8626252994,0.0,0.0,0.0,1.52997510988,7.4902,3.9319379984,0.0,3.33988,0.592057998404
 01/01  03:00:00,14.8877489703,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.8761882569,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.0026094191,0.0,0.0,0.0,1.52997510988,7.4902,3.93196977086,0.0,3.33988,0.592089770856
 01/01  06:00:00,22.741192607,3.99355996169,0.0,0.0,4.58992532963,8.1892,52.9787160579,44.6090160579,8.3497,0.02
 01/01  07:00:00,38.7076969112,3.99355996169,0.0210818414641,0.0,9.17985065927,19.4245,61.5051094059,40.1918715254,16.6994,4.61383788048
 01/01  08:00:00,42.9965783188,3.99355996169,0.0181668077561,0.0,9.17985065927,26.9147,58.2144329152,28.5523134179,25.0491,4.61301949728
 01/01  09:00:00,41.9293842451,3.99355996169,0.0,0.0,9.17985065927,26.9147,65.6692432775,27.6583766375,33.3988,4.61206664004
 01/01  10:00:00,34.4485493546,3.99355996169,0.0,0.0,9.17985065927,19.4245,61.4763137438,32.3878490739,25.0491,4.03936466992
 01/01  11:00:00,41.9588115384,3.99355996169,0.0124667932311,0.0,9.17985065927,26.9147,85.3002488611,29.0436903409,41.7485,14.5080585203
 01/01  12:00:00,42.6800736704,3.99355996169,0.0,0.0,9.17985065927,26.9147,80.166652184,24.4885257825,41.7485,13.9296264015
 01/01  13:00:00,42.0470832927,3.99355996169,0.0,0.0,9.17985065927,26.9147,63.5689971806,10.2391793473,41.7485,11.5813178333
 01/01  14:00:00,34.5742662484,3.99355996169,0.00192300657856,0.0,9.17985065927,19.4245,46.4192911114,1.44036253948,33.3988,11.5801285719
 01/01  15:00:00,34.5933918691,3.99355996169,0.0,0.0,9.17985065927,19.4245,33.901526479,0.185211353628,25.0491,8.66721512541
 01/01  16:00:00,34.5773912383,3.99355996169,0.0,0.0,9.17985065927,19.4245,44.6589959777,2.59317167324,33.3988,8.66702430443
 01/01  17:00:00,44.1111039022,3.99355996169,0.0172350896239,0.0,9.17985065927,26.9147,64.6898044949,5.92506390921,50.0982,8.66654058569
 01/01  18:00:00,46.2072524875,3.99355996169,0.0,0.0,9.17985065927,26.9147,69.2200569674,7.54199941804,50.0982,11.5798575493
 01/01  19:00:00,46.2097436948,3.99355996169,0.0,0.0,9.17985065927,26.9147,67.4394844316,3.41410643318,50.0982,13.9271779985
 01/01  20:00:00,38.8639434115,3.99355996169,0.0,0.0,9.17985065927,19.4245,50.7400530993,2.83084447755,33.3988,14.5104086217
 01/01  21:00:00,38.8491688383,3.99355996169,0.0,0.0,9.17985065927,19.4245,46.6806922245,1.70552244846,33.3988,11.5763697761
