Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4977651652,3.99254866455,0.0,0.0,4.58992532963,8.1892,81.5333829268,71.2670201332,3.33988,6.92648279361
 01/01  02:00:00,14.688680057,0.0,0.0,0.0,1.52997510988,7.4902,3.93193801389,0.0,3.33988,0.592058013888
 01/01  03:00:00,14.7184676011,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.735859304,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8871880345,0.0,0.0,0.0,1.52997510988,7.4902,3.93194393964,0.0,3.33988,0.592063939637
 01/01  06:00:00,22.6334354206,3.99254866455,0.0,0.0,4.58992532963,8.1892,82.6708927225,74.3011927225,8.3497,0.02
 01/01  07:00:00,38.6041259768,3.99254866455,0.0157169589331,0.0,9.17985065927,19.4245,89.8814450673,68.5682069741,16.6994,4.61383809315
 01/01  08:00:00,42.8925591648,3.99254866455,0.0130204098435,0.0,9.17985065927,26.9147,87.7916930003,58.1295732802,25.0491,4.61301972012
 01/01  09:00:00,41.8319385592,3.99254866455,0.0,0.0,9.17985065927,26.9147,96.7350145032,58.7241476364,33.3988,4.61206686682
 01/01  10:00:00,34.3488940474,3.99254866455,0.0,0.0,9.17985065927,19.4245,92.2241620368,63.1358486809,25.0491,4.03921335598
 01/01  11:00:00,41.8622265189,3.99254866455,0.0187830859964,0.0,9.17985065927,26.9147,116.256113498,60.0003452534,41.7485,14.5072682447
 01/01  12:00:00,42.6051077184,3.99254866455,0.0,0.0,9.17985065927,26.9147,110.522430729,54.8444095994,41.7485,13.9295211292
 01/01  13:00:00,41.9056285986,3.99254866455,0.0,0.0,9.17985065927,26.9147,101.985968475,48.654947311,41.7485,11.5825211644
 01/01  14:00:00,34.3820246923,3.99254866455,0.0,0.0,9.17985065927,19.4245,94.7656750675,49.7870499941,33.3988,11.5798250734
 01/01  15:00:00,34.3800962465,3.99254866455,0.0,0.0,9.17985065927,19.4245,87.2874556753,53.571205388,25.0491,8.66715028732
 01/01  16:00:00,34.3659908379,3.99254866455,0.0,0.0,9.17985065927,19.4245,97.0511508831,54.9853269736,33.3988,8.66702390953
 01/01  17:00:00,43.9178014658,3.99254866455,0.0107825451197,0.0,9.17985065927,26.9147,111.482788693,52.7184702781,50.0982,8.66611841533
 01/01  18:00:00,46.0301420005,3.99254866455,0.0,0.0,9.17985065927,26.9147,115.393853649,53.7157969857,50.0982,11.5798566633
 01/01  19:00:00,46.030568396,3.99254866455,0.0,0.0,9.17985065927,26.9147,115.276679402,51.251104628,50.0982,13.9273747739
 01/01  20:00:00,38.6720740918,3.99254866455,0.0,0.0,9.17985065927,19.4245,99.1079744742,51.1987714622,33.3988,14.510403012
 01/01  21:00:00,38.6552958935,3.99254866455,0.0,0.0,9.17985065927,19.4245,94.8764308077,49.9012654317,33.3988,11.576365376
 01/01  22:00:00,38.5854264466,3.99254866455,0.0,0.0,9.17985065927,19.4245,96.0469585647,57.0722241232,25.0491,13.9256344415
 01/01  23:00:00,38.4750556653,3.99254866455,0.0,0.0,9.17985065927,19.4245,88.938861027,60.6599203977,16.6994,11.5795406293
 01/01  24:00:00,39.2694865887,3.99254866455,0.0,0.0,9.17985065927,19.4245,75.0752553761,60.9554604931,8.3497,5.770094883
