Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.625281456,3.98799371799,0.0,0.0,4.58992532963,8.1892,44.1482116593,33.302449805,3.33988,7.50588185434
 01/01  02:00:00,14.8171041196,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.822137943,0.0,0.0,0.0,1.52997510988,7.4902,3.93194549261,0.0,3.33988,0.592065492608
 01/01  04:00:00,14.817479819,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9483396017,0.0,0.0,0.0,1.52997510988,7.4902,3.9319514041,0.0,3.33988,0.592071404097
 01/01  06:00:00,22.6697713298,3.98799371799,0.00230888082088,0.0,4.58992532963,8.1892,71.8631860162,63.4934860162,8.3497,0.02
 01/01  07:00:00,38.6211741076,3.98799371799,0.0163130585149,0.0,9.17985065927,19.4245,81.9969317588,60.682249854,16.6994,4.61528190481
 01/01  08:00:00,46.0840201145,3.98799371799,0.0138967776968,0.0,9.17985065927,26.9147,79.8595008836,49.620891364,25.0491,5.18950951967
 01/01  09:00:00,41.8488184416,3.98799371799,0.0,0.0,9.17985065927,26.9147,86.6221240593,48.6103305528,33.3988,4.61299350646
 01/01  10:00:00,34.361695997,3.98799371799,0.0,0.0,9.17985065927,19.4245,85.4293853842,55.7664163942,25.0491,4.61386898997
 01/01  11:00:00,41.8731394705,3.98799371799,0.0152908170375,0.0,9.17985065927,26.9147,108.493086429,51.6445191841,41.7485,15.100067245
 01/01  12:00:00,42.6175287338,3.98799371799,0.0,0.0,9.17985065927,26.9147,101.837671981,44.9872725286,41.7485,15.1018994528
 01/01  13:00:00,41.9288204335,3.98799371799,0.0,0.0,9.17985065927,26.9147,92.5770036978,38.6601133318,41.7485,12.168390366
 01/01  14:00:00,34.4101521121,3.98799371799,0.0,0.0,9.17985065927,19.4245,84.1936855436,38.6290802842,33.3988,12.1658052594
 01/01  15:00:00,34.4119358191,3.98799371799,0.0,0.0,9.17985065927,19.4245,78.0195939501,43.7214395125,25.0491,9.24905443753
 01/01  16:00:00,34.4031999306,3.98799371799,0.0,0.0,9.17985065927,19.4245,88.887800622,46.2401633719,33.3988,9.2488372501
 01/01  17:00:00,41.8369685075,3.98799371799,0.012983851063,0.0,9.17985065927,26.9147,102.388896241,43.0419293655,50.0982,9.24876687564
 01/01  18:00:00,45.014954138,3.98799371799,0.00226396752979,0.0,9.17985065927,26.9147,103.55642325,41.2910381567,50.0982,12.1671850931
 01/01  19:00:00,46.0786063485,3.98799371799,0.0,0.0,9.17985065927,26.9147,102.64030985,37.4416561885,50.0982,15.1004536613
 01/01  20:00:00,38.7210755726,3.98799371799,0.0,0.0,9.17985065927,19.4245,85.7397516546,37.2391728043,33.3988,15.1017788503
 01/01  21:00:00,38.7035427465,3.98799371799,0.0,0.0,9.17985065927,19.4245,81.2228794692,35.6582673712,33.3988,12.1658120981
 01/01  22:00:00,38.6426026272,3.98799371799,0.0,0.0,9.17985065927,19.4245,78.6159417959,38.4638604892,25.0491,15.1029813067
