Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4387885139,3.96478517047,0.0,0.0,4.58992532963,8.1892,99.0854471656,88.2390408577,3.33988,7.50652630784
 01/01  02:00:00,14.6591652634,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6827858661,0.0,0.0,0.0,1.52997510988,7.4902,3.93194485018,0.0,3.33988,0.59206485018
 01/01  04:00:00,14.6943871105,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8443191445,0.0,0.0,0.0,1.52997510988,7.4902,3.93195076505,0.0,3.33988,0.592070765051
 01/01  06:00:00,22.5720573067,3.96478517047,0.00604534828004,0.0,4.58992532963,8.1892,103.716746805,95.3470468049,8.3497,0.02
 01/01  07:00:00,38.5318168294,3.96478517047,0.0130977027164,0.0,9.17985065927,19.4245,110.580701799,89.2660247639,16.6994,4.61527703496
 01/01  08:00:00,42.824063462,3.96478517047,0.0114969162864,0.0,9.17985065927,26.9147,107.485766673,77.2471624145,25.0491,5.18950425851
 01/01  09:00:00,41.7721262617,3.96478517047,0.0031894614004,0.0,9.17985065927,26.9147,114.453785741,76.4419968569,33.3988,4.61298888415
 01/01  10:00:00,34.2832125292,3.96478517047,0.0,0.0,9.17985065927,19.4245,111.924519319,82.2615548398,25.0491,4.61386447937
 01/01  11:00:00,41.7919511508,3.96478517047,0.0153676751234,0.0,9.17985065927,26.9147,133.787115616,76.938059131,41.7485,15.1005564849
 01/01  12:00:00,42.5564573245,3.96478517047,0.0,0.0,9.17985065927,26.9147,126.782020783,69.9316463168,41.7485,15.1018744666
 01/01  13:00:00,41.8428608738,3.96478517047,0.0,0.0,9.17985065927,26.9147,117.547184534,63.6316686365,41.7485,12.167015898
 01/01  14:00:00,34.3178077682,3.96478517047,0.0,0.0,9.17985065927,19.4245,110.38967413,64.826231827,33.3988,12.164642303
 01/01  15:00:00,34.3215938281,3.96478517047,0.0,0.0,9.17985065927,19.4245,101.777037621,67.4780705296,25.0491,9.24986709174
 01/01  16:00:00,34.3072506747,3.96478517047,0.0,0.0,9.17985065927,19.4245,113.015746276,70.3676386556,33.3988,9.24930761998
 01/01  17:00:00,44.9166733901,3.96478517047,0.0133471580448,0.0,9.17985065927,26.9147,128.209573012,68.8626249159,50.0982,9.24874809628
 01/01  18:00:00,45.9769775625,3.96478517047,0.00375668150483,0.0,9.17985065927,26.9147,128.819655764,66.55559049,50.0982,12.1658652744
