Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4624518996,3.98795762053,0.00106964698429,0.0,4.58992532963,8.1892,104.428056079,93.5817987144,3.33988,7.50637736504
 01/01  02:00:00,14.6644457713,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6863723782,0.0,0.0,0.0,1.52997510988,7.4902,3.93194492619,0.0,3.33988,0.592064926194
 01/01  04:00:00,14.6943845126,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8421172812,0.0,0.0,0.0,1.52997510988,7.4902,3.93195084094,0.0,3.33988,0.592070840943
 01/01  06:00:00,22.5917419907,3.98795762053,0.00643952906471,0.0,4.58992532963,8.1892,103.254792472,94.8850924719,8.3497,0.02
 01/01  07:00:00,38.5520120308,3.98795762053,0.0126214570927,0.0,9.17985065927,19.4245,108.228947284,86.9142690958,16.6994,4.61527818862
 01/01  08:00:00,42.8392270891,3.98795762053,0.00675852017925,0.0,9.17985065927,26.9147,102.757281421,72.518635955,25.0491,5.18954546569
 01/01  09:00:00,41.7911034634,3.98795762053,0.0,0.0,9.17985065927,26.9147,107.431223723,69.4188909127,33.3988,4.61353281022
 01/01  10:00:00,34.3124590014,3.98795762053,0.0,0.0,9.17985065927,19.4245,98.5027844987,68.8388072433,25.0491,4.61487725534
 01/01  11:00:00,41.8335021641,3.98795762053,0.00956522648661,0.0,9.17985065927,26.9147,116.699777085,59.8501503666,41.7485,15.101126718
 01/01  12:00:00,42.5889806315,3.98795762053,0.0,0.0,9.17985065927,26.9147,112.196191716,55.346596702,41.7485,15.101095014
 01/01  13:00:00,41.8857684621,3.98795762053,0.0,0.0,9.17985065927,26.9147,103.78543625,49.8697494165,41.7485,12.167186834
 01/01  14:00:00,34.3671757436,3.98795762053,0.0,0.0,9.17985065927,19.4245,93.605698422,48.0422578956,33.3988,12.1646405264
 01/01  15:00:00,34.3758128538,3.98795762053,0.0,0.0,9.17985065927,19.4245,81.8879343138,47.5889855608,25.0491,9.24984875305
 01/01  16:00:00,34.3682109686,3.98795762053,0.0,0.0,9.17985065927,19.4245,90.9874268389,48.3393543308,33.3988,9.24927250811
