Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,541.751026368,96.6379150572,80.8307952903,0.0,34.9616554283,113.312780494,1384.79063041,1370.3932804,5.66466996096,8.7326800506
 01/01  02:00:00,485.201508723,96.6379150572,11.3583844285,0.0,34.9616554283,113.312780494,1716.79911106,1693.6903818,5.66466996096,17.4440592944
 01/01  03:00:00,486.708557999,96.6379150572,13.7462974799,0.0,34.9616554283,113.312780494,1333.87865846,1310.77173471,5.66466996096,17.4422537864
 01/01  04:00:00,507.964444045,96.6379150572,37.8964810338,0.0,34.9616554283,113.312780494,1041.21301667,1018.10463409,5.66466996096,17.4437126177
 01/01  05:00:00,530.380034555,96.6379150572,55.2350678899,0.0,44.4937663224,113.312780494,950.326400513,927.216756429,5.66466996096,17.4449741226
 01/01  06:00:00,537.337756102,96.6379150572,65.0577198086,0.0,44.4937663224,113.312780494,936.938541599,905.333819392,14.1616749024,17.4430473046
 01/01  07:00:00,609.329456268,96.6379150572,67.6720451234,0.0,54.0258772165,176.889270242,927.351385493,881.586850633,28.3233498048,17.4411850552
 01/01  08:00:00,613.431460442,96.6379150572,76.0349807331,0.0,54.0258772165,184.38654557,906.638213613,855.420012817,42.4850247072,8.73317608885
 01/01  09:00:00,705.20499132,96.6379150572,92.27370469,0.0,65.1572554096,220.04316451,862.181148151,779.246445695,56.6466996096,26.2880028458
 01/01  10:00:00,704.107980816,96.6379150572,100.92452781,0.0,65.1572554096,212.545889182,833.785678637,764.879118413,42.4850247072,26.4215355174
 01/01  11:00:00,712.040421086,96.6379150572,102.782541658,0.0,65.1572554096,220.04316451,877.619236511,771.4162159,70.808374512,35.3946460996
 01/01  12:00:00,722.438973046,96.6379150572,113.348663505,0.0,65.1572554096,220.04316451,830.459821839,733.08792311,70.808374512,26.5635242166
 01/01  13:00:00,728.44721331,96.6379150572,121.451986463,0.0,65.1572554096,220.04316451,822.423643792,716.21338428,70.808374512,35.401885
 01/01  14:00:00,719.969994324,96.6379150572,122.910762508,0.0,65.1572554096,212.545889182,809.688613618,726.491655196,56.6466996096,26.550258812
 01/01  15:00:00,719.000685635,96.6379150572,123.394409807,0.0,65.1572554096,212.545889182,836.1414177,758.246552309,42.4850247072,35.4098406841
 01/01  16:00:00,719.408344412,96.6379150572,123.674716009,0.0,65.1572554096,212.545889182,842.18043887,750.134287632,56.6466996096,35.3994516284
 01/01  17:00:00,709.377545234,96.6379150572,133.484652656,0.0,65.1572554096,220.04316451,825.943722129,714.418778905,84.9700494144,26.5548938094
 01/01  18:00:00,677.220753182,96.6379150572,141.323026001,0.0,54.0258772165,184.38654557,860.536180625,749.145057953,84.9700494144,26.4210732574
 01/01  19:00:00,658.031585642,96.6379150572,152.336383259,0.0,44.4937663224,163.454314868,864.910307271,762.495221426,84.9700494144,17.4450364305
 01/01  20:00:00,665.334932842,96.6379150572,170.503925902,0.0,44.4937663224,155.95703954,802.146956082,728.057137873,56.6466996096,17.4431185997
 01/01  21:00:00,642.321667124,96.6379150572,180.051711072,0.0,44.4937663224,124.558693486,849.930219034,775.842260897,56.6466996096,17.4412585277
 01/01  22:00:00,644.086605307,96.6379150572,181.933653622,0.0,44.4937663224,124.558693486,853.49342179,793.562491008,42.4850247072,17.4459060752
 01/01  23:00:00,637.516383528,96.6379150572,182.792531417,0.0,34.9616554283,124.558693486,853.617430828,807.8501792,28.3233498048,17.4439018235
 01/01  24:00:00,635.22543739,96.6379150572,182.739458596,0.0,34.9616554283,124.558693486,868.091170734,836.48747605,14.1616749024,17.4420197808
 01/02  01:00:00,636.790247215,96.6379150572,187.539482437,0.0,46.0930336215,113.312780494,844.418022207,830.022911878,5.66466996096,8.73044036844
 01/02  02:00:00,646.783451282,96.6379150572,196.706638182,0.0,46.0930336215,113.312780494,827.290661883,804.179825097,5.66466996096,17.4461668252
 01/02  03:00:00,665.95170611,96.6379150572,221.259245915,0.0,46.0930336215,113.312780494,782.592073264,759.483143258,5.66466996096,17.4442600451
 01/02  04:00:00,696.764039458,96.6379150572,260.644666953,0.0,46.0930336215,113.312780494,738.058434564,714.951332356,5.66466996096,17.4424322473
 01/02  05:00:00,811.278800752,96.6379150572,289.058712141,0.0,100.150657288,148.969399434,692.771763195,669.6614158,5.66466996096,17.4456774343
 01/02  06:00:00,866.947191592,96.6379150572,339.308990839,0.0,100.150657288,149.894399434,1325.49237613,1293.88546099,14.1616749024,17.4452402338
 01/02  07:00:00,1093.36284574,96.6379150572,343.004678822,0.0,176.471037341,302.612436532,884.730618316,838.963921918,28.3233498048,17.4433465932
 01/02  08:00:00,1201.27701614,96.6379150572,342.518665001,0.0,243.2593065,310.10971186,800.000561185,731.072486309,42.4850247072,26.4430501694
 01/02  09:00:00,1238.49029896,96.6379150572,342.776983861,0.0,243.2593065,310.10971186,783.482439261,691.390140479,56.6466996096,35.4455991718
 01/02  10:00:00,1221.30081829,96.6379150572,281.569513731,0.0,243.2593065,302.612436532,763.066447878,684.976515952,42.4850247072,35.6049072188
 01/02  11:00:00,1172.32033198,96.6379150572,220.314421155,0.0,243.2593065,310.10971186,787.834598831,672.204365911,70.808374512,44.8218584075
 01/02  12:00:00,1158.22934234,96.6379150572,199.014497253,0.0,243.2593065,310.10971186,803.56331909,687.835567329,70.808374512,44.9193772488
 01/02  13:00:00,1118.6645151,96.6498184916,196.920335044,0.0,243.2593065,310.10971186,769.022515965,653.568374206,70.808374512,44.6457672473
 01/02  14:00:00,1152.89132092,96.7521860897,194.815498615,0.0,243.2593065,302.612436532,733.574106133,632.010979974,56.6466996096,44.9164265494
 01/02  15:00:00,1150.77074819,96.8609682333,187.709419175,0.0,243.2593065,302.612436532,705.465880844,618.159823155,42.4850247072,44.8210329817
 01/02  16:00:00,1141.71153646,96.9604814762,177.722220873,0.0,243.2593065,302.612436532,727.107312468,625.742787222,56.6466996096,44.7178256368
 01/02  17:00:00,1149.62252047,97.0464791704,168.837763566,0.0,243.2593065,310.10971186,766.308822572,645.78447331,84.9700494144,35.554299847
 01/02  18:00:00,1154.57202293,97.1286091606,167.076918747,0.0,243.2593065,310.10971186,763.680715165,652.362433793,84.9700494144,26.3482319577
 01/02  19:00:00,879.49520935,96.6379150572,155.937203421,0.0,166.938926447,199.110933808,738.052833418,635.582658016,84.9700494144,17.5001259882
 01/02  20:00:00,868.138726983,96.6379150572,149.997329115,0.0,166.938926447,191.61365848,751.634822312,677.488827958,56.6466996096,17.4992947437
 01/02  21:00:00,719.809548986,96.6379150572,134.182167682,0.0,100.150657288,124.558693486,851.805028904,768.916344546,56.6466996096,26.2419847477
 01/02  22:00:00,673.249554481,96.6379150572,125.667895227,0.0,100.150657288,124.558693486,837.541528542,781.034468333,42.4850247072,14.0220355009
 01/02  23:00:00,606.494423785,96.6379150572,124.145552405,0.0,46.0930336215,124.558693486,828.645920582,788.165982234,28.3233498048,12.1565885433
 01/02  24:00:00,599.661527965,96.6379150572,114.421428176,0.0,46.0930336215,124.558693486,857.617622515,826.011296404,14.1616749024,17.4446512089
 01/03  01:00:00,589.640785308,96.6379150572,115.88707397,0.0,46.0930336215,113.312780494,827.776884041,804.667378793,5.66466996096,17.4448352872
 01/03  02:00:00,594.264970915,96.6379150572,122.509935744,0.0,46.0930336215,113.312780494,808.96221804,785.856619123,5.66466996096,17.440928956
 01/03  03:00:00,593.686990617,96.6379150572,123.487565131,0.0,46.0930336215,113.312780494,816.558036982,793.447218415,5.66466996096,17.4461486062
 01/03  04:00:00,593.538124839,96.6379150572,123.098259597,0.0,46.0930336215,113.312780494,829.33958573,806.230615065,5.66466996096,17.4443007039
 01/03  05:00:00,684.818283646,96.6379150572,124.014675543,0.0,100.150657288,148.969399434,806.824277938,783.717071546,5.66466996096,17.4425364314
 01/03  06:00:00,708.766023398,96.6379150572,145.732899436,0.0,100.150657288,149.894399434,1109.9864593,1087.09416875,14.1616749024,8.73061564091
 01/03  07:00:00,916.141016017,96.822278863,125.740533979,0.0,176.471037341,302.612436532,886.378479606,840.608626574,28.3233498048,17.446503227
 01/03  08:00:00,1014.64245052,97.1218715113,112.838034725,0.0,243.2593065,310.10971186,874.780987384,805.854664086,42.4850247072,26.4412985916
 01/03  09:00:00,1049.96522841,97.2490286288,109.190127158,0.0,243.2593065,310.10971186,858.719696636,766.606498613,56.6466996096,35.4664984131
 01/03  10:00:00,1091.7206916,97.3464507227,115.931151046,0.0,243.2593065,302.612436532,797.953227527,710.941152877,42.4850247072,44.527049943
 01/03  11:00:00,1108.05313455,97.4309995815,124.335151778,0.0,243.2593065,310.10971186,792.867878775,677.238467516,70.808374512,44.8210367467
 01/03  12:00:00,1111.56258364,97.5247869384,126.51300962,0.0,243.2593065,310.10971186,778.841494561,663.113070137,70.808374512,44.9200499114
 01/03  13:00:00,1072.81437707,97.7592816702,127.423383317,0.0,243.2593065,310.10971186,763.244439101,647.786358768,70.808374512,44.6497058206
