Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,980.124806527,96.6169909531,600.928548132,0.0,34.9616554283,113.312780494,581.621047228,567.223744951,5.66466996096,8.73263231621
 01/01  02:00:00,985.055674134,96.6169909531,606.264990793,0.0,34.9616554283,113.312780494,594.689520499,571.580837561,5.66466996096,17.4440129769
 01/01  03:00:00,986.37287786,96.6169909531,607.748162079,0.0,34.9616554283,113.312780494,598.326423984,575.219524432,5.66466996096,17.4422295914
 01/01  04:00:00,983.64517901,96.6169909531,607.026645678,0.0,34.9616554283,113.312780494,606.185623406,583.077260784,5.66466996096,17.4436926616
 01/01  05:00:00,976.855015893,96.6169909531,591.594619044,0.0,44.4937663224,113.312780494,600.76055695,577.65093112,5.66466996096,17.4449558686
 01/01  06:00:00,969.055631661,96.6169909531,584.039147464,0.0,44.4937663224,113.312780494,610.374954655,578.770249638,14.1616749024,17.4430301146
 01/01  07:00:00,1041.83836715,96.6169909531,583.643647733,0.0,54.0258772165,176.889270242,557.057298873,511.292780928,28.3233498048,17.4411681399
 01/01  08:00:00,1036.26776956,96.6169909531,582.431504641,0.0,54.0258772165,184.38654557,556.453306634,505.235115672,42.4850247072,8.73316625568
 01/01  09:00:00,1109.28704971,96.6169909531,579.953553474,0.0,65.1572554096,220.04316451,566.395179628,483.460503329,56.6466996096,26.2879766894
 01/01  10:00:00,1103.34831515,96.6169909531,581.250316837,0.0,65.1572554096,212.545889182,543.839396463,474.932863055,42.4850247072,26.4215087013
 01/01  11:00:00,1115.11102843,96.6169909531,585.307558749,0.0,65.1572554096,220.04316451,573.668232827,467.465242838,70.808374512,35.3946154775
 01/01  12:00:00,1121.84340935,96.6169909531,590.254256962,0.0,65.1572554096,220.04316451,570.659154798,473.287288519,70.808374512,26.5634917677
 01/01  13:00:00,1128.2547543,96.6169909531,595.563550272,0.0,65.1572554096,220.04316451,567.558962399,461.348734619,70.808374512,35.4018532675
 01/01  14:00:00,1100.36127029,96.6169909531,572.915019749,0.0,65.1572554096,212.545889182,517.562709625,434.365774167,56.6466996096,26.5502358487
 01/01  15:00:00,1093.98537975,96.6169909531,565.766195209,0.0,65.1572554096,212.545889182,492.521980162,414.627155116,42.4850247072,35.4098003395
 01/01  16:00:00,1101.95265252,96.6169909531,574.103356624,0.0,65.1572554096,212.545889182,510.192307611,418.146187162,56.6466996096,35.3994208398
 01/01  17:00:00,1098.20544015,96.6169909531,588.858960077,0.0,65.1572554096,220.04316451,544.062449544,432.537534304,84.9700494144,26.5548658255
 01/01  18:00:00,1065.56792477,96.6169909531,595.633731456,0.0,54.0258772165,184.38654557,575.912321792,464.521222756,84.9700494144,26.4210496216
