Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,832.279233517,96.5962730759,410.076667031,0.0,34.9616554283,113.312780494,668.905271759,654.507964303,5.66466996096,8.73263749493
 01/01  02:00:00,802.454337991,96.5962730759,383.163840846,0.0,34.9616554283,113.312780494,682.895184563,659.786494753,5.66466996096,17.4440198499
 01/01  03:00:00,816.626319394,96.5962730759,397.475304905,0.0,34.9616554283,113.312780494,685.301148309,662.194243454,5.66466996096,17.4422348944
 01/01  04:00:00,848.04639184,96.5962730759,423.620092051,0.0,34.9616554283,113.312780494,686.924260517,663.815892593,5.66466996096,17.4436979632
 01/01  05:00:00,864.991590397,96.5962730759,429.403851328,0.0,44.4937663224,113.312780494,678.079458389,654.969827466,5.66466996096,17.4449609619
 01/01  06:00:00,840.033661952,96.5962730759,409.542894436,0.0,44.4937663224,113.312780494,688.108635639,656.503925781,14.1616749024,17.4430349555
 01/01  07:00:00,901.431092855,96.5962730759,403.398724177,0.0,54.0258772165,176.889270242,633.854124302,588.089601583,28.3233498048,17.4411729151
 01/01  08:00:00,891.34561394,96.5962730759,403.391849698,0.0,54.0258772165,184.38654557,632.31247629,581.094282549,42.4850247072,8.73316903342
 01/01  09:00:00,947.996726445,96.5962730759,382.061522441,0.0,65.1572554096,220.04316451,638.436864812,555.502181124,56.6466996096,26.2879840789
 01/01  10:00:00,959.737332374,96.5962730759,398.088829399,0.0,65.1572554096,212.545889182,614.496460558,545.589919574,42.4850247072,26.4215162776
 01/01  11:00:00,993.390185285,96.5962730759,424.400395074,0.0,65.1572554096,220.04316451,644.873771022,538.67077238,70.808374512,35.3946241292
 01/01  12:00:00,1022.64850639,96.5962730759,452.164160244,0.0,65.1572554096,220.04316451,630.122841894,532.750966447,70.808374512,26.5635009355
 01/01  13:00:00,1050.7236282,96.5962730759,481.419685596,0.0,65.1572554096,220.04316451,634.949359425,528.73912268,70.808374512,35.401862233
 01/01  14:00:00,1055.46859975,96.5962730759,487.795935718,0.0,65.1572554096,212.545889182,608.936281017,525.73933907,56.6466996096,26.5502423366
 01/01  15:00:00,1059.73448861,96.5962730759,488.635248456,0.0,65.1572554096,212.545889182,592.437097388,514.542260943,42.4850247072,35.4098117381
 01/01  16:00:00,1059.70798585,96.5962730759,488.770906556,0.0,65.1572554096,212.545889182,587.702088781,495.655959633,56.6466996096,35.3994295386
 01/01  17:00:00,1048.51745845,96.5962730759,489.498114277,0.0,65.1572554096,220.04316451,615.71091251,504.185989363,84.9700494144,26.5548737319
 01/01  18:00:00,991.177797872,96.5962730759,467.917679938,0.0,54.0258772165,184.38654557,649.441876826,538.050771113,84.9700494144,26.4210562995
 01/01  19:00:00,935.692678725,96.5962730759,440.443781293,0.0,44.4937663224,163.454314868,680.927654382,578.512581305,84.9700494144,17.4450236622
 01/01  20:00:00,915.297816587,96.5962730759,429.758951987,0.0,44.4937663224,155.95703954,658.215373106,584.125566779,56.6466996096,17.4431067178
 01/01  21:00:00,875.436201994,96.5962730759,426.422158135,0.0,44.4937663224,124.558693486,693.507507823,619.419561341,56.6466996096,17.4412468731
 01/01  22:00:00,876.793664806,96.5962730759,430.259798099,0.0,44.4937663224,124.558693486,683.598105552,623.667187803,42.4850247072,17.4458930415
 01/01  23:00:00,864.276231688,96.5962730759,430.782249406,0.0,34.9616554283,124.558693486,684.93671652,639.169476784,28.3233498048,17.4438899317
 01/01  24:00:00,867.790585994,96.5962730759,431.018563382,0.0,34.9616554283,124.558693486,675.434006003,643.830322919,14.1616749024,17.4420081812
 01/02  01:00:00,843.297813371,96.5962730759,410.029619317,0.0,46.0930336215,113.312780494,667.66381377,653.268709208,5.66466996096,8.73043460159
 01/02  02:00:00,798.656025989,96.5962730759,363.549718242,0.0,46.0930336215,113.312780494,694.281254783,671.170430943,5.66466996096,17.4461538794
 01/02  03:00:00,767.165647734,96.5962730759,334.448187573,0.0,46.0930336215,113.312780494,686.879306302,663.770388116,5.66466996096,17.444248225
 01/02  04:00:00,748.789200941,96.5962730759,315.020203143,0.0,46.0930336215,113.312780494,701.147420981,678.040330305,5.66466996096,17.4424207149
 01/02  05:00:00,822.936287022,96.5962730759,300.394398908,0.0,100.150657288,148.969399434,670.052716261,646.942381336,5.66466996096,17.4456649646
 01/02  06:00:00,854.257919157,96.5962730759,330.420245832,0.0,100.150657288,149.894399434,1272.52752916,1240.92062606,14.1616749024,17.4452281975
 01/02  07:00:00,1070.59627922,96.5962730759,321.771409582,0.0,176.471037341,302.612436532,848.920657096,803.153972227,28.3233498048,17.4433350642
 01/02  08:00:00,1175.22282292,96.5962730759,314.616062867,0.0,243.2593065,310.10971186,779.862203596,710.934147056,42.4850247072,26.4430318328
 01/02  09:00:00,1203.58128523,96.5962730759,306.000196505,0.0,243.2593065,310.10971186,767.475833564,675.383555836,56.6466996096,35.4455781187
 01/02  10:00:00,1250.6090381,96.5962730759,318.314360575,0.0,243.2593065,302.612436532,730.538455428,652.448549708,42.4850247072,35.604881012
