Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,956.430772525,96.7266336702,584.296188448,0.0,34.9616554283,113.312780494,613.849220143,599.445584685,5.66466996096,8.73896549659
 01/01  02:00:00,883.624898482,96.7266336702,513.497294106,0.0,34.9616554283,113.312780494,627.689814813,604.561296807,5.66466996096,17.4638480446
 01/01  03:00:00,790.963500562,96.7266336702,421.503669146,0.0,34.9616554283,113.312780494,634.097121775,610.968793732,5.66466996096,17.4636580827
 01/01  04:00:00,790.219973186,96.7266336702,415.305359478,0.0,34.9616554283,113.312780494,637.403651713,614.275566194,5.66466996096,17.4634155584
 01/01  05:00:00,787.379685707,96.7266336702,391.145069118,0.0,44.4937663224,113.312780494,632.720824821,609.592994251,5.66466996096,17.4631606086
 01/01  06:00:00,775.073595419,96.7266336702,365.63613554,0.0,44.4937663224,113.312780494,644.112178461,612.487600538,14.1616749024,17.4629030205
 01/01  07:00:00,844.721278576,96.7266336702,355.63897369,0.0,54.0258772165,176.889270242,589.621710773,543.835715792,28.3233498048,17.4626451753
 01/01  08:00:00,851.096001875,96.7266336702,351.188226266,0.0,54.0258772165,184.38654557,595.664716026,535.717303667,42.4850247072,17.4623876513
 01/01  09:00:00,914.201868004,96.7266336702,350.611642368,0.0,65.1572554096,220.04316451,595.864099964,512.893720459,56.6466996096,26.3236798946
 01/01  10:00:00,907.650118117,96.7266336702,351.66742465,0.0,65.1572554096,212.545889182,578.185374321,509.235496768,42.4850247072,26.4648528467
 01/01  11:00:00,920.124862552,96.7266336702,362.113280328,0.0,65.1572554096,220.04316451,608.669621307,502.383377483,70.808374512,35.4778693125
 01/01  12:00:00,931.371123262,96.7266336702,381.141004101,0.0,65.1572554096,220.04316451,601.133039502,494.85044761,70.808374512,35.4742173799
 01/01  13:00:00,936.727801693,96.7266336702,391.274609356,0.0,65.1572554096,220.04316451,594.534085358,488.255308461,70.808374512,35.4704023849
