Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,674.92462584,96.5821452321,245.134389674,0.0,34.9616554283,113.312780494,750.683050361,736.279583905,5.66466996096,8.73879649538
 01/01  02:00:00,665.124006563,96.5821452321,231.933665639,0.0,34.9616554283,113.312780494,780.801916504,757.673331619,5.66466996096,17.4639149246
 01/01  03:00:00,662.936752633,96.5821452321,228.835581626,0.0,34.9616554283,113.312780494,783.727635127,760.599274417,5.66466996096,17.4636907491
 01/01  04:00:00,661.381806315,96.5821452321,225.474437433,0.0,34.9616554283,113.312780494,788.93636525,765.808255433,5.66466996096,17.4634398559
 01/01  05:00:00,668.069675301,96.5821452321,223.941460083,0.0,44.4937663224,113.312780494,779.415492888,756.287640088,5.66466996096,17.4631828388
 01/01  06:00:00,669.125768393,96.5821452321,224.822706857,0.0,44.4937663224,113.312780494,784.782593774,753.157994155,14.1616749024,17.4629247165
 01/01  07:00:00,740.601565384,96.5821452321,227.845613293,0.0,54.0258772165,176.889270242,721.590490876,675.804474361,28.3233498048,17.4626667097
 01/01  08:00:00,734.843589896,96.5821452321,229.381363734,0.0,54.0258772165,184.38654557,723.337250821,663.389817,42.4850247072,17.4624091146
 01/01  09:00:00,805.60060581,96.5821452321,229.035937769,0.0,65.1572554096,220.04316451,720.830228997,637.859817669,56.6466996096,26.3237117185
 01/01  10:00:00,797.48002844,96.5821452321,234.548775513,0.0,65.1572554096,212.545889182,690.156740354,621.206830704,42.4850247072,26.4648849433
 01/01  11:00:00,813.4812268,96.5821452321,249.168965413,0.0,65.1572554096,220.04316451,694.162508366,587.876220014,70.808374512,35.4779138396
 01/01  12:00:00,828.646799471,96.5821452321,268.014954145,0.0,65.1572554096,220.04316451,668.314636175,562.032002518,70.808374512,35.4742591448
 01/01  13:00:00,835.328067741,96.5821452321,277.16438266,0.0,65.1572554096,220.04316451,658.903962766,552.625144368,70.808374512,35.4704438863
 01/01  14:00:00,830.055327168,96.5821452321,279.197998768,0.0,65.1572554096,212.545889182,645.239693222,553.126365069,56.6466996096,35.4666285441
 01/01  15:00:00,836.014394571,96.5821452321,286.102728697,0.0,65.1572554096,212.545889182,625.077792165,547.129944747,42.4850247072,35.4628227108
 01/01  16:00:00,835.628079957,96.5821452321,285.0369598,0.0,65.1572554096,212.545889182,633.583320276,550.322966047,56.6466996096,26.6136546196
 01/01  17:00:00,818.852473545,96.5821452321,281.637137901,0.0,65.1572554096,220.04316451,674.713274746,554.25957435,84.9700494144,35.4836509818
 01/01  18:00:00,775.895345264,96.5821452321,281.496520733,0.0,54.0258772165,184.38654557,695.041630629,574.793681361,84.9700494144,35.2778998535
 01/01  19:00:00,748.205121298,96.5821452321,281.689768497,0.0,44.4937663224,163.454314868,708.079219228,610.519848339,84.9700494144,12.5893214752
 01/01  20:00:00,740.795049672,96.5821452321,281.348050665,0.0,44.4937663224,155.95703954,686.14418721,615.887495817,56.6466996096,13.6099917837
