Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,137.198427292,30.9511664259,11.9921921336,1.32232335644,34.4311606118,33.1021868926,227.568994137,85.7546425659,3.33212,138.482231571
 01/01  02:00:00,133.939973445,30.9511664259,8.82558818187,1.17889998991,34.4311606118,33.1021868926,183.578431543,77.9035113663,3.33212,102.342800176
 01/01  03:00:00,114.693638839,30.9511664259,6.91252288158,1.3299171902,19.466279405,30.610668775,185.321737953,74.6551629311,3.33212,107.334455021
 01/01  04:00:00,114.75837163,30.9511664259,6.78763443619,1.52827634608,19.466279405,30.610668775,183.667845599,72.3186402758,3.33212,108.017085323
 01/01  05:00:00,122.947231621,30.9511664259,8.22852350357,1.70705123785,19.466279405,30.610668775,211.877808241,70.2769092311,3.33212,138.26877901
 01/01  06:00:00,136.638182929,30.9511664259,9.53327864586,1.85258015104,19.466279405,30.610668775,248.582117865,68.9251649204,8.3303,171.326652944
 01/01  07:00:00,215.407609019,30.9511664259,16.7855382742,1.79410603587,42.6918050922,54.3732441037,331.659453486,67.1364455251,16.6606,247.862407961
 01/01  08:00:00,288.859522022,35.7700595381,43.2182133137,0.0,49.3960418185,88.5934452969,825.354327268,386.920929201,24.9909,413.442498067
 01/01  09:00:00,353.822818558,35.7741117481,82.009537739,0.0,57.6566862989,112.030105488,1024.71242193,401.588329212,33.3212,589.802892719
 01/01  10:00:00,295.043042892,35.7715791169,79.4269362473,0.0,50.9524495726,81.1684271793,851.733127196,365.739768464,66.8089,419.184458732
 01/01  11:00:00,239.106446069,35.7690464856,68.4396383651,0.0895924743091,42.6918050922,68.9656133826,764.212667833,359.749473702,83.4695,320.993694131
 01/01  12:00:00,235.736701585,35.7791770107,68.0437908641,0.860697075868,38.286128036,68.9656133826,695.962889126,356.84629791,83.4695,255.647091216
 01/01  13:00:00,232.265133557,35.7614485918,66.1858302257,0.143603492408,38.286128036,68.9656133826,619.792284393,349.084717121,83.4695,187.238067272
 01/01  14:00:00,205.18722123,35.7639812231,57.9325501909,0.274004093081,31.5818913096,56.727595265,621.869675466,359.494511774,75.1392,187.235963691
 01/01  15:00:00,179.060849933,35.7817096419,31.6706619924,0.436512726478,31.5818913096,56.727595265,629.600665494,383.089530482,66.8089,179.702235013
 01/01  16:00:00,177.939156154,35.7690464856,30.8723368204,0.15478090553,31.5818913096,56.727595265,644.980069422,388.616697333,75.1392,181.224172089
 01/01  17:00:00,210.760030452,35.7724233273,28.8815086199,0.170123793279,31.5818913096,61.661095265,609.046154151,373.44112144,91.7998,143.805232711
 01/01  18:00:00,242.857786244,35.7589159605,22.2694869735,0.0,31.5818913096,70.9729253606,628.833664752,400.11013065,49.9818,178.741734102
 01/01  19:00:00,315.711791372,35.7690464856,33.4299222303,0.0,80.3315023541,83.7685254822,665.006143337,400.967356151,49.9818,214.056987186
 01/01  20:00:00,340.039797326,35.7639812231,53.8796317818,0.0,102.000620287,77.6748002752,682.419354411,368.103100984,33.3212,280.995053427
 01/01  21:00:00,363.22573269,35.7589159605,56.5760649099,0.0,108.704857014,91.4735406516,660.905645043,354.576255797,33.3212,273.008189246
 01/01  22:00:00,336.115280381,35.7639812231,57.633086543,0.0,95.2963835608,89.1510273009,656.431347264,351.0298627,24.9909,280.410584564
 01/01  23:00:00,286.652160719,35.7589159605,61.3289883833,0.0,80.3315023541,63.3799339444,778.354235221,352.026529876,16.6606,409.667105345
 01/01  24:00:00,191.788657415,35.7741117481,30.7935678201,0.0,42.6918050922,48.4199368926,621.775530032,369.650054135,8.3303,243.795175898
 01/02  01:00:00,130.812215779,30.9511664259,17.4625975311,0.906889210035,25.5240853573,30.610668775,222.587250291,80.9581227561,3.33212,138.297007535
 01/02  02:00:00,123.686543541,30.9511664259,18.0679163472,0.487325263498,19.418418834,29.3649097162,172.503946041,67.632260861,3.33212,101.53956518
 01/02  03:00:00,114.389234379,30.9511664259,16.8187462857,0.345097983767,12.7620426787,28.1191506574,171.346941439,60.1300339721,3.33212,107.884787467
 01/02  04:00:00,114.332214417,30.9511664259,16.8921399048,0.221065013255,12.7620426787,28.1191506574,159.583047844,54.7115792803,3.33212,101.539348564
 01/02  05:00:00,123.629801571,30.9511664259,19.7338347291,0.0945453163607,12.7620426787,28.1191506574,192.339155054,50.7093895782,3.33212,138.297645476
 01/02  06:00:00,153.51446791,30.9511664259,21.9922516429,0.116624094158,25.5240853573,30.610668775,302.491758081,49.8127161657,8.3303,244.348741916
 01/02  07:00:00,281.124344428,30.9258401133,51.9155907832,0.00412751195696,51.0481707146,78.1489452969,477.278163448,46.692134087,16.6606,413.925429361
 01/02  08:00:00,411.75292394,35.7880231322,129.513202923,0.221094771699,64.3609230253,109.708623606,792.418419034,218.20751844,24.9909,549.220000593
 01/02  09:00:00,321.710756733,35.7589159605,88.0664388799,0.0,51.0481707146,80.7689615957,696.919518121,243.773677451,33.3212,419.824640669
 01/02  10:00:00,255.147365227,35.7824671528,49.8253553995,0.0,51.0481707146,71.0224615957,646.361083803,258.887059192,66.8089,320.665124612
 01/02  11:00:00,197.444963228,35.7852034317,40.9218882472,0.0,32.1804615127,65.7244621605,627.934635208,289.553523146,83.4695,254.911612063
 01/02  12:00:00,197.59976343,35.7905879118,40.3870172982,0.0,32.1804615127,65.7244621605,577.128628405,306.02393027,83.4695,187.635198135
 01/02  13:00:00,203.123215403,35.8161749107,46.6599901581,0.0,32.1804615127,65.7244621605,581.819042479,311.038450015,83.4695,187.311092465
 01/02  14:00:00,205.917725256,35.8261625558,59.1339297882,0.0,32.1804615127,55.9779621605,561.378091807,306.167836695,75.1392,180.071055112
 01/02  15:00:00,206.726594014,35.8241732865,59.943995824,0.0,32.1804615127,55.9779621605,566.664773318,313.148123585,66.8089,186.707749733
 01/02  16:00:00,199.79429199,35.8147546507,53.0463858578,0.0,32.1804615127,55.9779621605,574.894561312,319.978919176,75.1392,179.776442136
 01/02  17:00:00,219.443316368,35.7589159605,37.9564096587,0.0,32.1804615127,60.9114621605,556.705819813,319.600976959,91.7998,145.305042855
 01/02  18:00:00,269.43466168,35.7665138543,41.339078018,0.330638080729,32.1804615127,77.5397301883,601.465190972,344.16656028,49.9818,207.316830693
 01/02  19:00:00,339.800893497,35.7741117481,57.2836140603,0.730322639099,77.122965704,86.2600435998,791.540704046,356.202398267,49.9818,385.356505779
 01/02  20:00:00,345.424735652,35.7665138543,55.750612078,0.302579436722,102.647051061,80.1663183927,669.483037168,354.77124305,33.3212,281.390594118
 01/02  21:00:00,376.819500518,35.7690464856,61.7282921401,0.345155276121,115.40909374,92.7192997104,677.356147272,363.592942842,33.3212,280.442004431
 01/02  22:00:00,366.408844261,35.7690464856,74.9366872525,0.285157434542,102.647051061,94.1340635361,808.430515846,368.614875592,24.9909,414.824740254
 01/02  23:00:00,281.044477844,35.7791770107,56.0475345744,0.339844214366,77.122965704,65.871452062,709.663398384,376.155699765,16.6606,316.84709862
 01/02  24:00:00,188.414029106,35.7741117481,31.7440640416,0.00293095995173,38.286128036,48.4199368926,580.264443823,400.817940745,8.3303,171.116203078
 01/03  01:00:00,134.597597334,30.9511664259,21.7398516471,0.414129609025,25.5240853573,30.610668775,222.509908348,80.8507963911,3.33212,138.326991957
 01/03  02:00:00,121.822398308,30.9511664259,16.3239716257,0.373817177364,19.418418834,29.3649097162,181.451798706,70.2146201639,3.33212,107.905058542
 01/03  03:00:00,111.440967608,30.9511664259,13.796771081,0.424328721458,12.7620426787,28.1191506574,169.303769635,64.4158010044,3.33212,101.55584863
 01/03  04:00:00,109.638153873,30.9511664259,11.9256095742,0.502154595807,12.7620426787,28.1191506574,172.904101833,61.6629738736,3.33212,107.90900796
 01/03  05:00:00,117.935873872,30.9511664259,12.9406901556,0.573662964039,12.7620426787,28.1191506574,202.182108489,60.491810684,3.33212,138.358177805
 01/03  06:00:00,154.09118835,30.9511664259,21.4800377736,0.550026465552,25.5240853573,30.610668775,307.23097913,59.6403987032,8.3303,239.260280427
 01/03  07:00:00,280.117649818,30.9511664259,49.7070063492,0.441614139561,51.0481707146,78.1489452969,489.540318668,56.8802415429,16.6606,415.999477125
 01/03  08:00:00,356.220363232,35.7679074578,73.362989443,0.0,64.3609230253,109.708623606,918.618165398,341.180338481,24.9909,552.446926917
 01/03  09:00:00,293.950564747,35.7741117481,59.5305245728,0.000986460544468,51.0481707146,80.7689615957,843.270158645,386.03754085,33.3212,423.911417795
 01/03  10:00:00,269.621390428,35.7817096419,63.8003822592,0.407851050621,51.0481707146,71.0224615957,744.454810963,357.296282226,66.8089,320.349628737
 01/03  11:00:00,219.770959024,35.7867749044,61.9240290449,1.17722861908,32.1804615127,65.7244621605,690.410701138,351.372990464,83.4695,255.568210674
 01/03  12:00:00,219.436312901,35.7614485918,61.9598442362,0.144276985127,32.1804615127,65.7244621605,621.812693541,351.007291,83.4695,187.335902542
 01/03  13:00:00,222.244946951,35.7589159605,65.6784995411,0.0,32.1804615127,65.7244621605,612.705200732,348.467336295,83.4695,180.768364437
 01/03  14:00:00,214.168637088,35.7589159605,67.3187658984,0.0,32.1804615127,55.9779621605,612.279899795,350.07975841,75.1392,187.060941385
 01/03  15:00:00,211.376854856,35.7589159605,64.5402535958,0.0,32.1804615127,55.9779621605,601.553875108,351.711235873,66.8089,183.033739235
 01/03  16:00:00,202.591201178,35.7589159605,55.7991537093,0.0,32.1804615127,55.9779621605,610.680236481,351.947563758,75.1392,183.593472723
 01/03  17:00:00,221.512286492,35.7774885898,39.0886314252,0.832961403237,32.1804615127,60.9114621605,578.016020103,346.103364859,91.7998,140.112855244
 01/03  18:00:00,270.151464686,35.7842422732,41.2149616745,1.02222116631,32.1804615127,77.5397301883,646.452496543,383.374197307,49.9818,213.096499236
 01/03  19:00:00,339.731079113,35.7791770107,57.249761363,0.47679886718,77.122965704,86.2600435998,848.908325396,413.117407963,49.9818,385.809117434
 01/03  20:00:00,344.799263323,35.7766443794,55.3225207057,0.310561591874,102.647051061,80.1663183927,726.154037822,411.25894806,33.3212,281.573889761
 01/03  21:00:00,375.025048178,35.7791770107,60.2799122026,0.230209313295,115.40909374,92.7192997104,720.597722459,406.639797049,33.3212,280.63672541
 01/03  22:00:00,363.585791044,35.7690464856,72.5472937188,0.0144682326893,102.647051061,94.1340635361,850.491117786,410.137379775,24.9909,415.362838011
 01/03  23:00:00,277.346852018,35.7639812231,52.5449146188,0.0,77.122965704,65.871452062,766.321239323,432.549232413,16.6606,317.11140691
 01/03  24:00:00,184.116118514,35.7741117481,27.3190724479,0.0,38.286128036,48.4199368926,639.360209352,459.843764872,8.3303,171.18614448
 01/04  01:00:00,129.661313013,30.9511664259,15.9399466355,1.30361118592,25.5240853573,30.610668775,231.375350895,89.6615298098,3.33212,138.381701086
 01/04  02:00:00,117.724409979,30.9511664259,11.2318218834,1.38834844463,19.418418834,29.3649097162,190.759251627,79.4868266247,3.33212,107.940305003
 01/04  03:00:00,107.872169856,30.9511664259,9.0741532644,1.59328572331,12.7620426787,28.1191506574,181.063974933,74.6685573244,3.33212,103.063297609
 01/04  04:00:00,106.52058894,30.9511664259,7.49249930817,1.82989375633,12.7620426787,28.1191506574,182.885399197,73.1026570338,3.33212,106.450622164
 01/04  05:00:00,113.530965444,30.9511664259,7.75045380691,2.00826523096,12.7620426787,28.1191506574,214.375657695,72.6685488897,3.33212,138.374988805
 01/04  06:00:00,145.054365078,30.9511664259,11.6105282755,2.06981158707,25.5240853573,30.610668775,325.08339635,72.1206317878,8.3303,244.632464562
 01/04  07:00:00,267.402960533,30.9511664259,36.196400978,1.99233429391,51.0481707146,78.1489452969,500.312441157,68.6792446017,16.6606,414.972596555
 01/04  08:00:00,343.929161861,35.7893075357,61.646198585,0.240253406898,64.3609230253,109.708623606,1025.02138408,448.465450166,24.9909,551.565033912
 01/04  09:00:00,282.428478594,35.7690464856,48.6070609156,0.0203593641997,51.0481707146,80.7689615957,955.909211418,498.67041151,33.3212,423.917599907
 01/04  10:00:00,258.875641742,35.7665138543,53.3288923624,0.0,51.0481707146,71.0224615957,852.413484002,461.756659555,66.8089,323.847924447
 01/04  11:00:00,209.086922522,35.7690464856,52.2742262135,0.0,32.1804615127,65.7244621605,780.833929586,446.983654911,83.4695,250.380774675
 01/04  12:00:00,213.968513536,35.7800212211,56.229244741,0.23618596769,32.1804615127,65.7244621605,698.481728049,427.247155224,83.4695,187.765072825
 01/04  13:00:00,216.6845586,35.7690464856,59.6645624094,0.306449421251,32.1804615127,65.7244621605,678.145166946,407.240362378,83.4695,187.435304568
 01/04  14:00:00,209.370223274,35.7665138543,62.0401910182,0.336554719009,32.1804615127,55.9779621605,661.396715238,399.102742242,75.1392,187.154772995
 01/04  15:00:00,207.472666338,35.7665138543,60.1571802279,0.333777194367,32.1804615127,55.9779621605,644.788166754,398.062159447,66.8089,179.917107308
 01/04  16:00:00,197.786507323,35.7741117481,50.3240144443,0.51861002872,32.1804615127,55.9779621605,660.56773097,398.5796656,75.1392,186.848865369
 01/04  17:00:00,216.599215,35.7791770107,34.3339272579,0.519188364968,32.1804615127,60.9114621605,633.4165302,402.855177818,91.7998,138.761552382
 01/04  18:00:00,261.590628735,35.7690464856,33.5753830275,0.0,32.1804615127,77.5397301883,710.019963675,445.359103104,49.9818,214.679060571
 01/04  19:00:00,330.314843323,35.7639812231,48.2734746104,0.0,77.122965704,86.2600435998,906.896476513,471.033914138,49.9818,385.880762375
 01/04  20:00:00,334.63243083,35.7639812231,45.0110377695,0.0,102.647051061,80.1663183927,801.911585461,486.511875064,33.3212,282.078510397
 01/04  21:00:00,365.718180655,35.7741117481,50.7530801406,0.0,115.40909374,92.7192997104,812.104500958,497.949343254,33.3212,280.833957704
 01/04  22:00:00,354.209588188,35.7639812231,62.8176543369,0.0,102.647051061,94.1340635361,952.232461077,511.35054376,24.9909,415.891017317
 01/04  23:00:00,268.388921496,35.7639812231,43.5214689412,0.0,77.122965704,65.871452062,859.144970301,525.120291367,16.6606,317.364078934
 01/04  24:00:00,176.958470898,35.7893075357,19.758373879,0.294884390362,38.286128036,48.4199368926,721.183546486,541.586174883,8.3303,171.267071603
 01/05  01:00:00,127.308326961,30.9511664259,12.4540283509,2.43906862923,25.5240853573,30.610668775,252.218566778,103.885071554,3.33212,145.001375224
 01/05  02:00:00,116.200421713,30.9511664259,8.44095345492,2.65939877872,19.418418834,29.3649097162,195.776206305,90.8420168467,3.33212,101.602069458
 01/05  03:00:00,106.711720669,30.9511664259,6.60129255068,2.91482158595,12.7620426787,28.1191506574,195.470894718,84.1844408792,3.33212,107.954333839
 01/05  04:00:00,105.359575686,30.9511664259,4.98137283911,3.18867637026,12.7620426787,28.1191506574,186.370721147,81.4357949454,3.33212,101.602806202
 01/05  05:00:00,111.572569292,30.9511664259,4.3194081758,3.48809460141,12.7620426787,28.1191506574,225.081052778,81.2248627003,3.33212,140.524070078
 01/05  06:00:00,143.247111369,30.9511664259,8.27553301785,3.60666060594,25.5240853573,30.610668775,331.304960853,80.5444438241,8.3303,242.430217029
 01/05  07:00:00,257.621263706,30.9511664259,24.8717959043,3.5564602469,51.0481707146,78.1489452969,508.318834702,76.1822372802,16.6606,415.475997421
