Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,145.784074077,30.9168524955,21.8931602107,0.0,34.4311606118,33.1021868926,161.938814178,20.1187642776,3.33212,138.4879299
 01/01  02:00:00,157.267399005,30.9168524955,33.3886997696,0.0,34.4311606118,33.1021868926,135.24252293,29.6223228144,3.33212,102.288080116
 01/01  03:00:00,145.220713012,30.9168524955,38.8464612604,0.0,19.466279405,30.610668775,138.70611502,27.9848267008,3.33212,107.389168319
 01/01  04:00:00,147.09763163,30.9168524955,40.6747322134,0.0,19.466279405,30.610668775,167.457417029,56.1083147304,3.33212,108.016982299
 01/01  05:00:00,156.634614747,30.9168524955,43.5568711769,0.0,19.466279405,30.610668775,218.904840519,77.3040639886,3.33212,138.26865653
 01/01  06:00:00,172.680886539,30.9168524955,47.3497745708,0.0,19.466279405,30.610668775,245.809583902,66.1543498794,8.3303,171.324934023
 01/01  07:00:00,307.214409944,34.782985721,101.977170213,0.0,42.6918050922,54.3732441037,317.946640761,53.4844355537,16.6606,247.801605207
 01/01  08:00:00,334.626973147,35.9499060674,88.7191371693,0.0,49.3960418185,88.5934452969,497.217800212,58.7638181529,24.9909,413.463082059
 01/01  09:00:00,388.311300292,35.7611861382,116.011908463,0.0,57.6566862989,112.030105488,687.696303465,64.4968601229,33.3212,589.878243342
 01/01  10:00:00,325.699438521,36.3151769858,108.824002101,0.0,50.9524495726,81.1684271793,548.496384515,62.4924897199,66.8089,419.194994795
 01/01  11:00:00,256.668891973,36.4012224819,84.7706105532,0.0,42.6918050922,68.9656133826,468.792774595,64.5015453923,83.4695,320.821729203
 01/01  12:00:00,234.485814699,36.4479256503,66.416528208,0.0,38.286128036,68.9656133826,398.594189104,59.3246483055,83.4695,255.800040798
 01/01  13:00:00,235.179140378,36.4802154165,67.8573431595,0.0,38.286128036,68.9656133826,300.845215139,30.1407451966,83.4695,187.234969942
 01/01  14:00:00,282.82133443,36.5079891494,133.472839702,0.0,31.5818913096,56.727595265,273.398447335,11.0183238838,75.1392,187.240923451
 01/01  15:00:00,290.968400502,36.5361281595,141.225342636,0.0,31.5818913096,56.727595265,254.406019992,7.89016576694,66.8089,179.706954225
 01/01  16:00:00,292.118853542,36.5602289806,142.516545118,0.0,31.5818913096,56.727595265,265.465856926,9.34814333619,75.1392,180.97851359
 01/01  17:00:00,317.546359357,36.2648818577,133.782135253,0.0,31.5818913096,61.661095265,251.541125031,15.7013763932,91.7998,144.039948638
 01/01  18:00:00,328.964139018,35.7495190274,107.062962171,0.0,31.5818913096,70.9729253606,255.01562842,26.2883432313,49.9818,178.745485189
