Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,143.159979025,30.9103183067,19.05211226,0.0,34.4311606118,33.1021868926,189.042141834,47.2362964173,3.33212,138.473725416
 01/01  02:00:00,145.99586439,30.9103183067,21.880281823,0.0,34.4311606118,33.1021868926,145.623979663,39.8596243241,3.33212,102.432235339
 01/01  03:00:00,130.164664822,30.9103183067,23.524885049,0.0,19.466279405,30.610668775,146.234502449,35.6574678347,3.33212,107.244914614
 01/01  04:00:00,131.706282361,30.9103183067,25.0710690517,0.0,19.466279405,30.610668775,144.356200158,33.0068454954,3.33212,108.017234663
 01/01  05:00:00,141.321614649,30.9103183067,28.1072782744,0.0,19.466279405,30.610668775,173.165053884,31.5639708198,3.33212,138.268963064
 01/01  06:00:00,156.594468353,30.9103183067,31.135901304,0.0,19.466279405,30.610668775,210.712232359,31.0550640823,8.3303,171.326868277
 01/01  07:00:00,273.75590269,32.9241066724,73.1262092216,0.0,42.6918050922,54.3732441037,295.134211019,30.6988804239,16.6606,247.774730595
 01/01  08:00:00,308.802412994,35.7957261122,65.0137734757,0.0,49.3960418185,88.5934452969,608.350087298,169.927329943,24.9909,413.431857355
 01/01  09:00:00,349.315273252,35.7434103843,76.9809940521,0.0,57.6566862989,112.030105488,823.21949514,199.885709074,33.3212,590.012586066
 01/01  10:00:00,301.320869878,36.0848427364,84.7209609905,0.0,50.9524495726,81.1684271793,680.117343215,194.113645153,66.8089,419.194798062
 01/01  11:00:00,235.852061754,36.2022841915,64.1588270313,0.0,42.6918050922,68.9656133826,605.377095117,201.29065022,83.4695,320.616944898
 01/01  12:00:00,220.507820864,36.3012333049,52.4270287675,0.0,38.286128036,68.9656133826,547.883419462,208.426396872,83.4695,255.98752259
 01/01  13:00:00,211.511709759,36.3776438595,44.1652806295,0.0,38.286128036,68.9656133826,477.450396769,206.7450206,83.4695,187.235876169
 01/01  14:00:00,188.286641911,36.4041678135,39.8735498592,0.0,31.5818913096,56.727595265,475.694044858,213.315126597,75.1392,187.239718261
 01/01  15:00:00,189.607428252,36.4300752287,41.1632872371,0.0,31.5818913096,56.727595265,462.601993962,216.086008609,66.8089,179.707085353
 01/01  16:00:00,194.652332585,36.4541349872,46.1622621047,0.0,31.5818913096,56.727595265,469.325166125,213.473041419,75.1392,180.712924706
 01/01  17:00:00,228.203177534,36.1917677366,45.1738394528,0.0,31.5818913096,61.661095265,443.366112321,207.272664987,91.7998,144.293647334
 01/01  18:00:00,259.607517027,35.7434103843,38.4785857033,0.0,31.5818913096,70.9729253606,437.317203775,208.589302614,49.9818,178.746101161
 01/01  19:00:00,331.440354655,35.7434103843,48.652423698,0.0,80.3315023541,83.7685254822,477.060868022,213.371240135,49.9818,213.707827887
 01/01  20:00:00,353.20901235,35.7434103843,66.3795952717,0.0,102.000620287,77.6748002752,520.320770251,206.044001835,33.3212,280.955568416
 01/01  21:00:00,385.204416404,35.7434103843,77.7048360178,0.0,108.704857014,91.4735406516,506.400955311,200.124126823,33.3212,272.955628488
 01/01  22:00:00,359.533860928,35.7434103843,80.1599111678,0.0,95.2963835608,89.1510273009,503.918617877,198.574648552,24.9909,280.353069325
 01/01  23:00:00,304.474833718,35.7434103843,78.2750286063,0.0,80.3315023541,63.3799339444,631.062377096,204.047828211,16.6606,410.353948885
 01/01  24:00:00,224.7585279,35.7434103843,63.0107903272,0.0,42.6918050922,48.4199368926,464.939313923,212.816029621,8.3303,243.792984301
 01/02  01:00:00,130.385476488,30.9103183067,17.7268644027,0.0,25.5240853573,30.610668775,189.308206282,47.6716455305,3.33212,138.304440752
 01/02  02:00:00,121.515749798,30.9103183067,16.2554596473,0.0,19.418418834,29.3649097162,147.070452478,42.1980544303,3.33212,101.540278047
 01/02  03:00:00,117.508530957,30.9103183067,20.1461157725,0.0,12.7620426787,28.1191506574,150.004189479,38.7872132757,3.33212,107.884856203
 01/02  04:00:00,119.302527214,30.9103183067,21.9511054102,0.0,12.7620426787,28.1191506574,141.634334921,36.7667879206,3.33212,101.535427
 01/02  05:00:00,128.590404069,30.9103183067,24.6624401494,0.0,12.7620426787,28.1191506574,177.887095255,36.2623443811,3.33212,138.292630874
 01/02  06:00:00,159.72799623,30.9103183067,28.1923105987,0.0,25.5240853573,30.610668775,289.926077308,37.2459456619,8.3303,244.349831646
 01/02  07:00:00,300.713559372,31.9843387684,69.179309285,0.0,51.0481707146,78.1489452969,467.243795736,36.6515842722,16.6606,413.931611464
 01/02  08:00:00,342.137291426,35.7434103843,62.7742174161,0.0,64.3609230253,109.708623606,779.30541245,205.096537582,24.9909,549.217974867
 01/02  09:00:00,292.280591831,35.7434103843,58.5437346401,0.0,51.0481707146,80.7689615957,698.127918686,244.982187422,33.3212,419.824531264
 01/02  10:00:00,266.938725801,35.8758107842,61.1920992221,0.0,51.0481707146,71.0224615957,634.335285594,247.428827569,66.8089,320.097558025
 01/02  11:00:00,203.574729467,35.9570233796,46.4981262317,0.0,32.1804615127,65.7244621605,602.045340957,263.136896327,83.4695,255.43894463
 01/02  12:00:00,197.725857434,35.998486072,39.9205535637,0.0,32.1804615127,65.7244621605,538.792739852,267.680399779,83.4695,187.642840073
 01/02  13:00:00,185.532642146,35.9953921447,28.6307100337,0.0,32.1804615127,65.7244621605,543.973767322,273.198937371,83.4695,187.305329951
 01/02  14:00:00,172.45646482,35.988632675,25.356506534,0.0,32.1804615127,55.9779621605,542.16368754,286.953798854,75.1392,180.070688686
 01/02  15:00:00,172.969070949,36.004883085,25.8605183118,0.0,32.1804615127,55.9779621605,545.891731089,292.374832137,66.8089,186.707998952
