Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,178.245860419,30.9685016738,54.2483034142,0.0,34.4311606118,33.1021868926,193.660827287,43.5349174,3.33212,146.793789887
 01/01  02:00:00,171.382163632,30.9685016738,47.3785356857,0.0,34.4311606118,33.1021868926,165.82532192,47.1344956614,3.33212,115.358706259
 01/01  03:00:00,148.875669491,30.9685016738,42.3443166861,0.0,19.466279405,30.610668775,172.305714169,53.6401861119,3.33212,115.333408057
 01/01  04:00:00,146.248734583,30.9685016738,39.7011073252,0.0,19.466279405,30.610668775,167.391004234,53.6157972597,3.33212,110.443086974
 01/01  05:00:00,152.621860822,30.9685016738,39.4579448366,0.0,19.466279405,30.610668775,208.152233036,53.1875391928,3.33212,151.632573843
 01/01  06:00:00,166.261896744,30.9685016738,40.8116193072,0.0,19.466279405,30.610668775,246.43234531,50.1917834069,8.3303,187.910261903
 01/01  07:00:00,250.557680321,34.2251271845,50.3455462729,0.0,42.6918050922,54.3732441037,326.370827157,42.2013278102,16.6606,267.508899347
 01/01  08:00:00,329.939229236,35.9092383824,74.0068251758,0.0,49.3960418185,88.5934452969,611.186995739,141.39020091,24.9909,444.805894829
 01/01  09:00:00,371.208325806,35.8534399398,100.109457492,0.0,57.6566862989,112.030105488,823.270752729,161.272877851,33.3212,628.676674878
 01/01  10:00:00,296.016194301,36.4210985992,80.4901149392,0.0,50.9524495726,81.1684271793,707.117196215,182.9944923,66.8089,457.313803915
 01/01  11:00:00,229.150022673,36.5127807302,58.8578252563,0.0,42.6918050922,68.9656133826,590.950877626,166.424178409,83.4695,341.057199216
 01/01  12:00:00,218.401313341,36.5639155458,52.1264398681,0.0,38.286128036,68.9656133826,504.801688588,143.711068387,83.4695,277.621120201
 01/01  13:00:00,213.640847004,36.6011261523,48.2721238583,0.0,38.286128036,68.9656133826,425.024786227,144.394976581,83.4695,197.160309646
 01/01  14:00:00,211.200558812,36.634753457,64.6630415998,0.0,31.5818913096,56.727595265,424.933035779,152.664891722,75.1392,197.128944057
 01/01  15:00:00,200.08782127,36.6632686431,53.5787688067,0.0,31.5818913096,56.727595265,424.47353177,161.216995364,66.8089,196.447636406
 01/01  16:00:00,193.242287094,36.6841749214,46.7544357249,0.0,31.5818913096,56.727595265,441.197532432,169.602236516,75.1392,196.456095917
 01/01  17:00:00,227.127236573,36.380472779,51.692131214,0.0,31.5818913096,61.661095265,402.731599389,160.931527904,91.7998,150.000271485
 01/01  18:00:00,269.297967474,35.8534399398,55.5516796998,0.0,31.5818913096,70.9729253606,393.872314835,151.540646598,49.9818,192.349868237
 01/01  19:00:00,342.638919921,35.8534399398,61.583058505,0.0,80.3315023541,83.7685254822,432.940990306,156.32190799,49.9818,226.637282317
 01/01  20:00:00,358.686369015,35.8534399398,73.6381528106,0.0,102.000620287,77.6748002752,497.131306952,159.609027493,33.3212,304.201079459
 01/01  21:00:00,389.947225262,35.8534399398,84.347603412,0.0,108.704857014,91.4735406516,486.419134371,153.496077183,33.3212,299.601857187
 01/01  22:00:00,364.419921679,35.8534399398,87.1383074294,0.0,95.2963835608,89.1510273009,440.741422476,116.121188319,24.9909,299.629334157
 01/01  23:00:00,311.741951593,35.8534399398,87.7769744274,0.0,80.3315023541,63.3799339444,544.902507081,85.6280514661,16.6606,442.613855615
 01/01  24:00:00,226.672683134,35.8534399398,67.2462949282,0.0,42.6918050922,48.4199368926,334.469579123,69.2012940833,8.3303,256.937985039
 01/02  01:00:00,163.345227018,30.9685016738,50.8057179843,0.0,25.5240853573,30.610668775,200.166717461,43.587380367,3.33212,153.247217094
 01/02  02:00:00,148.896451028,30.9685016738,43.7468749846,0.0,19.418418834,29.3649097162,147.247251689,35.1250654179,3.33212,108.790066271
 01/02  03:00:00,140.448425231,30.9685016738,43.2366167471,0.0,12.7620426787,28.1191506574,145.74738399,27.2126474749,3.33212,115.202616515
 01/02  04:00:00,139.360755647,30.9685016738,42.1631805945,0.0,12.7620426787,28.1191506574,136.041534413,23.936524808,3.33212,108.772889605
