Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,165.073924352,30.9355630884,40.8669391885,0.0,34.4311606118,33.1021868926,213.173033553,63.0435929909,3.33212,146.797320562
 01/01  02:00:00,155.279876774,30.9355630884,31.0579132593,0.0,34.4311606118,33.1021868926,172.252923192,53.5630509934,3.33212,115.357752199
 01/01  03:00:00,132.563528065,30.9355630884,25.8289317705,0.0,19.466279405,30.610668775,167.683330995,49.0184513467,3.33212,115.332759649
 01/01  04:00:00,129.710337366,30.9355630884,22.9918396276,0.0,19.466279405,30.610668775,160.549767059,47.0653988034,3.33212,110.152248256
 01/01  05:00:00,137.247063307,30.9355630884,23.9509039903,0.0,19.466279405,30.610668775,201.551143147,46.2826778189,3.33212,151.936345328
 01/01  06:00:00,151.347423338,30.9355630884,25.7987119537,0.0,19.466279405,30.610668775,242.215763615,45.9820233262,8.3303,187.903440288
 01/01  07:00:00,233.248603047,30.9355630884,36.1485767107,0.0,42.6918050922,54.3732441037,329.157615185,44.993717035,16.6606,267.50329815
 01/01  08:00:00,307.238027078,35.8251307188,61.1136672178,0.0,49.3960418185,88.5934452969,713.461912841,243.670450014,24.9909,444.800562826
 01/01  09:00:00,345.281654658,35.8128128102,72.6736675466,0.264007499035,57.6566862989,112.030105488,939.63076105,277.65993831,33.3212,628.64962274
 01/01  10:00:00,256.945045901,36.0065530598,40.5519464452,0.275615753012,50.9524495726,81.1684271793,798.21099111,274.104902434,66.8089,457.297188676
 01/01  11:00:00,202.405626646,36.1445951414,31.0611981878,0.156448479409,42.6918050922,68.9656133826,704.877871279,280.311845172,83.4695,341.096526108
 01/01  12:00:00,195.422815287,36.2810021917,27.4844853527,0.356975368046,38.286128036,68.9656133826,643.739906801,282.648225024,83.4695,277.622181778
 01/01  13:00:00,190.651767393,36.3359717097,23.6940816302,0.186366470441,38.286128036,68.9656133826,559.851174223,279.221374885,83.4695,197.160299338
 01/01  14:00:00,171.14067071,36.3593451258,23.1671361604,0.121205257789,31.5818913096,56.727595265,560.869806151,288.594186854,75.1392,197.136419298
 01/01  15:00:00,171.44769885,36.4162870161,23.4437116743,0.101959648408,31.5818913096,56.727595265,555.55264277,292.296177755,66.8089,196.447565016
 01/01  16:00:00,171.060224487,36.4391624488,22.9226282465,0.223589246374,31.5818913096,56.727595265,565.74885674,294.152948959,75.1392,196.456707781
 01/01  17:00:00,210.379971471,36.1656388186,22.2054304525,0.116483792091,31.5818913096,61.661095265,531.729838354,290.103611248,91.7998,149.826427106
 01/01  18:00:00,251.108470992,35.8087926486,30.022135978,0.0750464405068,31.5818913096,70.9729253606,525.321170463,282.808458691,49.9818,192.530911772
 01/01  19:00:00,324.335102334,35.8195130795,41.3230573194,0.278310749392,80.3315023541,83.7685254822,552.559357525,275.941256936,49.9818,226.63630059
 01/01  20:00:00,340.285834019,35.7994122715,53.6486646272,0.0,102.000620287,77.6748002752,599.520411388,261.997566852,33.3212,304.201644536
 01/01  21:00:00,369.481850904,35.7994122715,62.3293016236,0.0,108.704857014,91.4735406516,587.912770766,255.099781839,33.3212,299.491788928
 01/01  22:00:00,343.34457227,35.7994122715,64.3565441257,0.0,95.2963835608,89.1510273009,581.756757835,257.02663132,24.9909,299.739226515
 01/01  23:00:00,340.427457055,35.7994122715,114.367310611,0.0,80.3315023541,63.3799339444,725.415142796,266.140557334,16.6606,442.613985462
 01/01  24:00:00,225.257703805,35.8262133489,63.1866250167,0.406790195838,42.6918050922,48.4199368926,543.980494189,278.71190107,8.3303,256.938293119
 01/02  01:00:00,153.084958064,30.9355630884,40.3173309916,0.0,25.5240853573,30.610668775,219.495058011,62.920754474,3.33212,153.242183537
