Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,164.727031885,30.9495068479,40.594319541,0.0,34.4311606118,33.1021868926,219.555820087,69.430125618,3.33212,146.793574469
 01/01  02:00:00,153.940284709,30.9495068479,29.7860684051,0.0,34.4311606118,33.1021868926,173.718708002,55.0279460452,3.33212,115.358641957
 01/01  03:00:00,132.560476782,30.9495068479,25.8877191253,0.0,19.466279405,30.610668775,165.972857112,47.307368996,3.33212,115.333368116
 01/01  04:00:00,130.779347529,30.9495068479,24.1178246296,0.0,19.466279405,30.610668775,157.098718083,43.3391774281,3.33212,110.427420655
 01/01  05:00:00,138.845950857,30.9495068479,25.611778953,0.0,19.466279405,30.610668775,196.251389261,41.2702919154,3.33212,151.648977345
 01/01  06:00:00,154.102251463,30.9495068479,28.6214823173,0.0,19.466279405,30.610668775,236.061524223,39.8296458627,8.3303,187.90157836
 01/01  07:00:00,236.519270959,31.7643728079,38.7128219532,0.0,42.6918050922,54.3732441037,322.0445756,37.8760221971,16.6606,267.507953403
 01/01  08:00:00,310.118300818,35.8387026079,64.2130977195,0.0,49.3960418185,88.5934452969,690.484796053,220.687578307,24.9909,444.806317745
 01/01  09:00:00,369.017677837,35.8387026079,96.8826454476,0.0,57.6566862989,112.030105488,904.22336454,242.208886446,33.3212,628.693278094
 01/01  10:00:00,297.39895259,36.2534666594,81.0449723928,0.0,50.9524495726,81.1684271793,752.008232102,227.885396528,66.8089,457.313935574
 01/01  11:00:00,233.295454865,36.4909009994,62.0767043849,0.0,42.6918050922,68.9656133826,628.257456386,203.735336687,83.4695,341.052619699
