Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,113.204397067,23.6463555858,9.53293458537,16.3343780522,4.12243109448,15.9888894789,102.611327968,99.6195975497,2.97173041782,0.02
 01/02  02:00:00,99.2874163576,19.7052963215,9.43843981176,14.2028977086,4.12243109448,15.9888894789,87.5354961192,84.5437657014,2.97173041782,0.02
 01/02  03:00:00,115.662565663,24.6316204018,13.058925437,18.834429237,4.12243109448,15.9888894789,109.714697042,106.722966624,2.97173041782,0.02
 01/02  04:00:00,96.7813539605,19.7052963215,11.6588555072,15.0710932694,4.12243109448,15.9888894789,88.7666677562,85.7749373384,2.97173041782,0.02
 01/02  05:00:00,134.03644938,29.1147677439,17.1388585498,16.0870572532,12.3672932834,24.9413748627,125.129298069,120.156414039,4.9528840297,0.02
 01/02  06:00:00,165.763447513,28.6773690516,20.8276871176,44.9874938994,12.3672932834,24.9413748627,194.811534649,189.838650619,4.9528840297,0.02
 01/02  07:00:00,215.195290207,29.6001934765,14.6173273257,45.0085487184,24.7345865669,70.7195625826,171.988429925,162.062661866,9.90576805939,0.02
 01/02  08:00:00,220.821652148,29.6505585374,14.6181732678,30.2284449005,37.1018798503,92.3937384068,150.342059805,140.416291746,9.90576805939,0.02
 01/02  09:00:00,220.12088575,29.6718749398,14.6211541431,24.2979582713,37.1018798503,104.434947198,142.319925384,132.394157325,9.90576805939,0.02
 01/02  10:00:00,232.881040089,29.7026983634,12.1525520118,20.4099577312,37.1018798503,116.476155989,151.555127167,133.018675881,9.90576805939,8.63068322655
 01/02  11:00:00,232.71970983,29.7718930889,10.3894008737,17.3801537108,37.1018798503,116.476155989,142.819451614,132.893683555,9.90576805939,0.02
 01/02  12:00:00,233.922486419,29.8262476483,9.77507253575,16.0135698875,37.1018798503,116.476155989,149.038269564,130.494867719,9.90576805939,8.63763378573
 01/02  13:00:00,224.590218093,29.8663453255,9.96573661195,15.4491067855,37.1018798503,104.434947198,138.85873615,128.93296809,9.90576805939,0.02
 01/02  14:00:00,235.736164308,29.9590881234,9.79414141111,14.4367015999,37.1018798503,116.476155989,142.038221327,123.494684821,9.90576805939,8.63776844636
 01/02  15:00:00,236.103710762,30.0048137178,9.35885197201,13.0020739967,37.1018798503,116.476155989,131.286630261,121.360862202,9.90576805939,0.02
 01/02  16:00:00,235.262712676,29.9576460415,8.74166366696,12.020277012,37.1018798503,116.476155989,141.263359387,122.723486523,9.90576805939,8.63410480387
 01/02  17:00:00,240.794518738,29.8769830186,8.29878425576,12.034187785,37.1018798503,116.476155989,138.760207519,128.83443946,9.90576805939,0.02
 01/02  18:00:00,252.50310497,29.8511695353,8.30586314921,13.0089632444,37.1018798503,116.476155989,151.382118306,132.856999042,9.90576805939,8.61935120465
 01/02  19:00:00,161.399843359,28.2284142675,9.45823583051,0.558349369419,24.7345865669,47.5788473902,91.2497730882,86.2768890585,4.9528840297,0.02
 01/02  20:00:00,160.999644732,28.080688688,7.81860503297,0.773881553979,24.7345865669,47.5788473902,94.3950855437,89.422201514,4.9528840297,0.02
 01/02  21:00:00,149.623737179,29.1147677439,9.70322319647,5.56053406069,12.3672932834,38.6892022431,107.920979026,104.929248608,2.97173041782,0.02
 01/02  22:00:00,124.18737962,23.2918141952,7.60821204233,7.00329768889,12.3672932834,27.0668015668,92.8095036414,89.8177732235,2.97173041782,0.02
 01/02  23:00:00,104.021254616,20.1484730597,8.3483111691,12.9297639084,4.12243109448,15.9888894789,81.9974846629,79.0057542451,2.97173041782,0.02
 01/02  24:00:00,114.747474452,24.1884436636,6.99716878386,12.8550906869,4.12243109448,15.9888894789,105.224609024,102.232878607,2.97173041782,0.02
 01/03  01:00:00,109.117062923,20.1484730597,7.69725333048,17.6366776773,4.12243109448,15.9888894789,85.7845892096,82.7928587918,2.97173041782,0.02
 01/03  02:00:00,117.782679599,24.1884436636,7.23344007533,16.0162869504,4.12243109448,15.9888894789,108.452544158,105.460813741,2.97173041782,0.02
 01/03  03:00:00,111.028674942,20.1484730597,7.82760052205,20.4977090108,4.12243109448,15.9888894789,87.9047225786,84.9129921607,2.97173041782,0.02
 01/03  04:00:00,119.386175155,24.1884436636,7.02464253663,18.3657327334,4.12243109448,15.9888894789,110.794287577,107.80255716,2.97173041782,0.02
 01/03  05:00:00,149.96356615,29.1147677439,8.25820734665,19.5588482713,12.3672932834,24.9413748627,125.230945908,120.258061878,4.9528840297,0.02
 01/03  06:00:00,182.06061821,28.68318216,12.4009169784,48.2822893455,12.3672932834,24.9413748627,195.903636764,190.930752734,4.9528840297,0.02
 01/03  07:00:00,236.468969387,29.5937439723,5.54708292895,51.0673717566,24.7345865669,70.7195625826,201.148387905,191.222619846,9.90576805939,0.02
 01/03  08:00:00,245.037083263,29.6503734786,5.11369072457,37.6145305349,37.1018798503,92.3937384068,185.787128302,175.861360242,9.90576805939,0.02
 01/03  09:00:00,243.5101425,29.6726591006,5.11964159846,30.0423678922,37.1018798503,104.434947198,184.929562457,166.397717741,9.90576805939,8.62607665596
 01/03  10:00:00,249.868701112,29.7002190887,5.7432132554,23.6878947143,37.1018798503,116.476155989,166.426617308,156.500849248,9.90576805939,0.02
 01/03  11:00:00,246.47741753,29.7673038615,6.19027476899,20.1031201352,37.1018798503,116.476155989,166.255083071,147.713250833,9.90576805939,8.63606417892
 01/03  12:00:00,244.236793139,29.8511295495,6.18899341607,17.6160198582,37.1018798503,116.476155989,151.267597565,141.341829506,9.90576805939,0.02
 01/03  13:00:00,232.780030648,29.9547963964,6.18881544847,16.0900275773,37.1018798503,104.434947198,154.584310013,136.045913995,9.90576805939,8.63262795905
 01/03  14:00:00,242.7310406,30.0337695948,6.19028877088,14.8558847692,37.1018798503,116.476155989,142.259843963,132.334075904,9.90576805939,0.02
 01/03  15:00:00,241.734954013,30.0261170718,6.19162541322,13.6305351696,37.1018798503,116.476155989,149.25352312,130.711792224,9.90576805939,8.63596283654
 01/03  16:00:00,240.849445729,29.9435626729,6.19582811361,12.8755041074,37.1018798503,116.476155989,141.982261144,132.056493085,9.90576805939,0.02
 01/03  17:00:00,247.081630576,29.8638864568,6.1987849146,13.0953713557,37.1018798503,116.476155989,155.258823713,136.723766276,9.90576805939,8.62928937779
