Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,83.9544937462,21.0355577781,27.9852690432,0.198367987547,4.12243109448,15.9888894789,91.2900527181,88.2983223003,2.97173041782,0.02
 01/02  02:00:00,75.641358765,17.9157610862,23.0383827904,0.0,4.12243109448,15.9888894789,80.9243377698,77.932607352,2.97173041782,0.02
 01/02  03:00:00,82.5447672439,19.0668855917,28.6012630518,0.189403793721,4.12243109448,15.9888894789,81.2262086624,78.2344782446,2.97173041782,0.02
 01/02  04:00:00,85.8459302525,20.1397697238,30.6924556632,0.302448151811,4.12243109448,15.9888894789,85.4402655191,82.4485351013,2.97173041782,0.02
 01/02  05:00:00,120.343509045,28.1280721802,39.9468676481,0.14358719069,12.3672932834,24.9413748627,113.723800294,108.750916265,4.9528840297,0.02
 01/02  06:00:00,143.933348174,29.2066939512,46.6875449665,15.9141272824,12.3672932834,24.9413748627,183.186237924,178.213353895,4.9528840297,0.02
 01/02  07:00:00,199.276859813,29.6941386156,47.8298786508,11.4823796122,24.7345865669,70.7195625826,149.346970768,139.421202709,9.90576805939,0.02
 01/02  08:00:00,222.496930642,30.0213326229,50.882643744,6.67682086343,37.1018798503,92.3937384068,129.624167393,119.698399334,9.90576805939,0.02
 01/02  09:00:00,229.422612785,30.134158654,52.3807209839,4.64648762588,37.1018798503,104.434947198,122.997759137,113.071991077,9.90576805939,0.02
 01/02  10:00:00,242.180822626,30.2189302248,53.8941694327,3.76481999618,37.1018798503,116.476155989,127.964376624,109.427920586,9.90576805939,8.63068797848
 01/02  11:00:00,244.231833749,30.4273262419,56.6976931195,2.80328958073,37.1018798503,116.476155989,114.202628239,104.27686018,9.90576805939,0.02
 01/02  12:00:00,247.057820858,30.5282251882,60.2383702286,1.98745403285,37.1018798503,116.476155989,120.531151517,101.98774625,9.90576805939,8.63763720822
 01/02  13:00:00,236.90342095,30.6960213264,62.4901931176,1.45526586707,37.1018798503,104.434947198,109.899560795,99.9737927355,9.90576805939,0.02
 01/02  14:00:00,249.683879337,30.6750557474,63.4571808267,1.24787319747,37.1018798503,116.476155989,117.913835771,99.3702963782,9.90576805939,8.63777133373
 01/02  15:00:00,250.50380746,30.6972327099,64.2954372803,1.20760250436,37.1018798503,116.476155989,108.614430921,98.688662862,9.90576805939,0.02
 01/02  16:00:00,247.817779654,30.6508615748,61.476157264,1.38743072577,37.1018798503,116.476155989,117.168087013,98.6282099632,9.90576805939,8.63410899065
 01/02  17:00:00,245.110731352,30.5227728167,53.7157717075,1.87113938773,37.1018798503,116.476155989,109.493497714,99.5677296548,9.90576805939,0.02
 01/02  18:00:00,248.197586866,30.4425673001,46.99067928,2.36778925786,37.1018798503,116.476155989,118.760965244,100.235837988,9.90576805939,8.61935919699
