Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,104.096247055,23.7008531344,15.9993441696,13.6798306966,4.12243109448,15.9888894789,100.68672544,97.6949950224,2.97173041782,0.02
 01/02  02:00:00,90.367777668,19.6770093962,13.6323605376,12.127122993,4.12243109448,15.9888894789,87.7014179302,84.7096875124,2.97173041782,0.02
 01/02  03:00:00,106.089843267,24.5962617453,16.6832063317,15.7907691948,4.12243109448,15.9888894789,109.408646265,106.416915847,2.97173041782,0.02
 01/02  04:00:00,92.6237091809,19.6770093962,12.7797002153,12.9267798686,4.12243109448,15.9888894789,88.2063494548,85.2146190369,2.97173041782,0.02
 01/02  05:00:00,131.951156811,29.0733047995,17.3048533147,14.0189298129,12.3672932834,24.9413748627,124.49968468,119.52680065,4.9528840297,0.02
 01/02  06:00:00,161.132105746,28.6380784984,20.422242645,41.7649053073,12.3672932834,24.9413748627,194.367568598,189.394684569,4.9528840297,0.02
 01/02  07:00:00,212.019867055,29.5693051924,14.1510102461,41.9892601186,24.7345865669,70.7195625826,173.123036161,163.197268101,9.90576805939,0.02
 01/02  08:00:00,219.674842528,29.6247831467,13.9194830484,29.7110497139,37.1018798503,92.3937384068,152.903931731,142.978163671,9.90576805939,0.02
 01/02  09:00:00,224.269228556,29.6442751473,13.8400543739,26.4333526885,37.1018798503,104.434947198,147.077488161,137.151720101,9.90576805939,0.02
 01/02  10:00:00,233.820655854,29.6566488106,14.2191593586,23.9888198852,37.1018798503,116.476155989,150.704795006,132.168343688,9.90576805939,8.6306832591
 01/02  11:00:00,233.613317927,29.6666584862,14.2817207446,22.0391005056,37.1018798503,116.476155989,138.729456622,128.803688563,9.90576805939,0.02
 01/02  12:00:00,232.626926615,29.6751964123,14.4427730791,19.3554208611,37.1018798503,116.476155989,143.358976924,124.815575079,9.90576805939,8.63763378519
 01/02  13:00:00,220.235915314,29.6868763513,14.0055855624,18.0621589257,37.1018798503,104.434947198,133.820494977,123.894726917,9.90576805939,0.02
 01/02  14:00:00,229.865003547,29.7068452689,13.5579480954,17.4267926717,37.1018798503,116.476155989,142.917364264,124.373937117,9.90576805939,8.637659087
 01/02  15:00:00,229.491212872,29.7304300522,13.5618262227,16.9295549773,37.1018798503,116.476155989,132.860152323,122.934384263,9.90576805939,0.02
 01/02  16:00:00,228.943171437,29.7501316149,13.5670293063,16.3204777837,37.1018798503,116.476155989,139.926367301,121.386494431,9.90576805939,8.63410481014
 01/02  17:00:00,235.013313968,29.7682285444,13.5707042798,15.8191207859,37.1018798503,116.476155989,129.700903131,119.775135071,9.90576805939,0.02
 01/02  18:00:00,247.173415086,29.7809511915,13.5688529225,15.9611783994,37.1018798503,116.476155989,137.67494167,119.149822308,9.90576805939,8.61935130197
 01/02  19:00:00,151.453588148,27.8940800133,13.8537936639,0.313741137584,24.7345865669,47.5788473902,91.7002751681,86.7273911384,4.9528840297,0.02
 01/02  20:00:00,154.344314582,28.3362893081,15.000483616,1.1523532083,24.7345865669,47.5788473902,95.6796652583,90.7067812286,4.9528840297,0.02
 01/02  21:00:00,132.096954816,27.746676915,12.6215289362,1.77660101646,12.3672932834,38.6892022431,108.378992429,105.387262012,2.97173041782,0.02
 01/02  22:00:00,113.084390851,22.8164345448,12.440006402,4.12286525415,12.3672932834,27.0668015668,92.3459866433,89.3542562255,2.97173041782,0.02
 01/02  23:00:00,95.8819148983,20.119218691,13.7012278511,10.1446745927,4.12243109448,15.9888894789,81.5124621624,78.5207317446,2.97173041782,0.02
 01/02  24:00:00,105.762649073,24.1540524504,13.8761321336,9.73069030805,4.12243109448,15.9888894789,103.911094496,100.919364078,2.97173041782,0.02
 01/03  01:00:00,100.988704572,20.119218691,13.2359505567,13.8188242374,4.12243109448,15.9888894789,84.339083859,81.3473534412,2.97173041782,0.02
 01/03  02:00:00,108.619370172,24.1540524504,13.5706237888,11.9634722818,4.12243109448,15.9888894789,106.4199061,103.428175682,2.97173041782,0.02
 01/03  03:00:00,103.23355525,20.119218691,12.9618030847,16.3309093164,4.12243109448,15.9888894789,86.2410098945,83.2492794767,2.97173041782,0.02
 01/03  04:00:00,109.587661758,24.1540524504,12.8619888227,13.7370619517,4.12243109448,15.9888894789,108.557060854,105.565330436,2.97173041782,0.02
 01/03  05:00:00,138.980883442,29.0733047995,14.8504159313,15.2356380327,12.3672932834,24.9413748627,123.234543357,118.261659327,4.9528840297,0.02
 01/03  06:00:00,169.258586188,28.6381378834,18.7133307116,42.2894202847,12.3672932834,24.9413748627,193.745620506,188.772736476,4.9528840297,0.02
