Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,69.3278404556,17.4382257133,17.2132978569,0.0,4.12243109448,15.9888894789,78.0578863053,75.0661558875,2.97173041782,0.02
 01/02  02:00:00,78.9794619462,22.29472771,21.8375297247,0.0,4.12243109448,15.9888894789,97.87638305,94.8846526322,2.97173041782,0.02
 01/02  03:00:00,71.8014583982,19.055191941,17.9691439864,0.0580837295969,4.12243109448,15.9888894789,79.4381062124,76.4463757946,2.97173041782,0.02
 01/02  04:00:00,80.9309547876,23.514137483,22.4365125373,0.133100300606,4.12243109448,15.9888894789,100.287578177,97.295847759,2.97173041782,0.02
 01/02  05:00:00,106.802666775,27.9875998081,26.5526947752,0.0896544209394,12.3672932834,24.9413748627,112.108217353,107.135333324,4.9528840297,0.02
 01/02  06:00:00,124.499468625,29.0736269292,29.2288110606,14.0243128706,12.3672932834,24.9413748627,179.334351736,174.361467707,4.9528840297,0.02
 01/02  07:00:00,179.221685078,29.5805111172,29.5890189102,9.73395628403,24.7345865669,70.7195625826,145.535759059,135.609990999,9.90576805939,0.02
 01/02  08:00:00,210.366728357,29.9294003409,29.8528822426,6.22389430727,37.1018798503,92.3937384068,126.725441496,116.799673437,9.90576805939,0.02
 01/02  09:00:00,209.821145245,30.0155548333,32.1985306218,5.29800455061,37.1018798503,104.434947198,121.366179395,111.440411336,9.90576805939,0.02
 01/02  10:00:00,223.014201675,30.0630301576,33.9594585917,4.64099828603,37.1018798503,116.476155989,127.113770367,108.576449461,9.90576805939,8.63155284605
 01/02  11:00:00,223.190709582,30.0973421434,34.6665213425,4.0754720567,37.1018798503,116.476155989,116.342915093,106.417147034,9.90576805939,0.02
 01/02  12:00:00,223.442754244,30.1264601447,35.3129379819,3.65176023231,37.1018798503,116.476155989,123.14896579,104.602716378,9.90576805939,8.64048135295
 01/02  13:00:00,211.053964121,30.1861048706,35.334171575,3.22389636452,37.1018798503,104.434947198,112.490950423,102.565182364,9.90576805939,0.02
 01/02  14:00:00,225.493320247,30.5835464839,38.0263446274,2.53184440818,37.1018798503,116.476155989,115.048591602,96.5021935511,9.90576805939,8.64062999187
 01/02  15:00:00,228.293937377,31.0025750162,40.9431122967,1.99684617356,37.1018798503,116.476155989,110.44481807,91.9005168669,9.90576805939,8.63853314355
 01/02  16:00:00,228.977671926,31.1644172882,41.8371276565,1.62499935392,37.1018798503,116.476155989,99.4107958638,89.4850278045,9.90576805939,0.02
 01/02  17:00:00,228.565982935,31.0853308033,41.7317935548,1.39829011509,37.1018798503,116.476155989,108.013943023,89.4768100447,9.90576805939,8.63136491898
 01/02  18:00:00,237.137382562,30.7919944845,41.3156498193,1.28377303277,37.1018798503,116.476155989,101.78641369,91.8606456309,9.90576805939,0.02
 01/02  19:00:00,149.452686574,28.0601837231,34.2140776895,0.0,24.7345865669,47.5788473902,76.311367439,71.3384834094,4.9528840297,0.02
 01/02  20:00:00,150.879100313,28.7134389587,34.9872311642,0.0,24.7345865669,47.5788473902,81.97215701,76.9992729803,4.9528840297,0.02
 01/02  21:00:00,126.598416948,27.6246802327,33.0522392375,0.0,12.3672932834,38.6892022431,95.7341117753,92.7423813575,2.97173041782,0.02
 01/02  22:00:00,86.3277294244,14.7041292248,17.6838126537,0.0,12.3672932834,27.0668015668,59.9084388766,56.9167084588,2.97173041782,0.02
 01/02  23:00:00,76.2749470958,19.7645282149,21.7401126914,0.0,4.12243109448,15.9888894789,85.5613322496,82.5696018318,2.97173041782,0.02
 01/02  24:00:00,59.1917214718,12.4642653899,12.1878482083,0.0,4.12243109448,15.9888894789,51.4937844782,48.5020540603,2.97173041782,0.02
 01/03  01:00:00,74.2572527043,19.9469810494,19.5655985354,0.0,4.12243109448,15.9888894789,94.0070710109,82.4351909253,2.97173041782,8.60014966786
 01/03  02:00:00,69.2914320168,17.835782168,16.7366099604,0.0,4.12243109448,15.9888894789,80.1742387309,77.1825083131,2.97173041782,0.02
 01/03  03:00:00,78.314725127,23.3834864359,20.0184133199,0.0656198407273,4.12243109448,15.9888894789,99.8046171765,96.8128867586,2.97173041782,0.02
 01/03  04:00:00,69.5680332393,19.1422926391,15.486287586,0.220413318193,4.12243109448,15.9888894789,81.1836167877,78.1918863699,2.97173041782,0.02
 01/03  05:00:00,102.285960249,27.9875998081,21.9840296289,0.141612132959,12.3672932834,24.9413748627,113.752438547,108.779554517,4.9528840297,0.02
