Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,102.241014781,23.2278289519,5.28120778135,14.8605238935,4.12243109448,15.9888894789,100.444396816,97.4526663979,2.97173041782,0.02
 01/02  02:00:00,90.7160066857,19.4285003554,6.34384468888,13.1344149584,4.12243109448,15.9888894789,85.7428978194,82.7511674016,2.97173041782,0.02
 01/02  03:00:00,107.287215795,24.2856254442,7.80562932794,17.5700791233,4.12243109448,15.9888894789,107.403691777,104.411961359,2.97173041782,0.02
 01/02  04:00:00,93.3744878836,19.4285003554,5.90003713996,14.322645777,4.12243109448,15.9888894789,86.8602659855,83.8685355677,2.97173041782,0.02
 01/02  05:00:00,133.848937255,28.7108931604,8.29554941095,15.5587083867,12.3672932834,24.9413748627,122.452414088,117.479530058,4.9528840297,0.02
 01/02  06:00:00,164.301862609,28.285021601,11.3901184932,42.8109324421,12.3672932834,24.9413748627,189.263775441,184.290891411,4.9528840297,0.02
 01/02  07:00:00,221.747677828,29.1871052006,11.3118940014,42.3776912532,24.7345865669,70.7195625826,175.784091785,165.858323725,9.90576805939,0.02
 01/02  08:00:00,231.988123843,29.2405349476,10.7540870545,30.414440766,37.1018798503,92.3937384068,159.001295467,149.075527407,9.90576805939,0.02
 01/02  09:00:00,237.499601846,29.2617334171,9.87387957091,26.9693229486,37.1018798503,104.434947198,155.63810906,145.712341001,9.90576805939,0.02
 01/02  10:00:00,249.163058448,29.274217091,9.41803332344,24.8282127851,37.1018798503,116.476155989,162.731951886,144.194631024,9.90576805939,8.63155280261
 01/02  11:00:00,243.434924005,29.2843267509,9.77119313138,22.9175952414,37.1018798503,116.476155989,150.781762265,140.855994206,9.90576805939,0.02
 01/02  12:00:00,240.234416737,29.2938451046,10.0149712799,21.3426383304,37.1018798503,116.476155989,156.128834787,137.582585375,9.90576805939,8.64048135284
 01/02  13:00:00,229.997299301,29.3038930225,10.0224901493,20.0469444144,37.1018798503,104.434947198,145.353558522,135.427790463,9.90576805939,0.02
 01/02  14:00:00,241.258514688,29.3137831631,9.67309855315,18.8999118122,37.1018798503,116.476155989,152.906988241,134.36059019,9.90576805939,8.64062999179
 01/02  15:00:00,240.813256356,29.3254346298,9.42767074402,18.1516204227,37.1018798503,116.476155989,152.575516312,134.031215109,9.90576805939,8.63853314343
 01/02  16:00:00,241.71233171,29.3397049517,8.78592836236,17.8812611799,37.1018798503,116.476155989,144.732091512,134.806323452,9.90576805939,0.02
 01/02  17:00:00,251.338159797,29.3583327846,8.32685670791,17.8217266688,37.1018798503,116.476155989,154.457879869,135.920885273,9.90576805939,8.63122653655
 01/02  18:00:00,256.718258602,29.3737810051,8.32514175888,17.678443307,37.1018798503,116.476155989,145.039681709,135.11391365,9.90576805939,0.02
 01/02  19:00:00,156.242504258,27.8471784153,4.99278597913,0.976789001869,24.7345865669,47.5788473902,92.5203818568,87.5474978271,4.9528840297,0.02
 01/02  20:00:00,156.112184577,27.7032259577,4.61715326781,1.17241239437,24.7345865669,47.5788473902,94.5592639278,89.5863798981,4.9528840297,0.02
 01/02  21:00:00,139.994924163,28.5669407029,4.20639341274,6.37627250931,12.3672932834,38.6892022431,107.267388678,104.275658261,2.97173041782,0.02
 01/02  22:00:00,116.042588363,22.9687145284,3.14303155498,7.71075885201,12.3672932834,27.0668015668,91.5081789462,88.5164485283,2.97173041782,0.02
 01/02  23:00:00,95.3188122796,19.8603577279,2.28859848626,13.3213131434,4.12243109448,15.9888894789,81.0059494087,78.0142189908,2.97173041782,0.02
 01/02  24:00:00,105.926201166,23.8537680716,2.52175780687,12.6809840326,4.12243109448,15.9888894789,103.710788147,100.719057729,2.97173041782,0.02
 01/03  01:00:00,99.1437857154,19.8603577279,1.36773297781,17.1666019796,4.12243109448,15.9888894789,92.9738085192,81.4018885109,2.97173041782,8.60018959044
 01/03  02:00:00,109.106456741,23.8537680716,1.12462450158,15.6765889689,4.12243109448,15.9888894789,106.822767369,103.831036951,2.97173041782,0.02
 01/03  03:00:00,102.558220079,19.8603577279,0.260979919791,20.2187388112,4.12243109448,15.9888894789,86.5895896923,83.5978592744,2.97173041782,0.02
 01/03  04:00:00,112.477958134,23.8537680716,0.141755042343,18.1828823875,4.12243109448,15.9888894789,111.157654679,108.165924261,2.97173041782,0.02
 01/03  05:00:00,143.082004357,28.7108931604,0.0,19.5564217206,12.3672932834,24.9413748627,132.488808887,127.515924857,4.9528840297,0.02
 01/03  06:00:00,173.336623441,28.290994173,1.44344834409,47.968148482,12.3672932834,24.9413748627,194.492517122,189.519633092,4.9528840297,0.02
 01/03  07:00:00,234.349130623,29.1809233195,0.879657055093,50.9197124741,24.7345865669,70.7195625826,213.890690019,203.96492196,9.90576805939,0.02
 01/03  08:00:00,242.82621444,29.2399248495,0.126854817231,37.463570628,37.1018798503,92.3937384068,200.303368774,190.377600715,9.90576805939,0.02
