Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,85.949449468,21.0989155856,12.4722723932,0.666788401934,4.12243109448,15.9888894789,91.8570589506,88.8653285328,2.97173041782,0.02
 01/02  02:00:00,76.8074353038,18.1771353737,9.32725268324,0.586799862348,4.12243109448,15.9888894789,81.0453102725,78.0535798546,2.97173041782,0.02
 01/02  03:00:00,88.9490931058,23.2636689555,11.9119975499,1.73100458013,4.12243109448,15.9888894789,101.8914611,98.8997306825,2.97173041782,0.02
 01/02  04:00:00,77.9532919826,18.8278350598,9.70494022753,2.21151419324,4.12243109448,15.9888894789,82.8016272879,79.8098968701,2.97173041782,0.02
 01/02  05:00:00,112.81590517,27.7718028164,14.5378577041,1.66550551096,12.3672932834,24.9413748627,116.532610458,111.559726429,4.9528840297,0.02
 01/02  06:00:00,142.326615252,28.8630044512,18.0044936448,27.5188864764,12.3672932834,24.9413748627,183.002489366,178.029605336,4.9528840297,0.02
 01/02  07:00:00,195.286295128,29.3624987481,18.6151330079,20.9213462374,24.7345865669,70.7195625826,148.701638108,138.775870049,9.90576805939,0.02
 01/02  08:00:00,210.381792104,29.53596008,18.6279493165,14.6252578347,37.1018798503,92.3937384068,129.433602491,119.507834432,9.90576805939,0.02
 01/02  09:00:00,210.949721882,29.6278860634,18.6311711683,11.4748163152,37.1018798503,104.434947198,122.822955966,112.897187907,9.90576805939,0.02
 01/02  10:00:00,222.689564031,29.659795852,19.7048801639,10.7257386062,37.1018798503,116.476155989,128.819737679,110.282416942,9.90576805939,8.63155267704
 01/02  11:00:00,222.691627371,29.6855045287,20.9994512615,9.73251701098,37.1018798503,116.476155989,118.121074841,108.195306781,9.90576805939,0.02
 01/02  12:00:00,222.419040677,29.7119057287,21.3834878971,8.7837656021,37.1018798503,116.476155989,124.838276944,106.292027532,9.90576805939,8.64048135251
