Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,63.7959105889,5.02098833457,3.35313809337,0.0,15.863942322,29.242365,150.783814408,147.558134408,3.20568,0.02
 01/01  02:00:00,63.1068618881,4.88325030168,2.81327522655,0.0,15.863942322,29.242365,141.435280959,138.209600959,3.20568,0.02
 01/01  03:00:00,64.5448711225,5.58479948407,3.48300728375,0.0,15.863942322,29.242365,198.536914213,192.448294377,3.20568,2.88293983579
 01/01  04:00:00,63.4370418431,5.22280130934,2.8052650762,0.0,15.863942322,29.242365,144.27706826,141.05138826,3.20568,0.02
 01/01  05:00:00,65.0843896272,5.94860413513,3.47931602899,0.0,15.863942322,29.242365,194.245811664,188.157135133,3.20568,2.88299653094
 01/01  06:00:00,63.5866630788,5.22280130934,2.80577685804,0.0,15.863942322,29.242365,138.021037258,134.795357258,3.20568,0.02
 01/01  07:00:00,65.0910881372,5.98902687414,3.48022583666,0.0,15.863942322,29.242365,187.236380289,184.010700289,3.20568,0.02
 01/01  08:00:00,57.4379595558,4.89500300548,2.81478175027,0.0,15.863942322,29.242365,114.347118592,108.258450076,3.20568,2.88298851556
 01/01  09:00:00,55.4548556228,5.04061995936,3.51318847697,0.0,15.863942322,29.242365,108.384867381,105.159187381,3.20568,0.02
 01/01  10:00:00,53.161794437,3.3162713293,2.92960410472,0.0,15.863942322,29.242365,62.0966409998,56.0063683132,3.20568,2.88459268653
 01/01  11:00:00,55.0909804271,4.09672590724,4.06051348193,0.0,15.863942322,29.242365,71.9447407518,65.8543924814,3.20568,2.88466827045
 01/01  12:00:00,53.7761177153,2.52686029464,3.60405301423,0.0,15.863942322,29.242365,37.1586348529,33.9329548529,3.20568,0.02
 01/01  13:00:00,54.761202328,2.93291918416,4.93433031677,0.0,15.863942322,29.242365,43.0277673271,36.9374938863,3.20568,2.88459344073
 01/01  14:00:00,53.6068670571,2.67678360429,4.00374295205,0.0,15.863942322,29.242365,39.4214972846,33.3312221794,3.20568,2.88459510518
 01/01  15:00:00,54.3271108967,2.89849749073,4.48558674081,0.0,15.863942322,29.242365,38.0523528821,34.8266728821,3.20568,0.02
 01/01  16:00:00,52.9087219056,2.67678360429,3.30770401627,0.0,15.863942322,29.242365,37.9431727987,34.7174927987,3.20568,0.02
 01/01  17:00:00,55.5942003499,2.67678360429,3.23107966329,0.0,15.863942322,29.242365,40.3016094532,34.2130507889,3.20568,2.88287866429
 01/01  18:00:00,63.4707188314,4.34192070062,3.71220552702,0.0,15.863942322,29.242365,68.7128527267,65.4871727267,3.20568,0.02
 01/01  19:00:00,61.9861285098,3.7293316505,2.83888996318,0.0,15.863942322,29.242365,68.5988405945,62.5101933788,3.20568,2.88296721568
 01/01  20:00:00,62.9439438855,3.76898844817,3.54770895129,0.0,15.863942322,29.242365,60.3605437439,57.1348637439,3.20568,0.02
 01/01  21:00:00,62.661218557,4.22232793733,2.81609961291,0.0,15.863942322,29.242365,81.047765558,74.9591101135,3.20568,2.88297544447
 01/01  22:00:00,63.6493903245,4.58575567064,3.53476557323,0.0,15.863942322,29.242365,91.6866449598,88.4609649598,3.20568,0.02
 01/01  23:00:00,62.4805858629,4.30226390296,2.81206301648,0.0,15.863942322,29.242365,90.3325915758,87.1069115758,3.20568,0.02
 01/01  24:00:00,64.5923863245,4.93493932154,3.53444268713,0.0,15.863942322,29.242365,104.132331448,98.0436679579,3.20568,2.88298348967
 01/02  01:00:00,63.4072872202,5.2253988239,2.8024490714,0.0,15.863942322,29.242365,106.217648498,102.991968498,3.20568,0.02
 01/02  02:00:00,63.2308142187,4.31951604091,3.54234334537,0.0,15.863942322,29.242365,88.1995092373,82.1092006458,3.20568,2.88462859143
 01/02  03:00:00,62.6064601369,4.30226390296,2.94174386631,0.0,15.863942322,29.242365,85.6413083593,79.5509380965,3.20568,2.88469026278
 01/02  04:00:00,63.0765870171,4.00879634505,3.70729251462,0.0,15.863942322,29.242365,70.6903501936,67.4646701936,3.20568,0.02
 01/02  05:00:00,62.3879224443,3.7293316505,3.08994809687,0.0,15.863942322,29.242365,65.7000566738,59.6097189262,3.20568,2.88465774764
 01/02  06:00:00,63.4777963588,4.08873231068,3.82309905823,0.0,15.863942322,29.242365,77.4628172171,71.3724551701,3.20568,2.88468204702
 01/02  07:00:00,65.9841550284,7.70630915929,0.00720531061158,0.0,15.863942322,29.818365,775.386657385,772.160977385,3.20568,0.02
 01/02  08:00:00,124.288243323,7.70630915929,0.000700156416637,0.0,80.527626,29.818365,436.261322383,430.166964844,3.20568,2.88867753924
 01/02  09:00:00,166.439161296,7.70630915929,0.00801900659766,0.0,80.527626,75.0917375,335.444070173,299.825221686,24.0426,11.5762484866
 01/02  10:00:00,166.430021148,7.70630915929,0.00226106738566,0.0,80.527626,75.0917375,314.308829334,269.868937912,24.0426,20.3972914218
 01/02  11:00:00,170.405519433,7.70630915929,0.00138078296406,0.0,80.527626,79.0911225,313.657674674,264.10027577,32.0568,17.5005989041
 01/02  12:00:00,171.161482022,7.70630915929,0.0,0.0,80.527626,79.0911225,302.14241072,246.694302817,32.0568,23.3913079024
 01/02  13:00:00,170.391857556,7.70630915929,0.0,0.0,80.527626,79.0911225,300.775045193,242.349141714,32.0568,26.369103479
 01/02  14:00:00,166.401828147,7.70630915929,0.0,0.0,80.527626,75.0917375,285.439898504,243.01284672,16.0284,26.3986517837
 01/02  15:00:00,166.390021586,7.70630915929,0.0,0.0,80.527626,75.0917375,274.418316976,240.903586869,16.0284,17.486330106
 01/02  16:00:00,164.362046367,7.70630915929,0.0,0.0,80.527626,73.092045,268.876598081,245.243195367,3.20568,20.4277227149
 01/02  17:00:00,167.136890239,7.70630915929,0.0,0.0,80.527626,73.092045,281.983462786,275.888956771,3.20568,2.88882601514
 01/02  18:00:00,129.622964697,7.70630915929,0.0,0.0,80.527626,29.818365,338.900077369,329.937363912,3.20568,5.75703345704
 01/02  19:00:00,129.640187348,7.70630915929,0.0,0.0,80.527626,29.818365,362.864648591,353.886952583,3.20568,5.77201600811
 01/02  20:00:00,129.872055739,7.70630915929,0.0,0.0,80.527626,29.818365,382.177155246,373.190057318,3.20568,5.78141792812
 01/02  21:00:00,129.873943591,7.70630915929,0.0,0.0,80.527626,29.818365,408.08190493,396.219545308,3.20568,8.6566796221
 01/02  22:00:00,55.4258305267,0.0,0.0,0.0,15.863942322,29.242365,8.98342770503,0.0,3.20568,5.77774770503
 01/02  23:00:00,55.3263615106,0.0,0.0,0.0,15.863942322,29.242365,8.96616707833,0.0,3.20568,5.76048707833
 01/02  24:00:00,60.9692473482,1.43760264069,3.39992236004,0.0,15.863942322,29.242365,7.67299110191,1.57928691265,3.20568,2.88802418927
 01/03  01:00:00,61.0364855002,1.79700330086,3.86939688736,0.0,15.863942322,29.242365,6.14583437683,2.92015437683,3.20568,0.02
 01/03  02:00:00,59.756052993,1.43760264069,2.95023217507,0.0,15.863942322,29.242365,10.0975450668,4.00719299949,3.20568,2.88467206735
 01/03  03:00:00,62.0176960345,3.03618426446,3.61013178229,0.0,15.863942322,29.242365,38.8812075287,32.7908474681,3.20568,2.88468006062
