Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5686472382,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5556332452,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5550130623,0.0,0.0,0.0,15.863942322,29.242365,6.08861971177,0.0,3.20568,2.88293971177
 01/01  04:00:00,55.5288470035,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.717066573,0.0,0.0,0.0,15.863942322,29.242365,6.08854757576,0.0,3.20568,2.88286757576
 01/01  06:00:00,55.6970929804,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.7098247183,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,49.9294152507,0.0,0.0,0.0,15.863942322,29.242365,6.08863568082,0.0,3.20568,2.88295568082
 01/01  09:00:00,47.0698320913,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.088176543,0.0,0.0,0.0,15.863942322,29.242365,6.09027256319,0.0,3.20568,2.88459256319
 01/01  11:00:00,47.0815994312,0.0,0.0,0.0,15.863942322,29.242365,6.09015091646,0.0,3.20568,2.88447091646
 01/01  12:00:00,47.7638503356,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.1013996274,0.0,0.0,0.0,15.863942322,29.242365,6.09027344229,0.0,3.20568,2.88459344229
 01/01  14:00:00,47.1806352945,0.0,0.0,0.0,15.863942322,29.242365,6.09015180245,0.0,3.20568,2.88447180245
 01/01  15:00:00,47.2093950149,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.1997582185,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.9441330176,0.0,0.0,0.0,15.863942322,29.242365,6.08855876151,0.0,3.20568,2.88287876151
 01/01  18:00:00,55.6482840396,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.6481394435,0.0,0.0,0.0,15.863942322,29.242365,6.08864687188,0.0,3.20568,2.88296687188
 01/01  20:00:00,55.8804073673,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.8645944805,0.0,0.0,0.0,15.863942322,29.242365,6.08857475578,0.0,3.20568,2.88289475578
 01/01  22:00:00,55.739411831,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.5801715616,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.273565314,0.0,0.0,0.0,15.863942322,29.242365,6.08866282779,0.0,3.20568,2.88298282779
 01/02  01:00:00,55.5864819644,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.5870556054,0.0,0.0,0.0,15.863942322,29.242365,6.09014399091,0.0,3.20568,2.88446399091
 01/02  03:00:00,55.5957660276,0.0,0.0,0.0,15.863942322,29.242365,6.09027065118,0.0,3.20568,2.88459065118
 01/02  04:00:00,55.6023700114,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.8334883443,0.0,0.0,0.0,15.863942322,29.242365,6.0901526201,0.0,3.20568,2.8844726201
 01/02  06:00:00,55.809530826,0.0,0.0,0.0,15.863942322,29.242365,6.09027910019,0.0,3.20568,2.88459910019
 01/02  07:00:00,73.1177534922,7.70006042793,8.96250907614,0.0,15.863942322,29.818365,47.2581598811,44.0324798811,3.20568,0.02
 01/02  08:00:00,133.815105547,7.70006042793,10.590548346,0.0,80.527626,29.818365,34.6235284031,28.529170711,3.20568,2.88867769212
 01/02  09:00:00,177.362581251,7.70006042793,11.7178181546,0.0,80.527626,75.0917375,45.5377770603,9.91862348911,24.0426,11.5765535711
 01/02  10:00:00,178.892564842,7.70731299575,13.2049678854,0.0,80.527626,75.0917375,53.0832936359,8.64221155825,24.0426,20.3984820776
 01/02  11:00:00,187.816034653,8.17304318444,17.6403751875,0.0,80.527626,79.0911225,53.2924482294,3.73507491859,32.0568,17.5005733108
 01/02  12:00:00,193.910081695,8.54854323958,22.6128741287,0.0,80.527626,79.0911225,55.464335738,0.0145330857278,32.0568,23.3930026522
 01/02  13:00:00,197.604593693,9.01943434498,26.5076806764,0.0,80.527626,79.0911225,58.4258926911,0.0,32.0568,26.3690926911
 01/02  14:00:00,194.697880421,9.10071991537,27.5084337729,0.0,80.527626,75.0917375,42.4783591793,0.0515374811896,16.0284,26.3984216981
 01/02  15:00:00,196.188073148,9.24579529457,28.8571382837,0.0,80.527626,75.0917375,33.5147253486,0.0,16.0284,17.4863253486
 01/02  16:00:00,190.372795814,9.16076745655,25.1767911071,0.0,80.527626,73.092045,25.804589497,2.17115237485,3.20568,20.4277571221
 01/02  17:00:00,176.700416627,7.7119622139,10.2670502394,0.0,80.527626,73.092045,18.3037601697,12.2092541646,3.20568,2.88882600507
 01/02  18:00:00,132.444829883,7.70006042793,3.63833127981,0.0,80.527626,29.818365,28.7456557403,19.7827102858,3.20568,5.75726545444
 01/02  19:00:00,129.291844857,7.70006042793,0.515178956976,0.0,80.527626,29.818365,34.21652795,25.2388320433,3.20568,5.77201590671
 01/02  20:00:00,128.98595856,7.70006042793,0.0,0.0,80.527626,29.818365,43.6300861329,34.642988289,3.20568,5.78141784395
 01/02  21:00:00,128.966856295,7.70006042793,0.0,0.0,80.527626,29.818365,53.3612942814,41.498934774,3.20568,8.65667950742
 01/02  22:00:00,55.6718405523,0.0,0.0,0.0,15.863942322,29.242365,8.98266205418,0.0,3.20568,5.77698205418
 01/02  23:00:00,55.5321522728,0.0,0.0,0.0,15.863942322,29.242365,8.96616731733,0.0,3.20568,5.76048731733
 01/02  24:00:00,56.2543416356,0.0,0.0,0.0,15.863942322,29.242365,6.09369911449,0.0,3.20568,2.88801911449
 01/03  01:00:00,55.5509274025,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.5450328465,0.0,0.0,0.0,15.863942322,29.242365,6.09028875155,0.0,3.20568,2.88460875155
 01/03  03:00:00,55.5492102687,0.0,0.0,0.0,15.863942322,29.242365,6.0901742265,0.0,3.20568,2.8844942265
 01/03  04:00:00,55.5505609896,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,56.651900335,0.0,0.0,0.0,15.863942322,29.242365,6.09030454027,0.0,3.20568,2.88462454027
 01/03  06:00:00,56.4757879404,0.0,0.0,0.0,15.863942322,29.242365,6.0901898289,0.0,3.20568,2.8845098289
 01/03  07:00:00,64.4471141639,7.70006042793,0.0,0.0,15.863942322,29.818365,115.392745813,112.167065813,3.20568,0.02
 01/03  08:00:00,123.149635645,7.70006042793,0.0,0.0,80.527626,29.818365,101.075130399,94.9806059285,3.20568,2.88884447081
 01/03  09:00:00,165.565993844,7.70006042793,0.00628100231537,0.0,80.527626,75.0917375,120.945882695,85.3276505197,24.0426,11.5756321751
 01/03  10:00:00,165.602663491,7.70006042793,0.00390971672727,0.0,80.527626,75.0917375,151.156573045,106.716170885,24.0426,20.3978021601
 01/03  11:00:00,169.599627318,7.70061079549,0.00274559596614,0.0,80.527626,79.0911225,148.323728188,95.8499533994,32.0568,20.4169747889
 01/03  12:00:00,170.297144451,7.70372643903,0.0,0.0,80.527626,79.0911225,120.107843218,67.5819371744,32.0568,20.4691060439
 01/03  13:00:00,169.599123193,7.71330893647,0.0,0.0,80.527626,79.0911225,123.676256193,65.2500909671,32.0568,26.3693652259
 01/03  14:00:00,165.662279056,7.7203329967,0.0,0.0,80.527626,75.0917375,148.495259449,106.065949613,16.0284,26.4009098358
 01/03  15:00:00,165.726040965,7.72077765437,0.0,0.0,80.527626,75.0917375,171.610657291,138.093141349,16.0284,17.4891159426
 01/03  16:00:00,163.736545377,7.72545739893,0.0,0.0,80.527626,73.092045,162.243076362,138.609124378,3.20568,20.4282719843
 01/03  17:00:00,166.409571637,7.70006042793,0.0,0.0,80.527626,73.092045,118.194651265,112.100117249,3.20568,2.88885401561
 01/03  18:00:00,128.86346057,7.70006042793,0.0,0.0,80.527626,29.818365,132.472318573,123.508776239,3.20568,5.75786233353
 01/03  19:00:00,128.894576207,7.70006042793,0.0,0.0,80.527626,29.818365,145.367824377,136.389256275,3.20568,5.77288810165
 01/03  20:00:00,128.892705792,7.70006042793,0.0,0.0,80.527626,29.818365,149.497162884,137.62825753,3.20568,8.66322535387
 01/03  21:00:00,128.891734646,7.70006042793,0.0,0.0,80.527626,29.818365,150.098310275,141.114989807,3.20568,5.77764046821
 01/03  22:00:00,55.4063607911,0.0,0.0,0.0,15.863942322,29.242365,11.8619443015,0.0,3.20568,8.65626430153
 01/03  23:00:00,55.4429037023,0.0,0.0,0.0,15.863942322,29.242365,6.0962898944,0.0,3.20568,2.8906098944
 01/03  24:00:00,56.2032314749,0.0,0.0,0.0,15.863942322,29.242365,6.09373559965,0.0,3.20568,2.88805559965
 01/04  01:00:00,55.4690498402,0.0,0.0,0.0,15.863942322,29.242365,6.09024479745,0.0,3.20568,2.88456479745
 01/04  02:00:00,55.465584194,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  03:00:00,55.4550084857,0.0,0.0,0.0,15.863942322,29.242365,6.09037886175,0.0,3.20568,2.88469886175
 01/04  04:00:00,55.44628809,0.0,0.0,0.0,15.863942322,29.242365,6.09026747706,0.0,3.20568,2.88458747706
 01/04  05:00:00,55.6565785629,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  06:00:00,55.6375313273,0.0,0.0,0.0,15.863942322,29.242365,6.08973451343,0.0,3.20568,2.88405451343
 01/04  07:00:00,64.7534341291,7.70006042793,0.00234004679993,0.0,15.863942322,29.818365,367.396174192,364.170494192,3.20568,0.02
 01/04  08:00:00,123.613647706,7.70006042793,0.00134418882629,0.0,80.527626,29.818365,283.718476085,274.755123863,3.20568,5.75767222256
 01/04  09:00:00,165.974188011,7.70006042793,0.00615816560877,0.0,80.527626,75.0917375,230.471465676,197.743190337,24.0426,8.68567533909
 01/04  10:00:00,165.88717745,7.70006042793,0.00377508701035,0.0,80.527626,75.0917375,199.057393885,154.618130226,24.0426,20.3966636586
 01/04  11:00:00,169.819039588,7.70006042793,0.00215388707708,0.0,80.527626,79.0911225,196.016677565,143.54115054,32.0568,20.4187270253
 01/04  12:00:00,170.550564993,7.70006042793,0.0,0.0,80.527626,79.0911225,182.613139404,127.163447686,32.0568,23.3928917177
 01/04  13:00:00,169.819095412,7.70006042793,0.0,0.0,80.527626,79.0911225,180.583825433,125.086015515,32.0568,23.4410099181
 01/04  14:00:00,165.839936887,7.70006042793,0.0,0.0,80.527626,75.0917375,182.622120716,140.190558321,16.0284,26.4031623951
 01/04  15:00:00,165.8388452,7.70006042793,0.0,0.0,80.527626,75.0917375,178.801620742,142.366416768,16.0284,20.4068039736
 01/04  16:00:00,163.813701983,7.70006042793,0.0,0.0,80.527626,73.092045,170.098713777,146.464761371,3.20568,20.4282724059
 01/04  17:00:00,166.557225598,7.70006042793,0.0,0.0,80.527626,73.092045,149.937346929,143.84294702,3.20568,2.88871990898
 01/04  18:00:00,128.932696152,7.70006042793,0.0,0.0,80.527626,29.818365,142.948355757,136.853998431,3.20568,2.88867732576
 01/04  19:00:00,128.967541901,7.70006042793,0.0,0.0,80.527626,29.818365,173.651449111,164.673143619,3.20568,5.77262549244
 01/04  20:00:00,129.242796357,7.70006042793,0.0,0.0,80.527626,29.818365,195.868216404,183.999302709,3.20568,8.66323369467
 01/04  21:00:00,129.228515392,7.70006042793,0.0,0.0,80.527626,29.818365,189.623839092,180.640987757,3.20568,5.77717133484
 01/04  22:00:00,55.5527495558,0.0,0.0,0.0,15.863942322,29.242365,11.8629471713,0.0,3.20568,8.65726717131
 01/04  23:00:00,55.4442358552,0.0,0.0,0.0,15.863942322,29.242365,6.09594068869,0.0,3.20568,2.89026068869
 01/04  24:00:00,56.1986694664,0.0,0.0,0.0,15.863942322,29.242365,6.09364037557,0.0,3.20568,2.88796037557
 01/05  01:00:00,55.4588015811,0.0,0.0,0.0,15.863942322,29.242365,6.09023832237,0.0,3.20568,2.88455832237
 01/05  02:00:00,55.4537685311,0.0,0.0,0.0,15.863942322,29.242365,6.09037602755,0.0,3.20568,2.88469602755
 01/05  03:00:00,55.4496460015,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/05  04:00:00,55.4399473622,0.0,0.0,0.0,15.863942322,29.242365,6.09026789525,0.0,3.20568,2.88458789525
 01/05  05:00:00,55.6523498224,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/05  06:00:00,55.6339489992,0.0,0.0,0.0,15.863942322,29.242365,6.09040533751,0.0,3.20568,2.88472533751
 01/05  07:00:00,64.8012239412,7.70006042793,0.00359173182311,0.0,15.863942322,29.818365,377.957936792,371.867639746,3.20568,2.88461704577
 01/05  08:00:00,123.635044021,7.70006042793,0.00118120862813,0.0,80.527626,29.818365,299.096108878,293.001770457,3.20568,2.88865842119
