Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.3785433573,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,59.0530549589,1.07655627997,2.59964540487,0.0,15.863942322,29.242365,4.93002590018,1.70434590018,3.20568,0.02
 01/01  03:00:00,58.9941454184,1.07655627997,2.53598337658,0.0,15.863942322,29.242365,7.86654445076,1.77793084355,3.20568,2.88293360721
 01/01  04:00:00,58.7278491555,1.00658316315,2.33647171264,0.0,15.863942322,29.242365,4.88360925678,1.65792925678,3.20568,0.02
 01/01  05:00:00,59.153477411,1.07655627997,2.47817174239,0.0,15.863942322,29.242365,7.97961128585,1.89098979524,3.20568,2.88294149061
 01/01  06:00:00,59.0992315967,1.07655627997,2.44412183198,0.0,15.863942322,29.242365,5.26294722345,2.03726722345,3.20568,0.02
 01/01  07:00:00,60.243987327,1.4354083733,3.21267682051,0.0,15.863942322,29.242365,6.18093256387,2.95525256387,3.20568,0.02
 01/01  08:00:00,50.6896903869,0.717704186649,1.59174014284,0.0,15.863942322,29.242365,7.1905570243,1.10192829272,3.20568,2.88294873159
 01/01  09:00:00,46.9449954909,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,46.966161099,0.0,0.0,0.0,15.863942322,29.242365,6.09026499365,0.0,3.20568,2.88458499365
 01/01  11:00:00,46.9604128689,0.0,0.0,0.0,15.863942322,29.242365,6.09014341956,0.0,3.20568,2.88446341956
 01/01  12:00:00,47.6725051561,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,46.9510929443,0.0,0.0,0.0,15.863942322,29.242365,6.09026599617,0.0,3.20568,2.88458599617
 01/01  14:00:00,46.9900219224,0.0,0.0,0.0,15.863942322,29.242365,6.09014438369,0.0,3.20568,2.88446438369
 01/01  15:00:00,47.0038427715,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9930197489,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.7544383057,0.0,0.0,0.0,15.863942322,29.242365,6.08855142663,0.0,3.20568,2.88287142663
 01/01  18:00:00,55.4649734644,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.4598985361,0.0,0.0,0.0,15.863942322,29.242365,6.08863953907,0.0,3.20568,2.88295953907
 01/01  20:00:00,55.6718889879,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6570266732,0.0,0.0,0.0,15.863942322,29.242365,6.08856741844,0.0,3.20568,2.88288741844
 01/01  22:00:00,55.5433463468,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.387547141,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.1122196998,0.0,0.0,0.0,15.863942322,29.242365,6.08865549992,0.0,3.20568,2.88297549992
 01/02  01:00:00,56.6198544203,0.358852093324,0.879992114595,0.0,15.863942322,29.242365,4.09622902161,0.870549021609,3.20568,0.02
 01/02  02:00:00,61.2751343462,1.79426046662,4.10675898669,0.0,15.863942322,29.242365,10.2901701619,4.20001876235,3.20568,2.88447139954
 01/02  03:00:00,58.8281846012,1.07655627997,2.38692744883,0.0,15.863942322,29.242365,8.53459251419,2.44473284959,3.20568,2.8841796646
 01/02  04:00:00,61.1106686067,1.79426046662,3.95341942777,0.0,15.863942322,29.242365,8.08035873184,4.85467873184,3.20568,0.02
 01/02  05:00:00,60.1017655134,1.4354083733,3.09464854892,0.0,15.863942322,29.242365,11.105516492,5.01524785867,3.20568,2.8845886333
 01/02  06:00:00,61.1843923164,1.79426046662,3.82519657141,0.0,15.863942322,29.242365,16.920528108,10.8302565641,3.20568,2.88459154389
 01/02  07:00:00,65.7711841069,7.70262099579,0.00662989321767,0.0,15.863942322,29.818365,646.758614612,643.532934612,3.20568,0.02
 01/02  08:00:00,122.769672796,7.70262099579,0.0,0.0,80.527626,29.818365,421.633033553,415.538683421,3.20568,2.88867013203
 01/02  09:00:00,166.429598027,7.70262099579,0.00498436146463,0.0,80.527626,75.0917375,339.217354166,303.598535796,24.0426,11.5762183701
 01/02  10:00:00,166.428862319,7.70262099579,0.00306529859494,0.0,80.527626,75.0917375,303.235902945,258.794870395,24.0426,20.3984325499
 01/02  11:00:00,170.418609417,7.70262099579,0.00171351424153,0.0,80.527626,79.0911225,288.891438438,239.334112699,32.0568,17.5005257388
 01/02  12:00:00,171.159477938,7.70262099579,0.0,0.0,80.527626,79.0911225,257.692224137,202.244178261,32.0568,23.3912458765
 01/02  13:00:00,170.400485588,7.70262099579,0.0,0.0,80.527626,79.0911225,256.276033961,197.850204363,32.0568,26.3690295981
 01/02  14:00:00,166.419468482,7.70262099579,0.0,0.0,80.527626,75.0917375,258.623196436,216.1961956,16.0284,26.3986008358
 01/02  15:00:00,166.416566902,7.70262099579,0.0,0.0,80.527626,75.0917375,249.277695733,215.763018089,16.0284,17.4862776444
 01/02  16:00:00,164.389306649,7.70262099579,0.0,0.0,80.527626,73.092045,241.075932325,217.442587603,3.20568,20.4276647216
 01/02  17:00:00,167.152949204,7.70262099579,0.0,0.0,80.527626,73.092045,240.601132712,234.506634815,3.20568,2.88881789718
 01/02  18:00:00,129.627452858,7.70262099579,0.0,0.0,80.527626,29.818365,283.397981032,276.97199525,3.20568,3.22030578236
 01/02  19:00:00,129.634593691,7.70262099579,0.0,0.0,80.527626,29.818365,301.989834127,290.468520486,3.20568,8.31563364083
 01/02  20:00:00,129.854959613,7.70262099579,0.0,0.0,80.527626,29.818365,303.784236177,294.797298017,3.20568,5.78125816011
 01/02  21:00:00,129.843155794,7.70262099579,0.0,0.0,80.527626,29.818365,311.18528706,299.322972692,3.20568,8.65663436838
 01/02  22:00:00,55.4564186097,0.0,0.0,0.0,15.863942322,29.242365,8.98297703876,0.0,3.20568,5.77729703876
 01/02  23:00:00,55.3500269352,0.0,0.0,0.0,15.863942322,29.242365,8.96613768544,0.0,3.20568,5.76045768544
 01/02  24:00:00,56.1446259209,0.0,0.0,0.0,15.863942322,29.242365,6.093684428,0.0,3.20568,2.888004428
 01/03  01:00:00,55.3805657095,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.3791463525,0.0,0.0,0.0,15.863942322,29.242365,6.09027419002,0.0,3.20568,2.88459419002
 01/03  03:00:00,55.3745887591,0.0,0.0,0.0,15.863942322,29.242365,6.09015967751,0.0,3.20568,2.88447967751
 01/03  04:00:00,58.9711567876,1.07655627997,2.51948556745,0.0,15.863942322,29.242365,4.07848600579,0.852806005786,3.20568,0.02
 01/03  05:00:00,59.9298627166,1.07655627997,2.41808869208,0.0,15.863942322,29.242365,7.09195029845,1.00166030062,3.20568,2.88460999783
 01/03  06:00:00,61.9357850347,1.79426046662,3.87583513176,0.0,15.863942322,29.242365,8.07058456142,1.98028557799,3.20568,2.88461898343
 01/03  07:00:00,65.9482240152,7.70262099579,0.00357734209733,0.0,15.863942322,29.818365,539.658110936,536.432430936,3.20568,0.02
 01/03  08:00:00,122.719598211,7.70262099579,0.000942406055725,0.0,80.527626,29.818365,422.496006602,416.40149672,3.20568,2.88882988184
 01/03  09:00:00,166.396141366,7.70262099579,0.00681725881478,0.0,80.527626,75.0917375,322.499664095,286.881503297,24.0426,11.5755607979
 01/03  10:00:00,166.393715294,7.70262099579,0.0027295389226,0.0,80.527626,75.0917375,273.99613377,229.55583175,24.0426,20.3977020194
 01/03  11:00:00,170.391003999,7.70262099579,0.00151666536774,0.0,80.527626,79.0911225,267.869742699,215.730797397,32.0568,20.0821453024
 01/03  12:00:00,171.145943946,7.70262099579,0.0,0.0,80.527626,79.0911225,246.116798052,193.25529214,32.0568,20.804705912
 01/03  13:00:00,170.377585325,7.70262099579,0.0,0.0,80.527626,79.0911225,241.779563719,183.353537772,32.0568,26.3692259466
 01/03  14:00:00,166.589108708,7.89239062023,0.0,0.0,80.527626,75.0917375,229.6635281,187.234342475,16.0284,26.400785625
 01/03  15:00:00,166.834755548,8.13278822074,0.0,0.0,80.527626,75.0917375,216.601495518,183.084078895,16.0284,17.4890166225
 01/03  16:00:00,164.726034374,8.04801332275,0.0,0.0,80.527626,73.092045,208.371103155,184.737260324,3.20568,20.4281628307
 01/03  17:00:00,167.116130415,7.70262099579,0.0,0.0,80.527626,73.092045,187.755904537,181.661385774,3.20568,2.88883876294
 01/03  18:00:00,129.577808457,7.70262099579,0.0,0.0,80.527626,29.818365,228.013726159,219.050214502,3.20568,5.75783165765
 01/03  19:00:00,129.598255579,7.70262099579,0.0,0.0,80.527626,29.818365,264.867999235,255.889462133,3.20568,5.77285710221
 01/03  20:00:00,129.612692934,7.70262099579,0.0,0.0,80.527626,29.818365,290.849423217,278.980563534,3.20568,8.66317968273
 01/03  21:00:00,129.623503206,7.70262099579,0.0,0.0,80.527626,29.818365,306.801022438,297.817732925,3.20568,5.77760951374
 01/03  22:00:00,55.3023757851,0.0,0.0,0.0,15.863942322,29.242365,11.8619065202,0.0,3.20568,8.65622652017
 01/03  23:00:00,55.3509336742,0.0,0.0,0.0,15.863942322,29.242365,6.09627468879,0.0,3.20568,2.89059468879
 01/03  24:00:00,56.1462699715,0.0,0.0,0.0,15.863942322,29.242365,6.09372043358,0.0,3.20568,2.88804043358
 01/04  01:00:00,55.3794543926,0.0,0.0,0.0,15.863942322,29.242365,6.09022964834,0.0,3.20568,2.88454964834
 01/04  02:00:00,55.3768050953,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  03:00:00,58.6131622314,0.952698669461,2.28592439913,0.0,15.863942322,29.242365,6.72954410922,0.639180380706,3.20568,2.88468372851
 01/04  04:00:00,58.940247796,1.07655627997,2.49335402031,0.0,15.863942322,29.242365,6.97145897907,0.881082845975,3.20568,2.8846961331
 01/04  05:00:00,61.3491838784,1.79426046662,3.97101590473,0.0,15.863942322,29.242365,5.01861485244,1.79293485244,3.20568,0.02
 01/04  06:00:00,60.045406274,1.4354083733,3.04503371332,0.0,15.863942322,29.242365,7.82225502116,1.73186887963,3.20568,2.88470614154
 01/04  07:00:00,65.6306480551,7.70262099579,0.00483419623091,0.0,15.863942322,29.818365,540.287955827,537.062275827,3.20568,0.02
 01/04  08:00:00,122.721490923,7.70262099579,0.0,0.0,80.527626,29.818365,416.784723073,407.82139963,3.20568,5.75764344344
 01/04  09:00:00,166.390995279,7.70262099579,0.00744687327777,0.0,80.527626,75.0917375,304.801355127,272.073125337,24.0426,8.68562978992
 01/04  10:00:00,166.392607538,7.70262099579,0.00288036354877,0.0,80.527626,75.0917375,260.748372728,216.309215125,24.0426,20.3965576024
 01/04  11:00:00,170.391520603,7.70262099579,0.00162443999955,0.0,80.527626,79.0911225,247.29614451,194.820724215,32.0568,20.4186202944
 01/04  12:00:00,171.252365055,7.8012696185,0.0,0.0,80.527626,79.0911225,225.28996929,169.840398484,32.0568,23.3927708064
 01/04  13:00:00,170.768772656,8.06830822751,0.0,0.0,80.527626,79.0911225,223.196289645,167.698600821,32.0568,23.4408888238
 01/04  14:00:00,166.617442607,7.89168384945,0.0,0.0,80.527626,75.0917375,218.691781698,176.259509072,16.0284,26.4038726257
 01/04  15:00:00,166.82845677,8.09852245642,0.0,0.0,80.527626,75.0917375,209.479295274,173.044199522,16.0284,20.4066957521
 01/04  16:00:00,164.678757755,7.96876638249,0.0,0.0,80.527626,73.092045,196.438087037,172.804242971,3.20568,20.4281640658
 01/04  17:00:00,167.153788127,7.70262099579,0.0,0.0,80.527626,73.092045,174.424435106,168.330050399,3.20568,2.88870470681
 01/04  18:00:00,129.596684056,7.70262099579,0.0,0.0,80.527626,29.818365,189.81144269,183.717100561,3.20568,2.88866212865
 01/04  19:00:00,129.606799406,7.70262099579,0.0,0.0,80.527626,29.818365,204.603706535,195.625431692,3.20568,5.7725948435
 01/04  20:00:00,129.831408569,7.70262099579,0.0,0.0,80.527626,29.818365,216.985660249,205.116792282,3.20568,8.66318796736
 01/04  21:00:00,129.823966438,7.70262099579,0.0,0.0,80.527626,29.818365,224.86653326,215.883712109,3.20568,5.77714115069
 01/04  22:00:00,55.5009149018,0.0,0.0,0.0,15.863942322,29.242365,11.8629013677,0.0,3.20568,8.65722136769
 01/04  23:00:00,55.3932843287,0.0,0.0,0.0,15.863942322,29.242365,6.09592569651,0.0,3.20568,2.89024569651
 01/04  24:00:00,56.174807441,0.0,0.0,0.0,15.863942322,29.242365,6.09362530058,0.0,3.20568,2.88794530058
 01/05  01:00:00,55.4229545307,0.0,0.0,0.0,15.863942322,29.242365,6.09022327012,0.0,3.20568,2.88454327012
 01/05  02:00:00,55.4221714017,0.0,0.0,0.0,15.863942322,29.242365,6.09036099431,0.0,3.20568,2.88468099431
 01/05  03:00:00,55.4179822376,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/05  04:00:00,55.4129749487,0.0,0.0,0.0,15.863942322,29.242365,6.09025287519,0.0,3.20568,2.88457287519
 01/05  05:00:00,55.6234692238,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/05  06:00:00,55.6072578751,0.0,0.0,0.0,15.863942322,29.242365,6.09039033632,0.0,3.20568,2.88471033632
 01/05  07:00:00,65.2185045061,7.70262099579,0.00406076312267,0.0,15.863942322,29.818365,393.69500944,387.604727388,3.20568,2.88460205205
 01/05  08:00:00,122.545076201,7.70262099579,0.00125076965128,0.0,80.527626,29.818365,318.497549461,312.40322604,3.20568,2.88864342169
 01/05  09:00:00,166.143732868,7.70262099579,0.00855985280449,0.0,80.527626,75.0917375,237.259201613,201.640443503,24.0426,11.5761581104
 01/05  10:00:00,165.972967252,7.70262099579,0.00348333174988,0.0,80.527626,75.0917375,203.338294331,161.810664773,24.0426,17.4850295573
 01/05  11:00:00,169.843941835,7.70262099579,0.00211497280354,0.0,80.527626,79.0911225,196.463418974,143.991203808,32.0568,20.4154151659
 01/05  12:00:00,170.472831429,7.70262099579,0.0,0.0,80.527626,79.0911225,164.095686002,108.644553502,32.0568,23.3943325007
 01/05  13:00:00,169.703054707,7.70262099579,0.0,0.0,80.527626,79.0911225,155.936673095,100.437668925,32.0568,23.4422041694
 01/05  14:00:00,165.717728438,7.70262099579,0.0,0.0,80.527626,75.0917375,158.057406545,115.6232427,16.0284,26.4057638447
 01/05  15:00:00,165.722582745,7.7084763265,0.0,0.0,80.527626,75.0917375,153.644329264,117.212650092,16.0284,20.4032791727
 01/05  16:00:00,163.715190691,7.71713803425,0.0,0.0,80.527626,73.092045,147.627265581,123.993304507,3.20568,20.4282810734
 01/05  17:00:00,166.509428878,7.70262099579,0.0,0.0,80.527626,73.092045,142.831961578,136.737482863,3.20568,2.88879871482
 01/05  18:00:00,129.079595829,7.70262099579,0.0,0.0,80.527626,29.818365,168.275274357,162.181269911,3.20568,2.88832444666
 01/05  19:00:00,129.156622373,7.70262099579,0.0,0.0,80.527626,29.818365,180.96036264,169.105782158,3.20568,8.64890048167
 01/05  20:00:00,129.549986908,7.70262099579,0.0,0.0,80.527626,29.818365,202.284532968,193.295508164,3.20568,5.78334480451
 01/05  21:00:00,129.684292632,7.70262099579,0.0,0.0,80.527626,29.818365,210.65514887,198.793130279,3.20568,8.65633859051
 01/05  22:00:00,55.5226059481,0.0,0.0,0.0,15.863942322,29.242365,8.98396401608,0.0,3.20568,5.77828401608
 01/05  23:00:00,55.4116807622,0.0,0.0,0.0,15.863942322,29.242365,8.96649738323,0.0,3.20568,5.76081738323
 01/05  24:00:00,56.1849648679,0.0,0.0,0.0,15.863942322,29.242365,6.09359813003,0.0,3.20568,2.88791813003
 01/06  01:00:00,55.4404665964,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/06  02:00:00,55.4401912343,0.0,0.0,0.0,15.863942322,29.242365,6.09018074366,0.0,3.20568,2.88450074366
 01/06  03:00:00,55.4357842431,0.0,0.0,0.0,15.863942322,29.242365,6.09032195073,0.0,3.20568,2.88464195073
 01/06  04:00:00,55.4307565187,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/06  05:00:00,56.4885765983,0.0,0.0,0.0,15.863942322,29.242365,6.09021697644,0.0,3.20568,2.88453697644
 01/06  06:00:00,56.31674253,0.0,0.0,0.0,15.863942322,29.242365,6.0903579686,0.0,3.20568,2.8846779686
 01/06  07:00:00,65.487419224,7.70262099579,0.00287068368482,0.0,15.863942322,29.818365,379.155230317,375.929550317,3.20568,0.02
 01/06  08:00:00,122.627156463,7.70262099579,0.00100210573361,0.0,80.527626,29.818365,322.30225994,316.207780879,3.20568,2.88879906074
 01/06  09:00:00,166.397286704,7.70262099579,0.00500320021864,0.0,80.527626,75.0917375,254.135268998,218.516697917,24.0426,11.5759710812
 01/06  10:00:00,166.423715775,7.70262099579,0.00280134515647,0.0,80.527626,75.0917375,239.621253488,195.178987643,24.0426,20.3996658449
 01/06  11:00:00,170.389131113,7.70262099579,0.00184445772595,0.0,80.527626,79.0911225,236.187649999,183.711315561,32.0568,20.4195344378
 01/06  12:00:00,171.014904715,7.70262099579,0.0,0.0,80.527626,79.0911225,211.398076182,158.868726116,32.0568,20.4725500656
 01/06  13:00:00,170.242664916,7.70262099579,0.0,0.0,80.527626,79.0911225,213.218113748,154.786424691,32.0568,26.374889057
 01/06  14:00:00,166.258192922,7.70262099579,0.0,0.0,80.527626,75.0917375,206.228366671,163.792433541,16.0284,26.4075331302
 01/06  15:00:00,166.312620445,7.73182425459,0.0,0.0,80.527626,75.0917375,196.386055413,162.463113762,16.0284,17.89454165
 01/06  16:00:00,164.500524821,7.87501975106,0.0,0.0,80.527626,73.092045,194.618698037,168.467472584,3.20568,22.9455454536
 01/06  17:00:00,167.138217915,7.70262099579,0.0,0.0,80.527626,73.092045,180.016719731,173.922418859,3.20568,2.88862087262
 01/06  18:00:00,129.581696276,7.70262099579,0.0,0.0,80.527626,29.818365,210.586667437,204.492402099,3.20568,2.88858533824
 01/06  19:00:00,129.597119856,7.70262099579,0.0,0.0,80.527626,29.818365,248.654179134,239.675985427,3.20568,5.77251370633
 01/06  20:00:00,129.615629006,7.70262099579,0.0,0.0,80.527626,29.818365,285.937792399,274.067841502,3.20568,8.66427089732
 01/06  21:00:00,129.629002718,7.70262099579,0.0,0.0,80.527626,29.818365,309.189738741,300.206906142,3.20568,5.77715259846
 01/06  22:00:00,55.303767023,0.0,0.0,0.0,15.863942322,29.242365,11.8629773092,0.0,3.20568,8.65729730919
 01/06  23:00:00,55.3522139365,0.0,0.0,0.0,15.863942322,29.242365,6.09593649436,0.0,3.20568,2.89025649436
 01/06  24:00:00,56.1462427733,0.0,0.0,0.0,15.863942322,29.242365,6.09363542011,0.0,3.20568,2.88795542011
 01/07  01:00:00,55.3798305856,0.0,0.0,0.0,15.863942322,29.242365,6.08860289705,0.0,3.20568,2.88292289705
 01/07  02:00:00,57.4004309314,0.593846576137,1.42885306948,0.0,15.863942322,29.242365,3.68467659176,0.458996591761,3.20568,0.02
 01/07  03:00:00,59.6953928654,1.31155076279,3.00963196886,0.0,15.863942322,29.242365,7.23985427876,1.15114373328,3.20568,2.88303054547
 01/07  04:00:00,61.055222532,1.79426046662,3.88874906697,0.0,15.863942322,29.242365,5.5188401211,2.2931601211,3.20568,0.02
 01/07  05:00:00,59.9566020563,1.4354083733,2.94093511657,0.0,15.863942322,29.242365,5.83234341355,2.60666341355,3.20568,0.02
 01/07  06:00:00,61.4855665565,2.28720141053,3.62795422871,0.0,15.863942322,29.242365,18.4345884485,12.3459323962,3.20568,2.88297605232
 01/07  07:00:00,62.0897560285,3.5201644792,2.9854828789,0.0,15.863942322,29.242365,35.9911813349,32.7655013349,3.20568,0.02
 01/07  08:00:00,54.3321319866,2.36708203325,3.59593976491,0.0,15.863942322,29.242365,21.3816341237,15.2929238442,3.20568,2.88303027952
 01/07  09:00:00,51.3514400983,1.4354083733,2.97643204725,0.0,15.863942322,29.242365,6.81623670881,3.59055670881,3.20568,0.02
 01/07  10:00:00,51.8069599629,1.4354083733,3.40608990369,0.0,15.863942322,29.242365,8.06226006505,1.97191037917,3.20568,2.88466968588
 01/07  11:00:00,49.5503460833,0.717704186649,1.86183130722,0.0,15.863942322,29.242365,3.841827635,0.616147634998,3.20568,0.02
 01/07  12:00:00,47.6878955055,0.0,0.0,0.0,15.863942322,29.242365,6.09032811193,0.0,3.20568,2.88464811193
 01/07  13:00:00,46.9794387436,0.0,0.0,0.0,15.863942322,29.242365,6.09022608416,0.0,3.20568,2.88454608416
 01/07  14:00:00,47.0332267163,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  15:00:00,47.0531367927,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  16:00:00,47.0380366143,0.0,0.0,0.0,15.863942322,29.242365,6.08863542188,0.0,3.20568,2.88295542188
 01/07  17:00:00,49.789476562,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  18:00:00,55.4948144115,0.0,0.0,0.0,15.863942322,29.242365,6.08858161397,0.0,3.20568,2.88290161397
 01/07  19:00:00,55.4881897037,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  20:00:00,55.6992877469,0.0,0.0,0.0,15.863942322,29.242365,6.08868933968,0.0,3.20568,2.88300933968
 01/07  21:00:00,55.6820276254,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  22:00:00,55.5651837525,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/07  23:00:00,55.4080766576,0.0,0.0,0.0,15.863942322,29.242365,6.08863551048,0.0,3.20568,2.88295551048
 01/07  24:00:00,56.1224355677,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  01:00:00,55.3868562433,0.0,0.0,0.0,15.863942322,29.242365,6.08858322694,0.0,3.20568,2.88290322694
 01/08  02:00:00,55.3800130662,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  03:00:00,56.3976366051,0.288878976498,0.736385275945,0.0,15.863942322,29.242365,3.56599279354,0.340312793541,3.20568,0.02
 01/08  04:00:00,60.0755235108,1.36543525647,3.34142590211,0.0,15.863942322,29.242365,7.83373548158,1.74504153449,3.20568,2.8830139471
 01/08  05:00:00,60.3951357401,1.4354083733,3.3779614596,0.0,15.863942322,29.242365,5.47262666485,2.24694666485,3.20568,0.02
 01/08  06:00:00,59.1160319078,1.07655627997,2.47369455059,0.0,15.863942322,29.242365,8.06588665816,1.97724391333,3.20568,2.88296274482
 01/08  07:00:00,61.3910799384,1.79426046662,4.01348319203,0.0,15.863942322,29.242365,7.10539613457,3.87971613457,3.20568,0.02
 01/08  08:00:00,51.8850632798,1.07655627997,2.43472794848,0.0,15.863942322,29.242365,7.79161401919,1.70294155648,3.20568,2.88299246272
 01/08  09:00:00,48.13743182,0.358852093324,0.807096262244,0.0,15.863942322,29.242365,3.6557251441,0.430045144099,3.20568,0.02
 01/08  10:00:00,47.031227635,0.0,0.0,0.0,15.863942322,29.242365,6.09040198743,0.0,3.20568,2.88472198743
 01/08  11:00:00,47.0680199881,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  12:00:00,47.7879639504,0.0,0.0,0.0,15.863942322,29.242365,6.09042504287,0.0,3.20568,2.88474504287
 01/08  13:00:00,47.1364110031,0.0,0.0,0.0,15.863942322,29.242365,6.09032593072,0.0,3.20568,2.88464593072
 01/08  14:00:00,47.2094891399,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/08  15:00:00,47.2446754283,0.0,0.0,0.0,15.863942322,29.242365,6.08868145523,0.0,3.20568,2.88300145523
 01/08  16:00:00,47.2265804266,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
