Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4889640567,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4811511287,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4632815379,0.0,0.0,0.0,15.863942322,29.242365,6.08874279637,0.0,3.20568,2.88306279637
 01/01  04:00:00,55.4483801565,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.645723352,0.0,0.0,0.0,15.863942322,29.242365,6.08879226942,0.0,3.20568,2.88311226942
 01/01  06:00:00,55.6158694436,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.6248947508,0.0,0.0,0.0,15.863942322,29.242365,6.08884186605,0.0,3.20568,2.88316186605
 01/01  08:00:00,55.5592793802,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,46.9835355684,0.0,0.0,0.0,15.863942322,29.242365,6.09054724302,0.0,3.20568,2.88486724302
 01/01  10:00:00,46.9961011127,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,46.9894256594,0.0,0.0,0.0,15.863942322,29.242365,6.09055642394,0.0,3.20568,2.88487642394
 01/01  12:00:00,47.6945290844,0.0,0.0,0.0,15.863942322,29.242365,6.09056556958,0.0,3.20568,2.88488556958
 01/01  13:00:00,46.9815221625,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.02113604,0.0,0.0,0.0,15.863942322,29.242365,6.09057601398,0.0,3.20568,2.88489601398
 01/01  15:00:00,47.0348886388,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0221535245,0.0,0.0,0.0,15.863942322,29.242365,6.08875886408,0.0,3.20568,2.88307886408
 01/01  17:00:00,46.9270035505,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,52.6439074381,0.0,0.0,0.0,15.863942322,29.242365,6.08880876315,0.0,3.20568,2.88312876315
 01/01  19:00:00,55.5009975645,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7123834348,0.0,0.0,0.0,15.863942322,29.242365,6.08885860534,0.0,3.20568,2.88317860534
 01/01  21:00:00,55.6992051739,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.5965422863,0.0,0.0,0.0,15.863942322,29.242365,6.08873944251,0.0,3.20568,2.88305944251
 01/01  23:00:00,55.4576827762,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.1726651213,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4892844451,0.0,0.0,0.0,15.863942322,29.242365,6.09042664885,0.0,3.20568,2.88474664885
 01/02  02:00:00,55.4950793951,0.0,0.0,0.0,15.863942322,29.242365,6.09044022203,0.0,3.20568,2.88476022203
 01/02  03:00:00,55.5036133058,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.5074070495,0.0,0.0,0.0,15.863942322,29.242365,6.09045359192,0.0,3.20568,2.88477359192
 01/02  05:00:00,55.7319004077,0.0,0.0,0.0,15.863942322,29.242365,6.09046683862,0.0,3.20568,2.88478683862
 01/02  06:00:00,55.7185341631,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,64.0971077667,7.45351332481,0.0108838347791,0.0,15.863942322,29.818365,110.475108969,104.384471276,3.20568,2.8849576925
 01/02  08:00:00,128.669841053,7.45351332481,0.0019182820627,0.0,80.527626,29.818365,89.2556083796,83.1612101983,3.20568,2.88871818125
 01/02  09:00:00,166.149882953,7.45351332481,0.835384221624,0.0,80.527626,75.0917375,73.2776300191,37.6516056775,24.0426,11.5834243416
 01/02  10:00:00,167.026484706,7.45351332481,1.67958577713,0.0,80.527626,75.0917375,78.0735718506,33.608445275,24.0426,20.4225265756
 01/02  11:00:00,171.191706936,7.45351332481,1.83912258413,0.0,80.527626,79.0911225,85.8553992027,30.437239193,32.0568,23.3613600096
 01/02  12:00:00,172.185052877,7.45351332481,2.13035662824,0.0,80.527626,79.0911225,67.4511898543,11.9678202527,32.0568,23.4265696016
 01/02  13:00:00,171.501165857,7.45971973971,2.13689431147,0.0,80.527626,79.0911225,68.4858230074,10.0152966558,32.0568,26.4137263516
 01/02  14:00:00,170.761701275,8.0741544403,4.75034121347,0.0,80.527626,75.0917375,62.4711871291,19.9984044607,16.0284,26.4443826684
 01/02  15:00:00,174.169381832,8.77655007519,7.44503370966,0.0,80.527626,75.0917375,54.0209752339,17.5654035178,16.0284,20.4271717161
