Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.3077921059,2.94974893519,0.0,0.0,15.863942322,29.242365,46.5641982533,43.3385182533,3.20568,0.02
 01/01  02:00:00,58.2282547011,2.87011632541,0.0,0.0,15.863942322,29.242365,47.1980047578,43.9723247578,3.20568,0.02
 01/01  03:00:00,58.8636282171,3.49707202814,0.0,0.0,15.863942322,29.242365,61.4221638114,55.3334222154,3.20568,2.88306159608
 01/01  04:00:00,58.879513242,3.52047508906,0.0,0.0,15.863942322,29.242365,61.0153179054,57.7896379054,3.20568,0.02
 01/01  05:00:00,59.6821936174,4.09858592977,0.0,0.0,15.863942322,29.242365,75.248604542,69.1597706703,3.20568,2.88315387167
 01/01  06:00:00,59.170524634,3.60931700078,0.0,0.0,15.863942322,29.242365,64.4722832282,61.2466032282,3.20568,0.02
 01/01  07:00:00,59.2706406866,3.68552560857,0.0,0.0,15.863942322,29.242365,70.6091062337,64.520265254,3.20568,2.88316097975
 01/01  08:00:00,52.7760992592,2.99318945279,0.0,0.0,15.863942322,29.242365,47.1130089741,43.8873289741,3.20568,0.02
 01/01  09:00:00,50.3782837879,3.44630522144,0.0,0.0,15.863942322,29.242365,54.639094931,48.5484611378,3.20568,2.88495379326
 01/01  10:00:00,48.7404974564,1.80477529588,0.0,0.0,15.863942322,29.242365,25.8227030551,22.5970230551,3.20568,0.02
 01/01  11:00:00,49.0678220204,2.14174380479,0.0,0.0,15.863942322,29.242365,30.2758397128,24.1852846786,3.20568,2.88487503423
 01/01  12:00:00,48.9868765552,1.34787403561,0.0,0.0,15.863942322,29.242365,19.3934739467,13.3029097957,3.20568,2.88488415102
 01/01  13:00:00,47.9050694778,1.01090552671,0.0,0.0,15.863942322,29.242365,11.1753392341,7.94965923414,3.20568,0.02
 01/01  14:00:00,47.9426069552,1.01090552671,0.0,0.0,15.863942322,29.242365,12.9312703158,6.84069705778,3.20568,2.88489325803
 01/01  15:00:00,47.9582353378,1.01090552671,0.0,0.0,15.863942322,29.242365,8.70430683166,5.47862683166,3.20568,0.02
 01/01  16:00:00,47.6071028578,0.673937017806,0.0,0.0,15.863942322,29.242365,9.797434481,3.70859220334,3.20568,2.88316227766
