Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,56.3038736225,0.950073681841,0.0,0.0,15.863942322,29.242365,6.94548357592,3.71980357592,3.20568,0.02
 01/01  02:00:00,58.2874817442,2.93215057921,0.0,0.0,15.863942322,29.242365,39.4608231524,36.2351431524,3.20568,0.02
 01/01  03:00:00,57.94493668,2.59355665609,0.0,0.0,15.863942322,29.242365,40.2441187838,34.1552925261,3.20568,2.88314625777
 01/01  04:00:00,58.2884355097,2.93215057921,0.0,0.0,15.863942322,29.242365,44.3994375925,41.1737575925,3.20568,0.02
 01/01  05:00:00,58.0566205698,2.49029157579,0.0,0.0,15.863942322,29.242365,43.5271558521,37.4383654129,3.20568,2.88311043921
 01/01  06:00:00,59.4316510412,3.86975913115,0.0,0.0,15.863942322,29.242365,59.9009362077,56.6752562077,3.20568,0.02
 01/01  07:00:00,58.5589711574,2.98817166267,0.0,0.0,15.863942322,29.242365,48.5198510323,42.4310104046,3.20568,2.88316062762
 01/01  08:00:00,52.6102211134,2.82547800378,0.0,0.0,15.863942322,29.242365,35.8264587316,32.6007787316,3.20568,0.02
 01/01  09:00:00,48.2770017315,1.35437569249,0.0,0.0,15.863942322,29.242365,15.6694156273,9.57887042424,3.20568,2.88486520309
 01/01  10:00:00,47.9593616297,1.01578176936,0.0,0.0,15.863942322,29.242365,8.55997230557,5.33429230557,3.20568,0.02
 01/01  11:00:00,46.9458469665,0.0,0.0,0.0,15.863942322,29.242365,6.09055438703,0.0,3.20568,2.88487438703
 01/01  12:00:00,47.6587607001,0.0,0.0,0.0,15.863942322,29.242365,6.09056354642,0.0,3.20568,2.88488354642
 01/01  13:00:00,46.93218421,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,46.9786276282,0.0,0.0,0.0,15.863942322,29.242365,6.09057265631,0.0,3.20568,2.88489265631
 01/01  15:00:00,47.003744475,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9977038277,0.0,0.0,0.0,15.863942322,29.242365,6.08875673672,0.0,3.20568,2.88307673672
 01/01  17:00:00,51.1888006345,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.4706007846,0.0,0.0,0.0,15.863942322,29.242365,6.08880663551,0.0,3.20568,2.88312663551
 01/01  19:00:00,55.4656507551,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6788472001,0.0,0.0,0.0,15.863942322,29.242365,6.08885648062,0.0,3.20568,2.88317648062
 01/01  21:00:00,55.657676096,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.538857973,0.0,0.0,0.0,15.863942322,29.242365,6.08873731749,0.0,3.20568,2.88305731749
 01/01  23:00:00,55.3849236372,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.1073190455,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.3813193478,0.0,0.0,0.0,15.863942322,29.242365,6.09042452765,0.0,3.20568,2.88474452765
 01/02  02:00:00,55.3839124043,0.0,0.0,0.0,15.863942322,29.242365,6.09043810259,0.0,3.20568,2.88475810259
 01/02  03:00:00,55.3853106025,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.3899124239,0.0,0.0,0.0,15.863942322,29.242365,6.09045147443,0.0,3.20568,2.88477147443
 01/02  05:00:00,55.6059080558,0.0,0.0,0.0,15.863942322,29.242365,6.0904647232,0.0,3.20568,2.8847847232
 01/02  06:00:00,55.5966880249,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,64.7857496211,7.47168452592,0.00717880614205,0.0,15.863942322,29.818365,627.504087461,621.413451878,3.20568,2.88495558352
 01/02  08:00:00,123.159976918,7.47168452592,0.00119907432838,0.0,80.527626,29.818365,271.750490123,265.656104166,3.20568,2.88870595681
 01/02  09:00:00,165.423972315,7.47168452592,0.00806016893533,0.0,80.527626,75.0917375,212.669361889,177.04334656,24.0426,11.5834153286
 01/02  10:00:00,165.384492264,7.47168452592,0.00346601737514,0.0,80.527626,75.0917375,179.6007631,135.135652602,24.0426,20.4225104982
 01/02  11:00:00,169.338065901,7.47168452592,0.00202250218376,0.0,80.527626,79.0911225,158.306492793,102.888350419,32.0568,23.3613423736
 01/02  12:00:00,170.044567002,7.47168452592,0.0,0.0,80.527626,79.0911225,132.921515468,77.4381640913,32.0568,23.4265513769
 01/02  13:00:00,169.313082497,7.47168452592,0.0,0.0,80.527626,79.0911225,124.085127559,65.6146212838,32.0568,26.4137062748
 01/02  14:00:00,165.325079835,7.47168452592,0.0,0.0,80.527626,75.0917375,114.90562319,72.431813069,16.0284,26.4454101215
 01/02  15:00:00,165.323461884,7.47168452592,0.0,0.0,80.527626,75.0917375,108.902039409,72.4464903906,16.0284,20.4271490186
 01/02  16:00:00,163.308201269,7.47187774676,0.0,0.0,80.527626,73.092045,112.074137673,85.4939925318,3.20568,23.3744651411
 01/02  17:00:00,167.483291372,7.47168452592,0.0,0.0,80.527626,73.092045,95.5727982634,89.4775993391,3.20568,2.88951892429
 01/02  18:00:00,128.489674753,7.47168452592,0.0,0.0,80.527626,29.818365,94.6311749091,88.5363663818,3.20568,2.88912852735
 01/02  19:00:00,128.484786158,7.47168452592,0.0,0.0,80.527626,29.818365,94.6156668411,82.758568593,3.20568,8.65141824813
 01/02  20:00:00,128.699599446,7.47168452592,0.0,0.0,80.527626,29.818365,94.9486339539,83.0759329031,3.20568,8.66702105084
