Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5335060639,2.18654399687,0.0,0.0,1.85583932782,5.577,74.0489129159,68.7352017484,3.0011,2.31261116758
 01/01  02:00:00,9.46428108402,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.48076443289,0.0,0.0,0.0,0.618613109274,5.0,3.5931507452,0.0,3.0011,0.592050745198
 01/01  04:00:00,9.49264569903,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.64319993177,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6769820679,2.18654399687,0.0,0.0,1.85583932782,5.577,77.720957125,72.6272116655,4.50165,0.5920954595
 01/01  07:00:00,28.1544850002,2.18654399687,0.0,0.0,3.71167865564,18.077,79.4822832151,64.2397361992,13.50495,1.7375970159
 01/01  08:00:00,26.2091089687,2.18654399687,0.0,0.0,3.71167865564,18.077,80.9732823332,58.8003221048,21.0077,1.16526022842
 01/01  09:00:00,20.5754342721,2.18654399687,0.0,0.0,3.71167865564,13.077,73.5453884883,56.8017180453,15.0055,1.73817044303
 01/01  10:00:00,20.5848682917,2.18654399687,0.0,0.0,3.71167865564,13.077,71.3742244363,55.203214317,15.0055,1.16551011935
 01/01  11:00:00,25.5825053596,2.18654399687,0.0,0.0,3.71167865564,18.077,89.4952524145,51.8689156475,33.0121,4.61423676707
 01/01  12:00:00,26.7405314732,2.18654399687,0.0,0.0,3.71167865564,18.077,92.0712867861,46.9424866645,40.51485,4.6139501216
 01/01  13:00:00,25.8050108096,2.18654399687,0.0,0.0,3.71167865564,18.077,84.0922533953,44.6168606629,36.0132,3.46219273242
 01/01  14:00:00,25.6023845087,2.18654399687,0.0,0.0,3.71167865564,18.077,80.8279051124,45.2796964346,31.51155,4.03665867781
 01/01  15:00:00,20.6066982743,2.18654399687,0.0,0.0,3.71167865564,13.077,72.7356948228,49.4143781233,21.0077,2.31361669945
 01/01  16:00:00,20.5926641854,2.18654399687,0.0,0.0,3.71167865564,13.077,72.8186647343,50.4247895231,19.50715,2.88672521113
 01/01  17:00:00,21.7741814741,2.18654399687,0.0,0.0,3.71167865564,13.077,74.6487439265,49.2541866755,22.50825,2.8863072511
 01/01  18:00:00,28.0435554282,2.18654399687,0.0,0.0,3.71167865564,18.077,76.1661161444,47.1944357253,25.50935,3.46233041913
 01/01  19:00:00,28.0455414709,2.18654399687,0.0,0.0,3.71167865564,18.077,73.7584539996,43.6346038434,25.50935,4.61450015615
 01/01  20:00:00,28.192065187,2.18654399687,0.0,0.0,3.71167865564,18.077,70.9528705797,40.8299282552,25.50935,4.61359232445
 01/01  21:00:00,23.1819233659,2.18654399687,0.0,0.0,3.71167865564,13.077,68.433243603,42.4632550421,22.50825,3.46173856091
 01/01  22:00:00,23.1170294024,2.18654399687,0.0,0.0,3.71167865564,13.077,68.6284108754,43.0068600848,21.0077,4.61385079056
 01/01  23:00:00,23.0128529134,2.18654399687,0.0,0.0,3.71167865564,13.077,65.6032069922,44.1345749118,18.0066,3.46203208042
 01/01  24:00:00,24.2128286695,2.18654399687,0.0,0.0,3.71167865564,13.077,52.3933262511,47.0809320184,3.0011,2.31129423269
 01/02  01:00:00,13.7345544323,2.18654399687,0.0,0.0,1.85583932782,5.577,57.3361238513,52.5965169959,3.0011,1.73850685546
 01/02  02:00:00,9.47864786487,0.0,0.0,0.0,0.618613109274,5.0,3.59316908468,0.0,3.0011,0.592069084682
 01/02  03:00:00,9.50346373131,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.52024014034,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.67530513042,0.0,0.0,0.0,0.618613109274,5.0,3.59317498807,0.0,3.0011,0.592074988073
 01/02  06:00:00,13.6976925556,2.18654399687,0.0,0.0,1.85583932782,5.577,48.1701125388,43.6484625388,4.50165,0.02
 01/02  07:00:00,28.1760134042,2.18654399687,0.0,0.0,3.71167865564,18.077,51.8534748241,36.6105494976,13.50495,1.73797532649
 01/02  08:00:00,26.2382491917,2.18654399687,0.0,0.0,3.71167865564,18.077,57.8989727627,31.699689544,21.0077,5.19158321879
 01/02  09:00:00,20.6052884922,2.18654399687,0.0,0.0,3.71167865564,13.077,52.8602049533,32.6643810574,15.0055,5.1903238959
 01/02  10:00:00,20.6095328027,2.18654399687,0.0,0.0,3.71167865564,13.077,57.9890247935,38.9455632718,15.0055,4.03796152176
 01/02  11:00:00,25.5985827391,2.18654399687,0.0,0.0,3.71167865564,18.077,75.9294847112,39.454110822,33.0121,3.46327388914
 01/02  12:00:00,26.7534557506,2.18654399687,0.0,0.0,3.71167865564,18.077,82.9277750009,38.3743219637,40.51485,4.0386030372
 01/02  13:00:00,25.8146191951,2.18654399687,0.0,0.0,3.71167865564,18.077,74.8595038884,35.383669694,36.0132,3.46263419444
 01/02  14:00:00,25.6138543798,2.18654399687,0.0,0.0,3.71167865564,18.077,70.9297360069,35.9563291492,31.51155,3.46185685769
 01/02  15:00:00,20.6108320534,2.18654399687,0.0,0.0,3.71167865564,13.077,64.119577993,40.2252680369,21.0077,2.88660995619
 01/02  16:00:00,20.5924446584,2.18654399687,0.0,0.0,3.71167865564,13.077,66.0989206249,43.7052140895,19.50715,2.88655653543
 01/02  17:00:00,21.7765952697,2.18654399687,0.0,0.0,3.71167865564,13.077,70.4576413476,45.0624199759,22.50825,2.88697137171
 01/02  18:00:00,28.0455594461,2.18654399687,0.0,0.0,3.71167865564,18.077,70.894265439,41.9223920087,25.50935,3.4625234303
 01/02  19:00:00,28.0485277585,2.18654399687,0.0,0.0,3.71167865564,18.077,71.8559614696,41.7310890392,25.50935,4.61552243038
 01/02  20:00:00,28.1897871777,2.18654399687,0.0,0.0,3.71167865564,18.077,74.6524535252,43.376113909,25.50935,5.76698961625
 01/02  21:00:00,23.1756759143,2.18654399687,0.0,0.0,3.71167865564,13.077,74.1539076896,47.6070586116,22.50825,4.03859907802
 01/02  22:00:00,23.1094786153,2.18654399687,0.0,0.0,3.71167865564,13.077,75.4654614987,49.2686209244,21.0077,5.18914057435
 01/02  23:00:00,23.005232532,2.18654399687,0.0,0.0,3.71167865564,13.077,72.9600716952,50.9155730921,18.0066,4.03789860306
 01/02  24:00:00,24.2057500919,2.18654399687,0.0,0.0,3.71167865564,13.077,60.3325122336,55.0193374998,3.0011,2.31207473383
 01/03  01:00:00,13.7283701415,2.18654399687,0.0,0.0,1.85583932782,5.577,65.8792111033,61.1398494817,3.0011,1.73826162154
 01/03  02:00:00,9.46813407707,0.0,0.0,0.0,0.618613109274,5.0,3.59319505518,0.0,3.0011,0.592095055178
 01/03  03:00:00,9.48991631016,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.50386841822,0.0,0.0,0.0,0.618613109274,5.0,3.59314924442,0.0,3.0011,0.592049244423
 01/03  05:00:00,10.1720916109,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.1917652661,2.18654399687,0.0,0.0,1.85583932782,5.577,68.543091641,63.4493864586,4.50165,0.592055182371
 01/03  07:00:00,28.3843467516,2.18654399687,0.0,0.0,3.71167865564,18.077,72.2204550679,57.5501757458,13.50495,1.16532932209
 01/03  08:00:00,26.2110073157,2.18654399687,0.0,0.0,3.71167865564,18.077,80.6392630767,53.8648335887,21.0077,5.76672948796
 01/03  09:00:00,20.5783722932,2.18654399687,0.0,0.0,3.71167865564,13.077,73.894450443,54.2735660022,15.0055,4.61538444077
 01/03  10:00:00,20.5887989339,2.18654399687,0.0,0.0,3.71167865564,13.077,71.9578613743,52.91386691,15.0055,4.03849446428
 01/03  11:00:00,25.5827941788,2.18654399687,0.0,0.0,3.71167865564,18.077,86.18628298,49.1375135988,33.0121,4.03666938115
 01/03  12:00:00,26.7394540891,2.18654399687,0.0,0.0,3.71167865564,18.077,90.1146472795,45.5620748604,40.51485,4.03772241918
 01/03  13:00:00,25.8010816525,2.18654399687,0.0,0.0,3.71167865564,18.077,82.5952521866,43.1196511748,36.0132,3.46240101173
 01/03  14:00:00,25.5999998651,2.18654399687,0.0,0.0,3.71167865564,18.077,78.48167514,43.5091865555,31.51155,3.46093858449
 01/03  15:00:00,20.6001698785,2.18654399687,0.0,0.0,3.71167865564,13.077,70.3420245101,47.0210824182,21.0077,2.31324209188
 01/03  16:00:00,20.5853629037,2.18654399687,0.0,0.0,3.71167865564,13.077,71.6940644691,49.2999426122,19.50715,2.88697185694
 01/03  17:00:00,21.7685865531,2.18654399687,0.0,0.0,3.71167865564,13.077,75.3203906843,49.9251256118,22.50825,2.88701507242
 01/03  18:00:00,28.0372706286,2.18654399687,0.0,0.0,3.71167865564,18.077,77.2492529708,48.2769687662,25.50935,3.46293420458
 01/03  19:00:00,28.0404877875,2.18654399687,0.0,0.0,3.71167865564,18.077,81.1317290892,50.4334865677,25.50935,5.18889252145
 01/03  20:00:00,28.0405661549,2.18654399687,0.0,0.0,3.71167865564,18.077,82.2036236888,51.5026765772,25.50935,5.19159711155
 01/03  21:00:00,23.0346624393,2.18654399687,0.0,0.0,3.71167865564,13.077,80.7444810568,53.6225189668,22.50825,4.61371208998
 01/03  22:00:00,23.0011793196,2.18654399687,0.0,0.0,3.71167865564,13.077,82.1272088321,55.9291501901,21.0077,5.19035864195
 01/03  23:00:00,23.0008273936,2.18654399687,0.0,0.0,3.71167865564,13.077,82.0066406606,59.9628621631,18.0066,4.03717849744
 01/03  24:00:00,24.2049428578,2.18654399687,0.0,0.0,3.71167865564,13.077,68.774132588,63.4617385876,3.0011,2.31129400045
 01/04  01:00:00,13.7291254349,2.18654399687,0.0,0.0,1.85583932782,5.577,78.1691145082,73.4295248379,3.0011,1.73848967026
 01/04  02:00:00,9.45917956751,0.0,0.0,0.0,0.618613109274,5.0,3.59316327969,0.0,3.0011,0.592063279689
 01/04  03:00:00,9.4759326498,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.48711023897,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  05:00:00,9.63597436193,0.0,0.0,0.0,0.618613109274,5.0,3.59316919706,0.0,3.0011,0.592069197057
 01/04  06:00:00,13.6745529589,2.18654399687,0.0,0.0,1.85583932782,5.577,88.700809705,84.179159705,4.50165,0.02
 01/04  07:00:00,28.1539618391,2.18654399687,0.0,0.0,3.71167865564,18.077,91.4547329022,76.2118151376,13.50495,1.73796776468
 01/04  08:00:00,26.2057307422,2.18654399687,0.0,0.0,3.71167865564,18.077,97.7040364756,71.5046459446,21.0077,5.19169053098
 01/04  09:00:00,20.5736656882,2.18654399687,0.0,0.0,3.71167865564,13.077,90.4726534087,70.2768323464,15.0055,5.19032106233
 01/04  10:00:00,20.5839420977,2.18654399687,0.0,0.0,3.71167865564,13.077,87.0542219675,68.0103178172,15.0055,4.03840415026
 01/04  11:00:00,25.5763115363,2.18654399687,0.0,0.0,3.71167865564,18.077,99.2718761899,62.7965374396,33.0121,3.46323875034
 01/04  12:00:00,26.7331468648,2.18654399687,0.0,0.0,3.71167865564,18.077,100.906091445,56.353032587,40.51485,4.03820885794
 01/04  13:00:00,25.7959426526,2.18654399687,0.0,0.0,3.71167865564,18.077,91.4925503122,51.4429352796,36.0132,4.03641503261
 01/04  14:00:00,25.593651489,2.18654399687,0.0,0.0,3.71167865564,18.077,85.306230447,50.90724935,31.51155,2.887431097
 01/04  15:00:00,20.5962730046,2.18654399687,0.0,0.0,3.71167865564,13.077,78.6428745983,54.7484437873,21.0077,2.88673081096
