Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.7699841175,2.18496853155,0.0,0.0,1.85583932782,5.577,10.792791644,5.48022625776,3.0011,2.31146538625
 01/01  02:00:00,9.70215216681,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.73179741028,0.0,0.0,0.0,0.618613109274,5.0,3.59315181324,0.0,3.0011,0.592051813243
 01/01  04:00:00,9.71972099268,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.84487845721,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.8300976608,2.18496853155,0.0,0.0,1.85583932782,5.577,22.5743452915,17.4806116804,4.50165,0.592083611083
 01/01  07:00:00,28.2991923533,2.18496853155,0.0,0.0,3.71167865564,18.077,27.0570441856,11.814494769,13.50495,1.73759941661
 01/01  08:00:00,26.3601120613,2.18496853155,0.0,0.0,3.71167865564,18.077,30.8193485439,8.6465442274,21.0077,1.16510431648
 01/01  09:00:00,20.7222808963,2.18496853155,0.0,0.0,3.71167865564,13.077,27.0535588128,10.3100343587,15.0055,1.73802445411
 01/01  10:00:00,20.7387782561,2.18496853155,0.0,0.0,3.71167865564,13.077,25.0412896055,8.87024829089,15.0055,1.16554131464
 01/01  11:00:00,25.7465607434,2.18496853155,0.0,0.0,3.71167865564,18.077,44.3197857939,6.69359869128,33.0121,4.61408710265
 01/01  12:00:00,26.8697699393,2.18496853155,0.0,0.0,3.71167865564,18.077,49.4684761402,4.33981208134,40.51485,4.61381405882
 01/01  13:00:00,26.0472504957,2.18496853155,0.00351461354117,0.0,3.71167865564,18.077,40.0642388215,0.589029195764,36.0132,3.4620096257
 01/01  14:00:00,25.9024431044,2.18496853155,0.0,0.0,3.71167865564,18.077,35.5484911603,0.0,31.51155,4.03694116026
 01/01  15:00:00,20.9310515585,2.18496853155,0.0,0.0,3.71167865564,13.077,23.3332186581,0.0122671674536,21.0077,2.31325149062
 01/01  16:00:00,20.9114710936,2.18496853155,0.0,0.0,3.71167865564,13.077,22.3940230017,0.0,19.50715,2.88687300169
 01/01  17:00:00,22.0651431869,2.18496853155,0.0,0.0,3.71167865564,13.077,25.5463894559,0.151534938282,22.50825,2.88660451758
 01/01  18:00:00,28.3126584887,2.18496853155,0.0,0.0,3.71167865564,18.077,28.9716103066,0.0,25.50935,3.4622603066
 01/01  19:00:00,28.3274169956,2.18496853155,0.010701542229,0.0,3.71167865564,18.077,30.123845688,0.0,25.50935,4.61449568803
 01/01  20:00:00,28.4720514979,2.18496853155,0.0,0.0,3.71167865564,18.077,30.1229516716,0.0,25.50935,4.61360167161
 01/01  21:00:00,23.4590083714,2.18496853155,0.0,0.0,3.71167865564,13.077,25.9699955369,0.0,22.50825,3.46174553694
 01/01  22:00:00,23.3789209224,2.18496853155,0.0,0.0,3.71167865564,13.077,25.6215600225,0.0,21.0077,4.61386002247
 01/01  23:00:00,23.2748992357,2.18496853155,0.0,0.0,3.71167865564,13.077,21.6744465694,0.205807622148,18.0066,3.46203894729
 01/01  24:00:00,24.4300235346,2.18496853155,0.0,0.0,3.71167865564,13.077,6.08383313248,0.771434355506,3.0011,2.31129877697
 01/02  01:00:00,14.0021357901,2.18496853155,0.0,0.0,1.85583932782,5.577,8.54894999395,3.80913913244,3.0011,1.73871086151
 01/02  02:00:00,9.74050868719,0.0,0.0,0.0,0.618613109274,5.0,3.59317006312,0.0,3.0011,0.592070063124
 01/02  03:00:00,9.77501976581,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.79264172681,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.94577416341,0.0,0.0,0.0,0.618613109274,5.0,3.59317596971,0.0,3.0011,0.592075969706
 01/02  06:00:00,13.9503531241,2.18496853155,0.0,0.0,1.85583932782,5.577,9.03951054378,4.51786054378,4.50165,0.02
