Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5726966614,2.18420484592,0.0,0.0,1.85583932782,5.577,39.1518427383,33.8396031005,3.0011,2.3111396378
 01/01  02:00:00,9.52211012034,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.55503788202,0.0,0.0,0.0,0.618613109274,5.0,3.59315209553,0.0,3.0011,0.592052095531
 01/01  04:00:00,9.57310937938,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.72428107732,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7267483691,2.18420484592,0.0,0.0,1.85583932782,5.577,41.2168112866,36.1230773874,4.50165,0.592083899156
 01/01  07:00:00,28.2039961563,2.18420484592,0.0,0.0,3.71167865564,18.077,44.4919772287,29.2494271426,13.50495,1.73760008616
 01/01  08:00:00,26.262642489,2.18420484592,0.0,0.0,3.71167865564,18.077,48.7163987857,26.5435940781,21.0077,1.16510470763
 01/01  09:00:00,20.6267299845,2.18420484592,0.0,0.0,3.71167865564,13.077,45.6252817896,28.8816019475,15.0055,1.73817984205
 01/01  10:00:00,20.639604804,2.18420484592,0.0,0.0,3.71167865564,13.077,43.3611254189,27.1901347874,15.0055,1.16549063147
 01/01  11:00:00,25.6382543347,2.18420484592,0.0,0.0,3.71167865564,18.077,61.0962278663,23.4695382166,33.0121,4.61458964969
 01/01  12:00:00,26.7834200311,2.18420484592,0.0,0.0,3.71167865564,18.077,64.8436861636,19.7151696157,40.51485,4.61366654792
 01/01  13:00:00,25.8697073345,2.18420484592,0.0,0.0,3.71167865564,18.077,57.0941088762,17.6189924974,36.0132,3.4619163788
 01/01  14:00:00,25.6695275851,2.18420484592,0.0,0.0,3.71167865564,18.077,53.6528824575,18.1048491055,31.51155,4.03648335194
 01/01  15:00:00,20.6660642213,2.18420484592,0.0,0.0,3.71167865564,13.077,43.2393508582,19.9185993687,21.0077,2.31305148947
 01/01  16:00:00,20.6504004601,2.18420484592,0.0,0.0,3.71167865564,13.077,42.791841788,20.3984939122,19.50715,2.88619787584
