Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.7164414765,2.19603536162,0.0,0.0,1.85583932782,5.577,17.5689570901,12.2562454777,3.0011,2.31161161237
 01/01  02:00:00,9.64820349175,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.65512134534,0.0,0.0,0.0,0.618613109274,5.0,3.59315827076,0.0,3.0011,0.592058270762
 01/01  04:00:00,9.65001777372,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.78001590649,0.0,0.0,0.0,0.618613109274,5.0,3.59319004187,0.0,3.0011,0.592090041871
 01/01  06:00:00,13.770516634,2.19603536162,0.0,0.0,1.85583932782,5.577,34.7907087217,30.2690587217,4.50165,0.02
 01/01  07:00:00,28.2318970099,2.19603536162,0.0,0.0,3.71167865564,18.077,40.3653853418,25.1226087094,13.50495,1.73782663239
 01/01  08:00:00,28.1848734427,2.19603536162,0.0,0.0,3.71167865564,18.077,44.8821436519,22.1365776762,21.0077,1.73786597568
 01/01  09:00:00,20.6545354105,2.19603536162,0.0,0.0,3.71167865564,13.077,39.7896258655,23.6187142486,15.0055,1.16541161695
 01/01  10:00:00,20.6640658737,2.19603536162,0.0,0.0,3.71167865564,13.077,40.2489048282,23.5053655129,15.0055,1.7380393153
 01/01  11:00:00,25.6661453893,2.19603536162,0.0,0.0,3.71167865564,18.077,57.5368975871,19.3344520859,33.0121,5.19034550114
 01/01  12:00:00,26.8105934655,2.19603536162,0.0,0.0,3.71167865564,18.077,59.9008549562,14.7730393059,40.51485,4.61296565027
 01/01  13:00:00,25.9080466514,2.19603536162,0.0,0.0,3.71167865564,18.077,52.0064829263,12.530001392,36.0132,3.46328153437
 01/01  14:00:00,25.7128265946,2.19603536162,0.0,0.0,3.71167865564,18.077,47.7957619746,12.2464043387,31.51155,4.03780763597
 01/01  15:00:00,20.7139009275,2.19603536162,0.0,0.0,3.71167865564,13.077,38.6096527864,14.7145827326,21.0077,2.88737005378
 01/01  16:00:00,20.7027406004,2.19603536162,0.0,0.0,3.71167865564,13.077,38.1753660035,15.7813311147,19.50715,2.88688488877
 01/01  17:00:00,20.6219483993,2.19603536162,0.0,0.0,3.71167865564,13.077,41.5118336185,15.5428722741,22.50825,3.46071134432
 01/01  18:00:00,27.5259079354,2.19603536162,0.0,0.0,3.71167865564,18.077,43.3937242881,14.4216059295,25.50935,3.46276835858
 01/01  19:00:00,28.164315122,2.19603536162,0.0,0.0,3.71167865564,18.077,43.1603597163,13.0353853374,25.50935,4.61562437887
 01/01  20:00:00,28.3069707658,2.19603536162,0.0,0.0,3.71167865564,18.077,43.9889700291,13.2914327778,25.50935,5.18818725132
 01/01  21:00:00,23.2914668864,2.19603536162,0.0,0.0,3.71167865564,13.077,40.0124384725,14.0411722875,22.50825,3.46301618499
 01/01  22:00:00,23.2345093028,2.19603536162,0.0,0.0,3.71167865564,13.077,38.0131764427,11.8166021478,21.0077,5.18887429493
 01/01  23:00:00,23.1512191563,2.19603536162,0.0,0.0,3.71167865564,13.077,31.3944173082,9.92499915526,18.0066,3.46281815299
