Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5482796949,2.19107027986,0.0,0.0,1.85583932782,5.577,50.1243724958,44.8114035019,3.0011,2.31186899389
 01/01  02:00:00,9.48798791174,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.51234329913,0.0,0.0,0.0,0.618613109274,5.0,3.59315814966,0.0,3.0011,0.592058149658
 01/01  04:00:00,9.52454417795,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.6745491319,0.0,0.0,0.0,0.618613109274,5.0,3.59316407519,0.0,3.0011,0.592064075191
 01/01  06:00:00,13.694230134,2.19107027986,0.0,0.0,1.85583932782,5.577,54.3478422917,49.8261922917,4.50165,0.02
 01/01  07:00:00,28.1696989232,2.19107027986,0.0,0.0,3.71167865564,18.077,57.7345763069,42.4918001742,13.50495,1.73782613269
 01/01  08:00:00,26.2299339852,2.19107027986,0.0,0.0,3.71167865564,18.077,61.4900307879,38.7444653762,21.0077,1.73786541166
 01/01  09:00:00,20.5976429521,2.19107027986,0.0,0.0,3.71167865564,13.077,56.3843732717,40.2134620464,15.0055,1.16541122533
 01/01  10:00:00,20.6089654468,2.19107027986,0.0,0.0,3.71167865564,13.077,56.0385869706,39.2948833266,15.0055,1.73820364406
 01/01  11:00:00,25.60788533,2.19107027986,0.0,0.0,3.71167865564,18.077,72.4020643356,34.1995931061,33.0121,5.19037122953
 01/01  12:00:00,26.7684913937,2.19107027986,0.0,0.0,3.71167865564,18.077,73.988649981,28.8608366202,40.51485,4.61296336086
 01/01  13:00:00,25.8410868219,2.19107027986,0.0,0.0,3.71167865564,18.077,66.1383100123,26.6620271186,36.0132,3.46308289365
 01/01  14:00:00,25.6396191459,2.19107027986,0.0,0.0,3.71167865564,18.077,62.7407116365,27.1915987407,31.51155,4.03756289577
 01/01  15:00:00,20.6445996058,2.19107027986,0.0,0.0,3.71167865564,13.077,52.844417047,28.9497824209,21.0077,2.88693462614
 01/01  16:00:00,20.6289893757,2.19107027986,0.0,0.0,3.71167865564,13.077,52.7452092605,30.3514163868,19.50715,2.88664287375
 01/01  17:00:00,22.441220333,2.19107027986,0.0,0.0,3.71167865564,13.077,56.9829322954,31.014280433,22.50825,3.4604018624
 01/01  18:00:00,28.0761400279,2.19107027986,0.0,0.0,3.71167865564,18.077,57.8160545971,28.8441820699,25.50935,3.46252252717
 01/01  19:00:00,28.0799296991,2.19107027986,0.0,0.0,3.71167865564,18.077,57.1464963846,27.0215405002,25.50935,4.61560588441
 01/01  20:00:00,28.2251678232,2.19107027986,0.0,0.0,3.71167865564,18.077,57.6304568618,26.9329245383,25.50935,5.18818232356
 01/01  21:00:00,23.2082497813,2.19107027986,0.0,0.0,3.71167865564,13.077,55.2390665018,29.2678036024,22.50825,3.46301289938
 01/01  22:00:00,23.1373914056,2.19107027986,0.0,0.0,3.71167865564,13.077,56.7759191175,30.5793496804,21.0077,5.18886943706
 01/01  23:00:00,23.0302154398,2.19107027986,0.0,0.0,3.71167865564,13.077,53.9013504462,32.4319355285,18.0066,3.46281491767
 01/01  24:00:00,24.2276805472,2.19107027986,0.0,0.0,3.71167865564,13.077,40.6632145707,35.3504455629,3.0011,2.31166900785
 01/02  01:00:00,13.743631381,2.19107027986,0.0,0.0,1.85583932782,5.577,47.3259275757,42.5866012467,3.0011,1.73822632901
 01/02  02:00:00,9.4885015058,0.0,0.0,0.0,0.618613109274,5.0,3.59319204699,0.0,3.0011,0.592092046991
 01/02  03:00:00,9.51303111586,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.52599962775,0.0,0.0,0.0,0.618613109274,5.0,3.59314621651,0.0,3.0011,0.592046216512
 01/02  05:00:00,9.67619111156,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.6944997854,2.19107027986,0.0,0.0,1.85583932782,5.577,53.9902843415,48.8965821822,4.50165,0.592052159287
 01/02  07:00:00,28.1687443561,2.19107027986,0.0,0.0,3.71167865564,18.077,57.8554359276,42.612507651,13.50495,1.73797827656
 01/02  08:00:00,26.2271880452,2.19107027986,0.0,0.0,3.71167865564,18.077,65.88053285,39.6795989872,21.0077,5.19323386286
 01/02  09:00:00,20.5907583316,2.19107027986,0.0,0.0,3.71167865564,13.077,63.4011850005,43.2046337002,15.0055,5.1910513003
 01/02  10:00:00,20.594227105,2.19107027986,0.0,0.0,3.71167865564,13.077,64.6113752373,44.9926999049,15.0055,4.61317533245
 01/02  11:00:00,25.5898981701,2.19107027986,0.0,0.0,3.71167865564,18.077,78.7239126333,41.6753752081,33.0121,4.03643742521
 01/02  12:00:00,26.7503260931,2.19107027986,0.0,0.0,3.71167865564,18.077,82.6098338917,38.055928894,40.51485,4.03905499772
 01/02  13:00:00,25.8142351683,2.19107027986,0.0,0.0,3.71167865564,18.077,75.9033230068,35.8530950073,36.0132,4.0370279995
 01/02  14:00:00,25.6133595232,2.19107027986,0.0,0.0,3.71167865564,18.077,72.1635111571,37.1904320097,31.51155,3.46152914739
 01/02  15:00:00,20.612220909,2.19107027986,0.0,0.0,3.71167865564,13.077,65.5051407444,41.6110119213,21.0077,2.88642882316
 01/02  16:00:00,20.5957811181,2.19107027986,0.0,0.0,3.71167865564,13.077,67.8603800852,45.4663283948,19.50715,2.88690169047
 01/02  17:00:00,22.410254337,2.19107027986,0.0,0.0,3.71167865564,13.077,71.7527933458,46.3579128169,22.50825,2.88663052887
 01/02  18:00:00,28.0462006183,2.19107027986,0.0,0.0,3.71167865564,18.077,71.9615404886,42.4150044401,25.50935,4.03718604853
 01/02  19:00:00,28.0494221002,2.19107027986,0.0,0.0,3.71167865564,18.077,72.4208000016,41.7206595489,25.50935,5.1907904527
 01/02  20:00:00,28.1940993635,2.19107027986,0.0,0.0,3.71167865564,18.077,72.9558814919,41.6783843637,25.50935,5.76814712818
 01/02  21:00:00,23.1822736539,2.19107027986,0.0,0.0,3.71167865564,13.077,71.5857995637,44.4641671807,22.50825,4.61338238299
 01/02  22:00:00,23.118865925,2.19107027986,0.0,0.0,3.71167865564,13.077,72.9404125531,46.7414914885,21.0077,5.19122106455
 01/02  23:00:00,23.0135873977,2.19107027986,0.0,0.0,3.71167865564,13.077,71.7539997823,49.709811007,18.0066,4.03758877524
 01/02  24:00:00,24.2129574976,2.19107027986,0.0,0.0,3.71167865564,13.077,59.508764276,53.6219581476,3.0011,2.8857061284
 01/03  01:00:00,13.7340968099,2.19107027986,0.0,0.0,1.85583932782,5.577,66.9841355344,62.2445816766,3.0011,1.73845385773
 01/03  02:00:00,9.46841975032,0.0,0.0,0.0,0.618613109274,5.0,3.59318007645,0.0,3.0011,0.59208007645
 01/03  03:00:00,9.48855229925,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.50051353818,0.0,0.0,0.0,0.618613109274,5.0,3.59318598725,0.0,3.0011,0.592085987246
 01/03  05:00:00,10.1667863079,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.1943409375,2.19107027986,0.0,0.0,1.85583932782,5.577,80.1675419754,75.0738001086,4.50165,0.592091866767
 01/03  07:00:00,28.3875335625,2.19107027986,0.0,0.0,3.71167865564,18.077,83.88828184,69.2180006073,13.50495,1.16533123274
 01/03  08:00:00,26.2120677897,2.19107027986,0.0,0.0,3.71167865564,18.077,92.7859931236,66.0095531357,21.0077,5.76873998789
 01/03  09:00:00,20.5802155476,2.19107027986,0.0,0.0,3.71167865564,13.077,83.6305214457,63.4330028319,15.0055,5.19201861387
 01/03  10:00:00,20.5938622822,2.19107027986,0.0,0.0,3.71167865564,13.077,78.8295867454,59.2106048683,15.0055,4.61348187711
 01/03  11:00:00,25.5891819219,2.19107027986,0.0,0.0,3.71167865564,18.077,88.9265657045,52.4508804296,33.0121,3.4635852749
 01/03  12:00:00,26.7442933427,2.19107027986,0.0,0.0,3.71167865564,18.077,92.2169262004,47.0885739821,40.51485,4.61350221831
 01/03  13:00:00,25.8080718822,2.19107027986,0.0,0.0,3.71167865564,18.077,82.8667585892,42.8167472888,36.0132,4.03681130036
 01/03  14:00:00,25.6102645081,2.19107027986,0.0,0.0,3.71167865564,18.077,75.748455892,40.7753047905,31.51155,3.46160110154
 01/03  15:00:00,20.6129831793,2.19107027986,0.0,0.0,3.71167865564,13.077,67.7670920596,43.8724661262,21.0077,2.8869259334
 01/03  16:00:00,20.5953752061,2.19107027986,0.0,0.0,3.71167865564,13.077,69.9373043177,47.5430414245,19.50715,2.88711289319
 01/03  17:00:00,22.4065125169,2.19107027986,0.0,0.0,3.71167865564,13.077,76.5581595288,51.1624928796,22.50825,2.88741664923
 01/03  18:00:00,28.0412897682,2.19107027986,0.0,0.0,3.71167865564,18.077,83.5153969176,53.9684974294,25.50935,4.03754948823
 01/03  19:00:00,28.0434136314,2.19107027986,0.0,0.0,3.71167865564,18.077,86.9357673531,56.2353354764,25.50935,5.19108187664
 01/03  20:00:00,28.0417385232,2.19107027986,0.0,0.0,3.71167865564,18.077,90.0174025668,58.7397802143,25.50935,5.76827235251
 01/03  21:00:00,23.0390910696,2.19107027986,0.0,0.0,3.71167865564,13.077,86.4104348616,59.288706103,22.50825,4.61347875858
 01/03  22:00:00,23.0087199873,2.19107027986,0.0,0.0,3.71167865564,13.077,83.9613949822,57.762299781,21.0077,5.19139520117
 01/03  23:00:00,23.007442789,2.19107027986,0.0,0.0,3.71167865564,13.077,80.5905584094,58.5461966161,18.0066,4.03776179329
 01/03  24:00:00,24.2098073362,2.19107027986,0.0,0.0,3.71167865564,13.077,66.1142937001,60.2278637193,3.0011,2.88532998083
 01/04  01:00:00,13.7338817163,2.19107027986,0.0,0.0,1.85583932782,5.577,71.600809348,66.8615872116,3.0011,1.73812213642
