Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5507965491,2.1977074514,0.0,0.0,1.85583932782,5.577,53.1716685608,47.8576591886,3.0011,2.31290937218
 01/01  02:00:00,9.47831257182,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.50138260876,0.0,0.0,0.0,0.618613109274,5.0,3.59315756145,0.0,3.0011,0.592057561446
 01/01  04:00:00,9.51404270711,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.66492781301,0.0,0.0,0.0,0.618613109274,5.0,3.59316348791,0.0,3.0011,0.592063487915
 01/01  06:00:00,13.6943227562,2.1977074514,0.0,0.0,1.85583932782,5.577,54.2543575076,49.7327075076,4.50165,0.02
 01/01  07:00:00,28.1715115337,2.1977074514,0.0,0.0,3.71167865564,18.077,56.4823675199,41.2395930214,13.50495,1.73782449846
 01/01  08:00:00,26.2310275568,2.1977074514,0.0,0.0,3.71167865564,18.077,58.8295009174,36.0837724193,21.0077,1.73802849808
 01/01  09:00:00,20.5979371798,2.1977074514,0.0,0.0,3.71167865564,13.077,52.3147320743,36.1437118302,15.0055,1.16552024408
 01/01  10:00:00,20.616586707,2.1977074514,0.0,0.0,3.71167865564,13.077,48.1521271352,31.4082605613,15.0055,1.73836657384
 01/01  11:00:00,25.6308625352,2.1977074514,0.0,0.0,3.71167865564,18.077,62.3057979618,24.1042788783,33.0121,5.1894190835
 01/01  12:00:00,26.7804282746,2.1977074514,0.0,0.0,3.71167865564,18.077,65.6293538026,20.5000638287,40.51485,4.61443997381
 01/01  13:00:00,25.8633150627,2.1977074514,0.0,0.0,3.71167865564,18.077,58.0811986974,18.6046625977,36.0132,3.46333609973
 01/01  14:00:00,25.6683872796,2.1977074514,0.0,0.0,3.71167865564,18.077,52.8048234566,17.255709289,31.51155,4.03756416757
 01/01  15:00:00,20.6759622773,2.1977074514,0.0,0.0,3.71167865564,13.077,40.5077926586,16.6128532262,21.0077,2.88723943248
