Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,222.181130311,41.9916077765,61.4272768402,0.0,43.513341876,52.539744,304.494866055,299.640606055,4.83426,0.02
 01/01  02:00:00,210.99171633,43.7574893186,48.7572207569,0.0,43.513341876,52.539744,245.069047485,240.214787485,4.83426,0.02
 01/01  03:00:00,231.189992941,52.6031117818,59.7315780408,0.0,43.513341876,52.539744,362.246639288,357.392379288,4.83426,0.02
 01/01  04:00:00,212.28147826,44.8662633975,48.9075602841,0.0,43.513341876,52.539744,252.879348868,248.025088868,4.83426,0.02
 01/01  05:00:00,231.2825641,51.7609407958,60.210416936,0.0,43.513341876,52.539744,342.954894305,338.100634305,4.83426,0.02
 01/01  06:00:00,211.954698336,44.0382129806,49.0024387476,0.0,43.513341876,52.539744,255.752811053,242.307223953,4.83426,8.61132710051
 01/01  07:00:00,230.561735257,51.1994934717,60.0500333388,0.0,43.513341876,52.539744,331.431940977,326.577680977,4.83426,0.02
 01/01  08:00:00,192.959779058,36.8100006143,49.3378461932,0.0,43.513341876,52.539744,184.09357745,179.23931745,4.83426,0.02
 01/01  09:00:00,195.975800383,32.9823744653,61.8478328855,0.0,43.513341876,52.539744,197.378492365,192.524232365,4.83426,0.02
 01/01  10:00:00,167.344472291,15.3416028396,51.1559248906,0.0,43.513341876,52.539744,113.434236962,99.9796472382,4.83426,8.6203297238
 01/01  11:00:00,180.838396138,12.6898306265,67.0105465918,0.0,43.513341876,52.539744,128.556071877,123.701811877,4.83426,0.02
 01/01  12:00:00,174.155493265,14.1059508543,58.2365924757,0.0,43.513341876,52.539744,77.3186713919,72.4644113919,4.83426,0.02
 01/01  13:00:00,193.379085827,13.1840914206,79.0302790814,0.0,43.513341876,52.539744,99.9116658364,86.4570714578,4.83426,8.62033437861
 01/01  14:00:00,174.935604975,9.16334291291,64.8597505664,0.0,43.513341876,52.539744,55.500514232,50.646254232,4.83426,0.02
 01/01  15:00:00,183.373411021,7.74722268509,74.4796219009,0.0,43.513341876,52.539744,86.7793268508,81.9250668508,4.83426,0.02
 01/01  16:00:00,172.890576893,16.6091063426,55.5091295967,0.0,43.513341876,52.539744,69.3225933855,64.4683333855,4.83426,0.02
 01/01  17:00:00,191.96441987,16.6693981936,68.4753938491,0.0,43.513341876,52.539744,91.6911004158,86.8368404158,4.83426,0.02
 01/01  18:00:00,188.369532405,16.446476179,53.4086586724,0.0,43.513341876,52.539744,112.024023665,98.5769532977,4.83426,8.61281036751
 01/01  19:00:00,205.50129923,20.9805963914,65.7134646895,0.0,43.513341876,52.539744,160.13617619,155.28191619,4.83426,0.02
 01/01  20:00:00,188.578881606,15.9522153849,53.6825462517,0.0,43.513341876,52.539744,107.342542963,102.488282963,4.83426,0.02
 01/01  21:00:00,208.423761641,21.9691179797,67.2328849105,0.0,43.513341876,52.539744,167.856432475,163.002172475,4.83426,0.02
 01/01  22:00:00,210.943797805,38.6058266344,53.5988107324,0.0,43.513341876,52.539744,160.279567664,155.425307664,4.83426,0.02
 01/01  23:00:00,222.946131446,37.6122075742,66.6160066111,0.0,43.513341876,52.539744,202.53643309,189.089362702,4.83426,8.61281038816
 01/01  24:00:00,206.989199921,34.170730319,53.3883088215,0.0,43.513341876,52.539744,162.544672711,157.690412711,4.83426,0.02
 01/02  01:00:00,222.20249463,37.6122075742,65.8304430272,0.0,43.513341876,52.539744,227.88256236,223.02830236,4.83426,0.02
 01/02  02:00:00,208.226558152,35.8338914372,53.9751691114,0.0,43.513341876,52.539744,134.768416184,129.914156184,4.83426,0.02
 01/02  03:00:00,215.276698309,28.7420149434,67.8207700161,0.0,43.513341876,52.539744,186.209718069,172.755102745,4.83426,8.62035532394
 01/02  04:00:00,197.704062657,22.9852384651,56.3057901633,0.0,43.513341876,52.539744,118.922216933,114.067956933,4.83426,0.02
 01/02  05:00:00,226.794893162,35.7977945612,71.8645633022,0.0,43.513341876,52.539744,156.873074326,152.018814326,4.83426,0.02
 01/02  06:00:00,196.641882412,19.750041878,58.0711857073,0.0,43.513341876,52.539744,134.291090567,120.836453614,4.83426,8.6203769535
 01/02  07:00:00,196.194757951,73.4153473429,0.0,0.0,43.513341876,53.238744,2534.16152538,2529.30726538,4.83426,0.02
 01/02  08:00:00,360.910571957,73.4153473429,0.0,0.0,220.879908,53.238744,1920.44149605,1889.22377955,4.83426,26.3834564996
 01/02  09:00:00,446.527931237,73.4153473429,0.00245092171161,0.0,220.879908,145.652643033,1590.19604813,1527.35715157,36.25695,26.5819465683
 01/02  10:00:00,446.48820522,73.4153473429,0.0,0.0,220.879908,145.652643033,1658.32506517,1572.90941939,36.25695,49.158695774
 01/02  11:00:00,452.415703373,73.4153473429,0.0,0.0,220.879908,151.653867033,1701.81602392,1603.97290934,48.3426,49.5005145793
 01/02  12:00:00,453.432396709,73.4153473429,0.0,0.0,220.879908,151.653867033,1673.142688,1579.73880177,48.3426,45.0612862327
