Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.803958713,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.777778629,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.777232389,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.723540289,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.099344357,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,118.060736372,0.0,0.0,0.0,43.513341876,52.539744,13.4470219259,0.0,4.83426,8.61276192586
 01/01  07:00:00,118.088380486,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,106.00945768,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,100.033660607,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,100.072269819,0.0,0.0,0.0,43.513341876,52.539744,13.4545863218,0.0,4.83426,8.62032632181
 01/01  11:00:00,100.059628019,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  12:00:00,100.923517555,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.100843495,0.0,0.0,0.0,43.513341876,52.539744,13.4545942476,0.0,4.83426,8.62033424756
 01/01  14:00:00,100.259595133,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.314626912,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.291175028,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,106.031929017,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.953159834,0.0,0.0,0.0,43.513341876,52.539744,13.4469348999,0.0,4.83426,8.61267489992
 01/01  19:00:00,117.951415262,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.416276616,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  21:00:00,118.38615915,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,118.140708988,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.825257436,0.0,0.0,0.0,43.513341876,52.539744,13.4468904545,0.0,4.83426,8.61263045454
 01/01  24:00:00,118.695330013,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.841305851,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  02:00:00,117.842678634,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,117.860968017,0.0,0.0,0.0,43.513341876,52.539744,13.4544379151,0.0,4.83426,8.62017791509
 01/02  04:00:00,117.874545383,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  05:00:00,118.335965823,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  06:00:00,118.287945001,0.0,0.0,0.0,43.513341876,52.539744,13.4544596552,0.0,4.83426,8.62019965522
 01/02  07:00:00,313.951909382,73.3993191303,118.009973153,0.0,43.513341876,53.238744,334.91953921,330.06527921,4.83426,0.02
 01/02  08:00:00,551.258870817,73.3993191303,189.542776977,0.0,220.879908,53.238744,248.931748178,217.714037669,4.83426,26.383450509
