Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,196.976387167,4.9214131976,73.4248375174,0.0,43.513341876,52.539744,79.0752801824,74.2210201824,4.83426,0.02
 01/01  02:00:00,189.376629773,7.94168124771,62.9864785544,0.0,43.513341876,52.539744,69.9966423702,65.1423823702,4.83426,0.02
 01/01  03:00:00,202.261444735,5.26791328208,78.2654941612,0.0,43.513341876,52.539744,91.1887451003,86.3344851003,4.83426,0.02
 01/01  04:00:00,189.535148743,7.94168124771,63.1202169253,0.0,43.513341876,52.539744,70.3585320381,65.5042720381,4.83426,0.02
 01/01  05:00:00,203.162157223,5.26791328208,78.7264355921,0.0,43.513341876,52.539744,91.4053443287,86.5510843287,4.83426,0.02
 01/01  06:00:00,191.052318431,9.18413145506,63.0101932922,0.0,43.513341876,52.539744,81.7999520446,68.3529280934,4.83426,8.61276395121
 01/01  07:00:00,207.506586842,10.2377141115,78.1113534668,0.0,43.513341876,52.539744,97.9513433544,93.0970833544,4.83426,0.02
 01/01  08:00:00,171.054651346,4.21433062567,63.0286388605,0.0,43.513341876,52.539744,62.3974132005,57.5431532005,4.83426,0.02
 01/01  09:00:00,184.888589067,5.26791328208,78.5433803454,0.0,43.513341876,52.539744,78.7396389359,73.8853789359,4.83426,0.02
 01/01  10:00:00,168.576291901,4.21433062567,63.5031870773,0.0,43.513341876,52.539744,61.8137710409,48.3591843416,4.83426,8.6203266993
 01/01  11:00:00,186.527565974,5.26791328208,80.1470350645,0.0,43.513341876,52.539744,62.0519478581,57.1976878581,4.83426,0.02
 01/01  12:00:00,170.682606692,4.21433062567,64.6917417861,0.0,43.513341876,52.539744,43.4508869654,38.5966269654,4.83426,0.02
