Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,118.683930482,1.05429483484,0.0,0.0,43.513341876,52.539744,6.4612421376,1.6069821376,4.83426,0.02
 01/01  02:00:00,117.963347978,0.351431611613,0.0,0.0,43.513341876,52.539744,5.41051944009,0.556259440092,4.83426,0.02
 01/01  03:00:00,120.050884533,2.47184980037,0.0,0.0,43.513341876,52.539744,9.94561457705,5.09135457705,4.83426,0.02
 01/01  04:00:00,121.319896183,3.7671629281,0.0,0.0,43.513341876,52.539744,14.8945403891,10.0402803891,4.83426,0.02
 01/01  05:00:00,122.002440025,4.05182716573,0.0,0.0,43.513341876,52.539744,28.2100022538,14.7622561674,4.83426,8.6134860864
 01/01  06:00:00,121.77010808,3.87611135992,0.0,0.0,43.513341876,52.539744,23.3107195477,18.4564595477,4.83426,0.02
 01/01  07:00:00,122.635322872,4.71335234555,0.0,0.0,43.513341876,52.539744,31.5962372547,26.7419772547,4.83426,0.02
 01/01  08:00:00,121.656378568,3.87611135992,0.0,0.0,43.513341876,52.539744,23.7694191614,18.9151591614,4.83426,0.02
 01/01  09:00:00,104.575760715,4.71335234555,0.0,0.0,43.513341876,52.539744,31.3221318089,26.4678718089,4.83426,0.02
 01/01  10:00:00,103.761106208,3.87611135992,0.0,0.0,43.513341876,52.539744,36.1193473033,22.6653020642,4.83426,8.61978523913
 01/01  11:00:00,104.591505943,4.71335234555,0.0,0.0,43.513341876,52.539744,31.7162457696,26.8619857696,4.83426,0.02
 01/01  12:00:00,104.838208468,4.05182716573,0.0,0.0,43.513341876,52.539744,23.9150620771,19.0608020771,4.83426,0.02
