Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,143.53485538,26.0567224813,0.0,0.0,43.513341876,52.539744,122.943347096,118.089087096,4.83426,0.02
 01/01  02:00:00,131.006233876,13.5469810679,0.0,0.0,43.513341876,52.539744,109.569416714,104.715156714,4.83426,0.02
 01/01  03:00:00,151.440564692,33.9209403494,0.0,0.0,43.513341876,52.539744,152.348087626,147.493827626,4.83426,0.02
 01/01  04:00:00,132.766312447,15.2970175326,0.0,0.0,43.513341876,52.539744,114.288613894,109.434353894,4.83426,0.02
 01/01  05:00:00,151.273135311,33.3064270646,0.0,0.0,43.513341876,52.539744,170.827369508,157.379609515,4.83426,8.61349999338
 01/01  06:00:00,147.036728656,29.1566935183,0.0,0.0,43.513341876,52.539744,119.165820004,114.311560004,4.83426,0.02
 01/01  07:00:00,136.75207868,18.772111549,0.0,0.0,43.513341876,52.539744,164.635053672,159.780793672,4.83426,0.02
 01/01  08:00:00,137.700379468,31.8999150771,0.0,0.0,43.513341876,52.539744,96.4524823109,91.5982223109,4.83426,0.02
 01/01  09:00:00,111.274454318,11.3984470074,0.0,0.0,43.513341876,52.539744,129.382251091,124.527991091,4.83426,0.02
 01/01  10:00:00,116.853778831,17.0068066269,0.0,0.0,43.513341876,52.539744,98.030078335,84.5742458851,4.83426,8.62157244986
 01/01  11:00:00,109.670104184,9.81798997772,0.0,0.0,43.513341876,52.539744,110.014515687,105.160255687,4.83426,0.02
 01/01  12:00:00,105.21446295,4.45640936842,0.0,0.0,43.513341876,52.539744,74.1441212936,69.2898612936,4.83426,0.02
 01/01  13:00:00,108.027257499,8.23753294806,0.0,0.0,43.513341876,52.539744,100.971915091,87.5161925453,4.83426,8.62146254526
 01/01  14:00:00,103.889133996,4.06129511101,0.0,0.0,43.513341876,52.539744,66.0864834717,61.2322234717,4.83426,0.02
 01/01  15:00:00,104.953923094,5.07661888876,0.0,0.0,43.513341876,52.539744,81.7993829226,76.9451229226,4.83426,0.02
 01/01  16:00:00,108.097734623,8.27584719008,0.0,0.0,43.513341876,52.539744,63.3992220849,58.5449620849,4.83426,0.02
 01/01  17:00:00,116.67769743,5.07661888876,0.0,0.0,43.513341876,52.539744,94.1861461463,80.7383710237,4.83426,8.61351512253
 01/01  18:00:00,126.353558898,8.80266619997,0.0,0.0,43.513341876,52.539744,68.3560668694,63.5018068694,4.83426,0.02
 01/01  19:00:00,127.397750985,9.81798997772,0.0,0.0,43.513341876,52.539744,92.0808099338,87.2265499338,4.83426,0.02
 01/01  20:00:00,123.229372647,5.24663788325,0.0,0.0,43.513341876,52.539744,72.1862143134,67.3319543134,4.83426,0.02
 01/01  21:00:00,126.218360302,8.23753294806,0.0,0.0,43.513341876,52.539744,96.8612234641,92.0069634641,4.83426,0.02
 01/01  22:00:00,133.965128475,16.2165781121,0.0,0.0,43.513341876,52.539744,104.941083311,91.493414667,4.83426,8.61340864433
 01/01  23:00:00,131.933365618,14.4445065132,0.0,0.0,43.513341876,52.539744,132.230696182,127.376436182,4.83426,0.02
 01/01  24:00:00,131.292983808,12.8544272003,0.0,0.0,43.513341876,52.539744,99.7211690317,94.8669090317,4.83426,0.02
 01/02  01:00:00,134.653177731,17.1514071488,0.0,0.0,43.513341876,52.539744,137.145571394,132.291311394,4.83426,0.02
 01/02  02:00:00,146.230386852,28.7716411035,0.0,0.0,43.513341876,52.539744,114.724788143,101.268778271,4.83426,8.62174987174
 01/02  03:00:00,136.960792187,19.4445417313,0.0,0.0,43.513341876,52.539744,146.27525905,141.42099905,4.83426,0.02
 01/02  04:00:00,145.689549835,28.2216727594,0.0,0.0,43.513341876,52.539744,113.633770552,108.779510552,4.83426,0.02
 01/02  05:00:00,135.251799908,17.2893291666,0.0,0.0,43.513341876,52.539744,163.949243573,150.493252819,4.83426,8.62173075426
 01/02  06:00:00,147.03614734,29.1566935183,0.0,0.0,43.513341876,52.539744,116.799175855,111.944915855,4.83426,0.02
 01/02  07:00:00,196.659987951,72.6989239872,0.0,0.0,43.513341876,53.238744,2772.74900953,2767.89474953,4.83426,0.02
 01/02  08:00:00,361.35316763,72.6989239872,0.0,0.0,220.879908,53.238744,2126.39965187,2095.13110494,4.83426,26.4342869286
 01/02  09:00:00,446.524779016,72.6989239872,0.0,0.0,220.879908,145.652643033,1897.05672952,1825.27617235,36.25695,35.5236071724
 01/02  10:00:00,446.458076622,72.6989239872,0.0,0.0,220.879908,145.652643033,1883.87729854,1793.66931766,36.25695,53.9510308731
 01/02  11:00:00,452.405178178,72.6989239872,0.0,0.0,220.879908,151.653867033,1811.69151327,1718.32019505,48.3426,45.0287182171
 01/02  12:00:00,453.405215704,72.6989239872,0.0,0.0,220.879908,151.653867033,1727.69031023,1625.06574981,48.3426,54.2819604183
 01/02  13:00:00,452.343115323,72.6989239872,0.0,0.0,220.879908,151.653867033,1701.99442529,1590.11656801,48.3426,63.5352572819
 01/02  14:00:00,446.333362358,72.6989239872,0.0,0.0,220.879908,145.652643033,1690.62499047,1611.88680199,24.1713,54.5668884775
 01/02  15:00:00,446.296374056,72.6989239872,0.0,0.0,220.879908,145.652643033,1690.02814447,1611.88206752,24.1713,53.9747769487
 01/02  16:00:00,438.430096897,72.6989239872,0.0,0.0,220.879908,137.835547516,1643.30103013,1593.39415832,4.83426,45.072611808
 01/02  17:00:00,445.417698704,72.6989239872,0.0,0.0,220.879908,133.019064,1616.29136736,1566.78785843,4.83426,44.6692489215
