Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,126.440702473,9.00265645877,0.0,0.0,43.513341876,52.539744,76.8012870598,71.9470270598,4.83426,0.02
 01/01  02:00:00,133.704850141,16.2690314806,0.0,0.0,43.513341876,52.539744,87.6830325548,82.8287725548,4.83426,0.02
 01/01  03:00:00,151.500344578,34.0150680571,0.0,0.0,43.513341876,52.539744,126.310762613,121.456502613,4.83426,0.02
 01/01  04:00:00,132.697923183,15.2477487033,0.0,0.0,43.513341876,52.539744,99.7057917525,94.8515317525,4.83426,0.02
 01/01  05:00:00,154.727312225,36.7870032543,0.0,0.0,43.513341876,52.539744,156.011520154,142.563748317,4.83426,8.61351183688
 01/01  06:00:00,134.09774006,16.2362702916,0.0,0.0,43.513341876,52.539744,106.083758003,101.229498003,4.83426,0.02
 01/01  07:00:00,152.385552366,34.4425771901,0.0,0.0,43.513341876,52.539744,142.033489003,137.179229003,4.83426,0.02
 01/01  08:00:00,116.155833204,10.3706631399,0.0,0.0,43.513341876,52.539744,81.6291050852,76.7748450852,4.83426,0.02
 01/01  09:00:00,109.874385262,10.0380049066,0.0,0.0,43.513341876,52.539744,87.8328457308,82.9785857308,4.83426,0.02
 01/01  10:00:00,103.914211724,4.07631757216,0.0,0.0,43.513341876,52.539744,61.7320000462,48.2763436231,4.83426,8.62139642312
 01/01  11:00:00,104.945328805,5.0953969652,0.0,0.0,43.513341876,52.539744,52.2429613388,47.3887013388,4.83426,0.02
 01/01  12:00:00,104.828531904,4.07631757216,0.0,0.0,43.513341876,52.539744,32.2723788462,27.4181188462,4.83426,0.02
 01/01  13:00:00,104.883219085,5.0953969652,0.0,0.0,43.513341876,52.539744,40.7347885952,27.2790548895,4.83426,8.62147370575
 01/01  14:00:00,103.76218865,3.9005408947,0.0,0.0,43.513341876,52.539744,20.4952583791,15.6409983791,4.83426,0.02
 01/01  15:00:00,101.120928411,1.2304367422,0.0,0.0,43.513341876,52.539744,8.6014605478,3.7472005478,4.83426,0.02
 01/01  16:00:00,101.278649639,1.40621341965,0.0,0.0,43.513341876,52.539744,8.13335796247,3.27909796247,4.83426,0.02
 01/01  17:00:00,110.045531413,1.40621341965,0.0,0.0,43.513341876,52.539744,17.3659836951,3.91819749993,4.83426,8.61352619515
 01/01  18:00:00,119.983246313,2.38971214099,0.0,0.0,43.513341876,52.539744,13.0521742886,8.19791428859,4.83426,0.02
 01/01  19:00:00,121.313810606,3.72476421724,0.0,0.0,43.513341876,52.539744,18.0097441348,13.1554841348,4.83426,0.02
 01/01  20:00:00,121.780306446,3.76034488894,0.0,0.0,43.513341876,52.539744,20.793640602,15.939380602,4.83426,0.02
 01/01  21:00:00,122.730236525,4.74384361028,0.0,0.0,43.513341876,52.539744,27.0013696932,22.1471096932,4.83426,0.02
 01/01  22:00:00,122.190375165,4.42787092707,0.0,0.0,43.513341876,52.539744,42.8058371955,29.3580395038,4.83426,8.61353769163
 01/01  23:00:00,122.209138292,4.74384361028,0.0,0.0,43.513341876,52.539744,40.3942610038,35.5400010038,4.83426,0.02
 01/01  24:00:00,122.848608234,4.42787092707,0.0,0.0,43.513341876,52.539744,42.1653261503,37.3110661503,4.83426,0.02
 01/02  01:00:00,122.21606434,4.74384361028,0.0,0.0,43.513341876,52.539744,48.5388798077,43.6846198077,4.83426,0.02
 01/02  02:00:00,121.905550162,4.42787092707,0.0,0.0,43.513341876,52.539744,56.360033472,42.9040325585,4.83426,8.62174091352
 01/02  03:00:00,122.231461197,4.74384361028,0.0,0.0,43.513341876,52.539744,52.922747051,48.068487051,4.83426,0.02
 01/02  04:00:00,121.922357074,4.42787092707,0.0,0.0,43.513341876,52.539744,50.2524952247,45.3982352247,4.83426,0.02
 01/02  05:00:00,122.675209683,4.74384361028,0.0,0.0,43.513341876,52.539744,62.8168607202,49.3609207682,4.83426,8.62167995198
 01/02  06:00:00,122.336551474,4.42787092707,0.0,0.0,43.513341876,52.539744,50.4929501712,45.6386901712,4.83426,0.02
 01/02  07:00:00,194.00689327,72.7953090948,0.00322004078475,0.0,43.513341876,53.238744,2123.54938194,2118.69512194,4.83426,0.02
 01/02  08:00:00,358.265955746,72.7953090948,0.0,0.0,220.879908,53.238744,1321.63912724,1290.37186244,4.83426,26.4330048005
 01/02  09:00:00,444.189738727,72.7953090948,0.00263452397748,0.0,220.879908,145.652643033,1058.41884894,986.638246194,36.25695,35.5236527452
 01/02  10:00:00,444.08588593,72.7953090948,0.00239387496431,0.0,220.879908,145.652643033,930.012027201,839.803983222,36.25695,53.9510939795
