Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,51.2058841098,5.96471227469,0.0161619516853,14.6585879328,12.925468867,10.100111941,60.8646194814,60.8446194814,0.0,0.02
 01/01  02:00:00,55.2971042697,6.13783764051,0.0100629815606,18.5839869124,12.925468867,10.100111941,76.5693789019,70.8089822972,0.0,5.76039660474
 01/01  03:00:00,52.7529310548,6.23866393671,0.00118489557977,20.5669009895,8.34152022915,10.0650221343,76.7898545235,71.0295626007,0.0,5.76029192281
 01/01  04:00:00,53.2078069565,6.26500603283,0.0,20.9966217977,8.34152022915,10.0650221343,68.1790529589,68.1590529589,0.0,0.02
 01/01  05:00:00,55.1244394277,6.28213616734,0.0,21.2894137483,8.34152022915,11.6705166398,71.4410826844,65.674180093,0.0,5.76690259138
 01/01  06:00:00,59.5934739161,6.29872850538,0.0,21.583454598,8.80141237637,15.3678112995,68.7940647197,63.0205415937,0.0,5.77352312602
 01/01  07:00:00,77.539742406,6.1934837934,0.0,19.6581784145,18.5082010057,25.6353820695,72.7308986893,61.1789777227,0.0,11.5519209666
 01/01  08:00:00,83.4495505178,5.95023844815,0.0214821087482,14.9865064228,19.4926561212,41.1001056674,69.0323942887,57.413340429,0.0,11.6190538597
 01/01  09:00:00,99.5841105478,5.73583310882,1.01103334998,8.47218314785,26.3286599382,57.9988325916,86.819421382,45.3174643687,0.0,41.5019570134
 01/01  10:00:00,86.3456188014,5.75305097825,2.60979420299,8.89159367897,26.2443270014,42.8153538416,90.0570204589,42.5608110152,18.025,29.4712094437
 01/01  11:00:00,64.3528543924,5.80903522348,2.22994340647,11.0975910028,21.7447113004,23.4437158914,90.4173229653,43.0160124408,18.025,29.3763105245
 01/01  12:00:00,60.8836794275,5.78271045098,2.51144952781,9.77545730024,19.3449162599,23.4437158914,82.7105409526,41.2368962166,18.025,23.448644736
 01/01  13:00:00,59.6879087095,5.74629017777,2.5295846101,8.4559924903,19.190480192,23.7425572507,81.4542278809,40.0426078356,18.025,23.3866200453
 01/01  14:00:00,58.9262915894,5.69757641953,2.30313692914,7.94341309637,19.260583323,23.698576057,79.6641585608,38.2576008044,18.025,23.3815577563
 01/01  15:00:00,60.1028682855,5.72933185289,1.86910039463,9.52227308338,19.260583323,23.698576057,75.532310878,39.9562966281,18.025,17.5510142499
 01/01  16:00:00,59.205968473,5.70431711515,1.92309506309,8.88634587328,19.260583323,23.4086260847,82.1045293167,40.683574165,18.025,23.3959551517
 01/01  17:00:00,66.8452617998,5.71676981038,1.10298181658,9.11396756719,19.260583323,27.8781056672,63.407630605,39.6159557074,18.025,5.76667489757
 01/01  18:00:00,78.1606653387,5.71112215222,0.0754835644742,9.07194583433,18.1807569449,37.5792895564,46.7546175584,40.9813451461,0.0,5.77327241227
 01/01  19:00:00,89.4662063631,5.60714892416,0.345848988304,6.31741977349,32.6059821062,37.0465235296,53.8232319028,43.4739866042,0.0,10.3492452987
 01/01  20:00:00,87.8402870327,5.55932578655,0.873058527787,3.98083788593,36.8143715336,33.066984531,48.5426562455,41.5580961825,0.0,6.98456006297
 01/01  21:00:00,92.7523709318,5.56362747787,1.20004615072,3.20212732849,36.43363367,38.8072253906,53.9873078073,42.4223994989,0.0,11.5649083084
 01/01  22:00:00,90.283443723,5.56475060916,1.27829810044,3.01053848146,36.0963922311,36.7877557581,54.4278130345,42.8626178825,0.0,11.565195152
 01/01  23:00:00,69.6958608006,5.53964513368,0.521835905305,4.52426178576,30.9507766546,20.6087787026,55.4698170806,43.8505598863,0.0,11.6192571943
 01/01  24:00:00,51.2501918285,5.69909537265,0.0320409278132,8.84386702468,17.4250845679,11.7056064465,57.5813899423,46.0283301277,0.0,11.5530598146
 01/02  01:00:00,45.085405827,5.76201089806,0.0250037665193,10.0512736754,11.6412384099,10.0650221343,46.2690753431,46.2490753431,0.0,0.02
 01/02  02:00:00,43.5918628941,5.76689817791,0.023790647914,10.114854196,10.0992000411,10.047477231,51.1677331752,45.4072657948,0.0,5.76046738042
 01/02  03:00:00,41.6051595217,5.76563568716,0.0190949405946,9.99366398197,8.25718729233,10.0299323277,48.5725885027,42.8120934587,0.0,5.76049504401
 01/02  04:00:00,40.9242063916,5.73819279122,0.0166517630016,9.34259928215,8.25718729233,10.0299323277,44.107691267,38.9248809688,0.0,5.18281029818
 01/02  05:00:00,42.2510196681,5.72710848679,0.0143308319449,9.07610928668,8.25718729233,11.6354268332,38.1212360301,37.5239902712,0.0,0.597245758829
 01/02  06:00:00,49.8753593925,5.730235273,0.00901885305162,9.12266061127,12.1011305571,15.3678112995,48.5421213432,36.989771024,0.0,11.5523503192
 01/02  07:00:00,74.6926500347,5.51204825931,0.246352613361,4.39201758567,19.7275818095,37.2640762949,47.0746299231,35.4563370404,0.0,11.6182928827
 01/02  08:00:00,86.3237704614,5.54626901119,1.6416572743,1.64108262652,24.3117294858,51.2795993405,55.2835573356,31.9581616617,0.0,23.3253956739
 01/02  09:00:00,73.9651995877,5.48163273894,0.73405758185,3.41433468146,23.6694662846,40.6342015617,54.4746836198,24.9953847186,0.0,29.4792989013
 01/02  10:00:00,71.9177577841,5.54659969173,2.8259496661,4.21765949368,23.6694662846,35.6302164847,75.3274885272,27.9308319255,18.025,29.3716566016
 01/02  11:00:00,55.584191162,5.60054279951,2.8480609268,5.40493587241,18.7433767983,22.9618409725,71.5176356071,30.039740283,18.025,23.4528953241
 01/02  12:00:00,55.9934679559,5.60679659235,2.55829162883,6.10015572594,18.7433767983,22.9618409725,73.2478497689,31.8256117752,18.025,23.3972379937
 01/02  13:00:00,55.8116388935,5.62577112764,2.6073731413,5.80682275608,18.5889407304,23.1597249699,71.0578710895,29.6422279973,18.025,23.3906430921
 01/02  14:00:00,56.114798358,5.65154660295,2.83678278253,5.60829397159,18.7433767983,23.2517909448,70.0707189663,28.6584180596,18.025,23.3873009066
 01/02  15:00:00,56.1712807633,5.64502891778,2.68318412082,5.82489041752,18.7433767983,23.2517909448,64.9490116264,29.3816328661,18.025,17.5423787602
 01/02  16:00:00,55.6390278777,5.61893526113,2.45648464216,5.83538553591,18.7433767983,22.9618409725,73.6132520463,32.190110127,18.025,23.3981419193
 01/02  17:00:00,63.0625072894,5.60139563416,1.34988605215,6.16367432144,18.7433767983,27.431320555,57.4629871682,33.6713629884,18.025,5.76662417985
 01/02  18:00:00,76.5642296053,5.56121416543,0.519200074326,4.5798292691,17.6635504202,40.6971502883,45.7918203028,35.4567446881,0.0,10.3350756147
 01/02  19:00:00,82.5429778843,5.55630148864,0.751145341023,3.82626502464,27.5259009287,37.3340067412,52.773367554,39.9574942781,0.0,12.8158732759
 01/02  20:00:00,84.8562902671,5.56516260857,0.965661136199,3.59117383669,33.8341110165,33.3544677425,53.6052627272,42.0417386714,0.0,11.5635240558
 01/02  21:00:00,92.8991515144,5.59431938665,1.47848265875,2.9378975377,36.5179666069,38.8247702939,51.6765925758,45.8838728389,0.0,5.79271973691
 01/02  22:00:00,87.3483305319,5.59705415818,1.56158147395,2.8158437995,32.965339924,36.8579353714,65.0458666305,47.6264439075,0.0,17.419422723
 01/02  23:00:00,65.2269271196,5.583391861,0.57769761421,5.23946800679,25.6355707503,20.6438685092,60.85276076,49.2733299275,0.0,11.5794308325
 01/02  24:00:00,49.9266132695,5.74557257587,0.0545393438365,9.85353304987,15.0252895274,11.7056064465,58.1981257889,52.4246585281,0.0,5.77346726084
 01/03  01:00:00,46.8923886495,5.84001363304,0.0269050510641,11.7783485414,11.6412384099,10.0650221343,58.8653351204,53.0983877424,0.0,5.76694737798
 01/03  02:00:00,46.3607547254,5.88911416706,0.0206277368411,12.7646918292,10.0992000411,10.047477231,53.1890877696,53.1690877696,0.0,0.02
 01/03  03:00:00,45.6375600256,5.94307057758,0.0140528873137,13.8536699036,8.25718729233,10.0299323277,59.6450615237,53.8847337311,0.0,5.76032779261
 01/03  04:00:00,46.5769168956,5.98682186236,0.00845863920131,14.7548702623,8.25718729233,10.0299323277,60.39431839,54.6339622304,0.0,5.76035615964
 01/03  05:00:00,48.9139914412,6.02085924006,0.00377171280954,15.4558859578,8.25718729233,11.6354268332,60.8120744538,55.0459654439,0.0,5.76610900988
 01/03  06:00:00,56.3700963048,6.01227217426,0.00291496543383,15.3414609569,12.1011305571,15.3678112995,59.9310808625,54.1442546009,0.0,5.78682626161
 01/03  07:00:00,81.1637023429,5.77506890709,0.0990134009971,10.7473770953,19.7275818095,37.2640762949,71.6250878121,54.2056279418,0.0,17.4194598703
 01/03  08:00:00,91.494284455,5.69518229339,0.837596981011,7.46673302224,24.3117294858,51.2795993405,69.5075012379,52.0073827712,0.0,17.5001184667
 01/03  09:00:00,80.9687842033,5.77897681632,0.293699177549,10.5609253208,23.6694662846,40.6342015617,71.7784239907,42.2969977748,0.0,29.481426216
 01/03  10:00:00,76.9745716027,5.76984547235,2.30263041459,9.57454219614,23.6694662846,35.6302164847,86.5831238942,39.184298671,18.025,29.3738252231
 01/03  11:00:00,60.2622985762,5.7998905255,2.33385731867,10.3978933777,18.7433767983,22.9618409725,79.7401191367,38.2619263581,18.025,23.4531927786
 01/03  12:00:00,59.5695499073,5.78916299638,2.60297700028,9.44918210796,18.7433767983,22.9618409725,79.1519027171,37.731418705,18.025,23.395484012
 01/03  13:00:00,58.5392726855,5.76503209731,2.60196087933,8.40060668799,18.5889407304,23.1597249699,77.0760720623,35.6607563991,18.025,23.3903156632
 01/03  14:00:00,58.2125141117,5.74748482297,2.65699414804,7.78985756375,18.7433767983,23.2517909448,76.2260123867,34.8132051747,18.025,23.387807212
 01/03  15:00:00,57.7548840877,5.72439359689,2.58251709129,7.42979476162,18.7433767983,23.2517909448,76.072637718,34.6621396346,18.025,23.3854980834
 01/03  16:00:00,56.9703877734,5.68929837744,2.4157240449,7.1371359333,18.7433767983,22.9618409725,77.7069048354,36.2987224047,18.025,23.3831824307
 01/03  17:00:00,64.5267942202,5.67419935822,1.27944445657,7.62559765576,18.7433767983,27.431320555,55.2742093512,37.2292093512,18.025,0.02
 01/03  18:00:00,78.579573601,5.64450056558,0.492061741615,6.53902033879,17.6635504202,40.6971502883,52.0301530775,40.4902422545,0.0,11.5399108231
 01/03  19:00:00,84.7873743429,5.6391175354,0.662988937112,6.07599589734,27.5259009287,37.3340067412,58.8531679329,47.247009363,0.0,11.6061585699
 01/03  20:00:00,86.9812235315,5.63671293323,0.843640256878,5.7665707151,33.8341110165,33.3544677425,60.8972541902,49.3316832892,0.0,11.565570901
 01/03  21:00:00,94.6797170144,5.6442060454,1.27913766796,4.86791325381,36.5179666069,38.8247702939,57.3314994666,51.5397346596,0.0,5.79176480698
 01/03  22:00:00,89.4295182759,5.65601495495,1.3561401581,5.04350558196,32.965339924,36.8579353714,71.2372792719,53.8188322987,0.0,17.4184469732
 01/03  23:00:00,69.8042769156,5.76266056672,0.411917449339,9.80332139918,25.6355707503,20.6438685092,69.275804682,57.6964237095,0.0,11.5793809725
 01/03  24:00:00,55.0586957863,5.9616782661,0.0277758514464,14.7962697864,15.0252895274,11.7056064465,66.3189678656,60.5452878973,0.0,5.77367996826
 01/04  01:00:00,53.5217817422,6.12068296438,0.0146443513054,18.1393290966,11.6412384099,10.0650221343,70.4353098223,64.6682701493,0.0,5.76703967297
 01/04  02:00:00,54.499459124,6.23716638347,0.0064989088422,20.5694692189,10.0992000411,10.047477231,69.2017173908,67.3944353864,0.0,1.8072820044
 01/04  03:00:00,55.1440056047,6.35366695815,0.000247902459055,22.9633241467,8.25718729233,10.0299323277,73.5895574006,69.6173932437,0.0,3.97216415691
 01/04  04:00:00,57.7277856021,6.47185682713,0.0,25.4291593164,8.25718729233,10.0299323277,78.2917581219,72.5315157161,0.0,5.76024240582
 01/04  05:00:00,60.9573446821,6.54603403531,0.0,26.9778318122,8.25718729233,11.6354268332,79.7567075754,73.9900246774,0.0,5.76668289798
 01/04  06:00:00,68.734550035,6.55057292546,0.0,27.1705254202,12.1011305571,15.3678112995,78.9751581209,73.1882640963,0.0,5.78689402457
 01/04  07:00:00,91.6317345501,6.20725879314,0.0110770402795,20.8711449525,19.7275818095,37.2640762949,89.3278895568,71.9099961774,0.0,17.4178933794
 01/04  08:00:00,100.299375937,6.00758826166,0.246079065034,16.5509261118,24.3117294858,51.2795993405,86.4652732837,68.964113307,0.0,17.5011599768
 01/04  09:00:00,90.284070406,6.15349034636,0.0561387210333,19.7392487669,23.6694662846,40.6342015617,86.0487636051,56.5651218391,0.0,29.483641766
 01/04  10:00:00,85.1948068624,6.09910882872,1.52197866747,18.2461623913,23.6694662846,35.6302164847,99.8569367041,52.4574677853,18.025,29.3744689188
 01/04  11:00:00,68.245996381,6.13403578943,1.73183847603,18.6494589104,18.7433767983,22.9618409725,91.7911477868,50.3125526959,18.025,23.453595091
 01/04  12:00:00,66.1209211528,6.05258102913,1.98309746338,16.3570128467,18.7433767983,22.9618409725,89.136905443,47.713494587,18.025,23.3984108559
 01/04  13:00:00,63.6636506307,5.9614170794,2.04904917959,13.8815070585,18.5889407304,23.1597249699,85.0293564815,43.6084434302,18.025,23.3959130513
 01/04  14:00:00,62.2227757947,5.89277430598,2.18997274816,12.1218494613,18.7433767983,23.2517909448,83.3082277898,41.8895558795,18.025,23.3936719103
 01/04  15:00:00,61.2389434406,5.84808142451,2.15406506773,11.2186170389,18.7433767983,23.2517909448,82.913751693,41.4972922839,18.025,23.3914594091
 01/04  16:00:00,60.5855229972,5.82351154275,1.98113085528,11.052649986,18.7433767983,22.9618409725,84.5235226045,43.1092734409,18.025,23.3892491636
 01/04  17:00:00,66.8679078595,5.84780462683,0.9001449678,12.0563928577,18.7433767983,27.431320555,69.0065950869,45.2147671251,18.025,5.76682796185
 01/04  18:00:00,82.488317722,5.78256119945,0.219937806001,10.5818202262,17.6635504202,40.6971502883,54.2674455053,48.4873557165,0.0,5.78008978884
 01/04  19:00:00,89.0632267343,5.78525183672,0.385176572719,10.4835132807,27.5259009287,37.3340067412,68.0811822666,56.4754051532,0.0,11.6057771134
 01/04  20:00:00,92.0434699148,5.81128250156,0.524779322749,10.9730992553,33.8341110165,33.3544677425,72.2924735505,60.7259721979,0.0,11.5665013526
 01/04  21:00:00,99.6314569279,5.80061274582,0.920851923419,10.0215279182,36.5179666069,38.8247702939,76.6215212706,65.0557126332,0.0,11.5658086374
 01/04  22:00:00,95.0421055042,5.83575981709,0.938558972525,10.8939204084,32.965339924,36.8579353714,79.8626248031,68.2429585987,0.0,11.6196662044
