Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,41.9899407332,5.92048681368,5.50302710206,0.0,12.925468867,10.100111941,6.41704774861,6.39704774861,0.0,0.02
 01/01  02:00:00,41.0371421046,5.84226571338,4.62965746196,0.0,12.925468867,10.100111941,13.470580142,7.71016598326,0.0,5.7604141587
 01/01  03:00:00,35.509228016,5.75186889951,3.811176442,0.0,8.34152022915,10.0650221343,13.6109210627,7.85061569256,0.0,5.76030537012
 01/01  04:00:00,34.5637799266,5.66004338185,2.95755644337,0.0,8.34152022915,10.0650221343,10.949951504,10.929951504,0.0,0.02
 01/01  05:00:00,35.6781351905,5.61030401963,2.51494092598,0.0,8.34152022915,11.6705166398,19.6239383426,13.8570232522,0.0,5.76691509037
 01/01  06:00:00,39.6613005342,5.59131983586,2.35868938585,0.0,8.80141237637,15.3678112995,19.7495940796,13.976059602,0.0,5.77353447762
 01/01  07:00:00,60.4651048484,5.68448518697,3.09253918229,0.0,18.5082010057,25.6353820695,24.8125894191,13.2603908863,0.0,11.5521985329
 01/01  08:00:00,73.6799719523,5.95563615565,5.23301210365,0.0,19.4926561212,41.1001056674,23.593660819,11.9745879682,0.0,11.6190728508
 01/01  09:00:00,100.29129739,6.35755492214,9.56868105692,0.0,26.3286599382,57.9988325916,49.4612789066,7.95858013992,0.0,41.5026987667
 01/01  10:00:00,85.097092246,6.09822611983,9.90768660328,0.0,26.2443270014,42.8153538416,54.206333418,6.71009564121,18.025,29.4712377768
 01/01  11:00:00,58.2596248629,5.73100411469,7.31233597535,0.0,21.7447113004,23.4437158914,54.7779223593,7.37657474994,18.025,29.3763476094
 01/01  12:00:00,55.1277561842,5.650722708,6.66297132573,0.0,19.3449162599,23.4437158914,48.5575030937,7.08382846098,18.025,23.4486746327
 01/01  13:00:00,55.9677628298,5.70435641729,7.30736500134,0.0,19.190480192,23.7425572507,45.6742736476,4.26262385106,18.025,23.3866497966
 01/01  14:00:00,57.5987092536,5.85782240109,8.7587217878,0.0,19.260583323,23.698576057,41.4827898886,0.072630911622,18.025,23.385158977
 01/01  15:00:00,58.539199575,5.94477770302,9.61225879779,0.0,19.260583323,23.698576057,35.575704928,0.0,18.025,17.550704928
 01/01  16:00:00,57.9870572588,5.91331076882,9.38153617539,0.0,19.260583323,23.4086260847,41.5634044503,0.142430330336,18.025,23.3959741199
 01/01  17:00:00,64.6901700869,5.85311675735,7.92551053896,0.0,19.260583323,27.8781056672,24.852005057,1.06032214034,18.025,5.76668291666
 01/01  18:00:00,76.3226301704,6.00224917124,7.0182670793,0.0,18.1807569449,37.5792895564,7.3835311972,1.61122362698,0.0,5.77230757022
 01/01  19:00:00,92.5044225146,6.30693148571,9.00170231919,0.0,32.6059821062,37.0465235296,14.8345465974,3.29513410714,0.0,11.5394124903
 01/01  20:00:00,94.3036459244,6.49930118706,10.3772798355,0.0,36.8143715336,33.066984531,9.70095290222,3.90840993692,0.0,5.7925429653
 01/01  21:00:00,101.51977634,6.73193874866,12.0012675423,0.0,36.43363367,38.8072253906,16.4080605479,4.84313245712,0.0,11.5649280908
 01/01  22:00:00,99.2438743787,6.75591985281,12.0580979977,0.0,36.0963922311,36.7877557581,16.6184638436,5.05324995488,0.0,11.5652138887
