Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.2845079937,5.40709018021,0.773257660563,0.537733322881,12.925468867,10.100111941,27.9033261691,27.8833261691,0.0,0.02
 01/01  02:00:00,37.2673226564,5.38862353441,0.57231811871,0.741162068315,12.925468867,10.100111941,34.7671372002,29.0067229962,0.0,5.76041420404
 01/01  03:00:00,32.5126405952,5.36266430782,0.336719115216,0.86707449398,8.34152022915,10.0650221343,33.9011754967,28.1408700918,0.0,5.76030540484
 01/01  04:00:00,32.5221743105,5.35531191412,0.24330183208,0.97738049308,8.34152022915,10.0650221343,27.7080187231,27.6880187231,0.0,0.02
 01/01  05:00:00,34.3044805822,5.35866790757,0.183537641055,1.20938477238,8.34152022915,11.6705166398,33.6790836256,27.9121684658,0.0,5.76691515986
 01/01  06:00:00,38.8394775336,5.37351002151,0.148649838648,1.60602635027,8.80141237637,15.3678112995,34.328810878,28.5552763557,0.0,5.77353452225
 01/01  07:00:00,58.5778254434,5.39096857279,0.539059787255,0.959716597698,18.5082010057,25.6353820695,38.9272935039,27.3750959292,0.0,11.5521975747
 01/01  08:00:00,70.496871064,5.54936572126,1.92625898445,0.529922662247,19.4926561212,41.1001056674,37.9452058572,26.3261329957,0.0,11.6190728614
 01/01  09:00:00,94.431005595,5.74737788021,4.16667919231,0.151887090661,26.3286599382,57.9988325916,62.57301688,21.0716602064,0.0,41.5013566736
 01/01  10:00:00,80.0166885827,5.59402951814,5.09575488981,0.235724670033,26.2443270014,42.8153538416,66.7657192636,19.2694790919,18.025,29.4712401718
