Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.4988485278,5.63490527848,2.29739890718,0.0,12.925468867,10.100111941,11.228688537,11.208688537,0.0,0.02
 01/01  02:00:00,38.1611491276,5.60216812477,1.99367562067,0.0,12.925468867,10.100111941,18.1259553118,12.3642444863,0.0,5.76171082545
 01/01  03:00:00,32.984333255,5.53894079222,1.49912289809,0.0,8.34152022915,10.0650221343,20.9735295401,15.2118802618,0.0,5.76164927839
 01/01  04:00:00,32.7039524158,5.50725724284,1.25042637274,0.0,8.34152022915,10.0650221343,23.5366067328,17.7750283603,0.0,5.76157837246
 01/01  05:00:00,34.0478313816,5.47492185048,1.019903839,0.0,8.34152022915,11.6705166398,26.6231871879,20.8551106043,0.0,5.7680765836
 01/01  06:00:00,38.0210316848,5.45157189939,0.85802408936,0.0,8.80141237637,15.3678112995,28.4940217402,22.7183941941,0.0,5.77562754608
 01/01  07:00:00,58.6084907878,5.5257944434,1.39441697398,0.0,18.5082010057,25.6353820695,28.4349028695,22.6469670393,0.0,5.78793583012
 01/01  08:00:00,76.5620416337,5.70762835587,2.710740055,0.0,19.4926561212,41.1001056674,38.8317265994,21.3963083067,0.0,17.4354182927
 01/01  09:00:00,95.588336634,5.94492387476,5.27789488294,0.0,26.3286599382,57.9988325916,57.5529388358,15.9529230643,0.0,41.6000157715
 01/01  10:00:00,80.8322818573,5.75345108522,5.98733896919,0.0,26.2443270014,42.8153538416,63.0734703116,15.5167551656,18.025,29.531715146
 01/01  11:00:00,55.2021947431,5.52356861803,4.46211369128,0.0,21.7447113004,23.4437158914,63.3440734486,15.8945245436,18.025,29.424548905
 01/01  12:00:00,52.6383379126,5.50759832046,4.31650762594,0.0,19.3449162599,23.4437158914,62.122408415,14.7500155847,18.025,29.3473928303
 01/01  13:00:00,52.6737308634,5.51864623554,4.19451690384,0.00441615123252,19.190480192,23.7425572507,55.8834160333,14.4406341844,18.025,23.4177818489
 01/01  14:00:00,53.3920944651,5.6074605774,4.80236069169,0.0,19.260583323,23.698576057,52.2494432926,10.8076691282,18.025,23.4167741644
 01/01  15:00:00,52.6391776509,5.52152754996,4.13537673148,0.0,19.260583323,23.698576057,53.0905248051,11.6495732027,18.025,23.4159516024
 01/01  16:00:00,52.2387672222,5.50576404599,4.04067941278,0.0,19.260583323,23.4086260847,54.5167229853,13.0740814801,18.025,23.4176415052
 01/01  17:00:00,56.2290814541,5.54021246375,3.54520560566,0.0,19.260583323,27.8781056672,36.2908359011,12.4971034281,18.025,5.76873247294
 01/01  18:00:00,69.2923271707,5.60914276061,2.26492353142,0.0,18.1807569449,37.5792895564,18.7501444963,12.9745210693,0.0,5.77562342696
 01/01  19:00:00,86.1720088018,5.73648543076,3.23956036774,0.0,32.6059821062,37.0465235296,21.5112956598,15.7284401521,0.0,5.78285550768
 01/01  20:00:00,87.314589755,5.85237044311,4.0349222569,0.0,36.8143715336,33.066984531,28.0103708242,16.4362498684,0.0,11.5741209558
 01/01  21:00:00,94.0649812209,6.03459262042,5.24359053907,0.0,36.43363367,38.8072253906,28.9477870592,17.3753810827,0.0,11.5724059765
 01/01  22:00:00,92.1840911453,6.09412638005,5.65987480171,0.0,36.0963922311,36.7877557581,27.3756163282,15.801473015,0.0,11.5741433132
 01/01  23:00:00,68.8612791931,5.8402861126,3.9105263988,0.0,30.9507766546,20.6087787026,31.6252410953,14.187946687,0.0,17.4372944083
 01/01  24:00:00,45.0169556999,5.66581734463,2.67575170753,0.0,17.4250845679,11.7056064465,18.00975711,12.2195969618,0.0,5.79016014824
 01/02  01:00:00,36.9544065031,5.6086706681,2.09850181563,0.0,11.6412384099,10.0650221343,17.0751303206,11.3061553915,0.0,5.76897492914
 01/02  02:00:00,35.1132418706,5.57910306231,1.847730341,0.0,10.0992000411,10.047477231,16.6183142012,10.8563439748,0.0,5.76197022634
 01/02  03:00:00,33.1438725096,5.56493691443,1.75208521156,0.0,8.25718729233,10.0299323277,15.9320525306,10.1701325619,0.0,5.76191996875
 01/02  04:00:00,33.0309235811,5.55126381205,1.65281170945,0.0,8.25718729233,10.0299323277,10.0660748368,10.0460748368,0.0,0.02
 01/02  05:00:00,34.5620557115,5.54220244271,1.58626577265,0.0,8.25718729233,11.6354268332,15.9169854882,10.1480004591,0.0,5.7689850291
 01/02  06:00:00,42.3442307619,5.56575045929,1.76483376113,0.0,12.1011305571,15.3678112995,20.9739047335,9.41346972989,0.0,11.5604350036
