Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,40.3250554745,5.45566782704,0.10161710441,4.20123076969,12.925468867,10.100111941,37.5830650585,37.5630650585,0.0,0.02
 01/01  02:00:00,41.3052925548,5.49132082038,0.0728688828129,5.17579949625,12.925468867,10.100111941,45.5516956088,39.7906409921,0.0,5.76105461672
 01/01  03:00:00,37.6905996916,5.52692138488,0.0455534596034,6.17185659109,8.34152022915,10.0650221343,46.3417109788,40.5800753302,0.0,5.76163564856
 01/01  04:00:00,38.4227478172,5.55338164696,0.0387622403173,6.88433599258,8.34152022915,10.0650221343,47.1379076998,41.3763406041,0.0,5.76156709571
 01/01  05:00:00,40.577499569,5.57302579716,0.0334615078173,7.41800724282,8.34152022915,11.6705166398,47.5960541763,41.8279884492,0.0,5.76806572712
 01/01  06:00:00,45.1748480436,5.58889204298,0.029210963436,7.84530913516,8.80141237637,15.3678112995,46.8626329752,41.0869910205,0.0,5.77564195472
 01/01  07:00:00,63.7127553818,5.53287577865,0.0381352396064,6.45346566144,18.5082010057,25.6353820695,45.2872987836,39.4991007366,0.0,5.78819804702
 01/01  08:00:00,72.0269207301,5.45335571665,0.251637619662,3.83025449138,19.4926561212,41.1001056674,54.5877088443,37.1517273247,0.0,17.4359815196
 01/01  09:00:00,93.4417158256,5.54558051361,2.0499847943,1.48063265907,26.3286599382,57.9988325916,72.2053411142,30.6053842321,0.0,41.5999568821
 01/01  10:00:00,79.6983498177,5.43215281604,2.81432524366,2.36037998346,26.2443270014,42.8153538416,76.8156851171,29.2590124796,18.025,29.5316726375
 01/01  11:00:00,58.542056384,5.49218203499,2.56429297201,5.26906892407,21.7447113004,23.4437158914,76.386624621,28.9371160272,18.025,29.4245085938
 01/01  12:00:00,56.2752640966,5.49527002745,2.63335315628,5.33240894309,19.3449162599,23.4437158914,74.5873501079,27.2149981844,18.025,29.3473519235
 01/01  13:00:00,56.1234750364,5.49123299501,2.48497188586,5.19111857258,19.190480192,23.7425572507,68.4365134011,26.9937644557,18.025,23.4177489454
 01/01  14:00:00,55.9612600562,5.48720109551,2.44448322905,5.04730253906,19.260583323,23.698576057,66.1279168457,24.6861758047,18.025,23.416741041
 01/01  15:00:00,55.6184527766,5.47625996183,2.45681943355,4.70310001738,19.260583323,23.698576057,65.2532432371,23.812324778,18.025,23.4159184591
 01/01  16:00:00,55.3038273651,5.47615140733,2.4559728339,4.67937936733,19.260583323,23.4086260847,66.6733965402,25.2307879818,18.025,23.4176085584
 01/01  17:00:00,64.6522814786,5.47834115228,1.60518522157,4.77309171814,19.260583323,27.8781056672,49.2816139995,25.4878893676,18.025,5.76872463196
 01/01  18:00:00,72.2655759452,5.43256693867,0.172124326476,3.35862379917,18.1807569449,37.5792895564,31.6990118433,25.9233962451,0.0,5.77561559818
 01/01  19:00:00,84.3903711611,5.3959930534,0.516282039737,1.2821330876,32.6059821062,37.0465235296,35.1439518227,29.3611041964,0.0,5.78284762627
 01/01  20:00:00,84.9541918648,5.46539488197,1.16876509487,0.892734823416,36.8143715336,33.066984531,41.3002635512,29.7261582841,0.0,11.574105267
 01/01  21:00:00,91.2470387468,5.59556418118,2.24564845,0.619028040684,36.43363367,38.8072253906,42.7944637775,31.2220735521,0.0,11.5723902254
 01/01  22:00:00,88.868417167,5.60134012889,2.25160809715,0.585378966776,36.0963922311,36.7877557581,43.6168216353,32.0426937739,0.0,11.5741278615
 01/01  23:00:00,66.3305961419,5.42044587231,0.755402876222,1.04428074519,30.9507766546,20.6087787026,50.6077131361,33.1704422008,0.0,17.4372709353
 01/01  24:00:00,44.5191474007,5.38772217484,0.146157384291,2.30988118321,17.4250845679,11.7056064465,40.2294561873,34.4393037207,0.0,5.7901524666
 01/02  01:00:00,38.8201850586,5.4496826941,0.0987144029049,4.02455393625,11.6412384099,10.0650221343,41.4302400808,35.6612728692,0.0,5.76896721158
 01/02  02:00:00,38.3206551913,5.48652477781,0.0608778758889,5.08684406944,10.0992000411,10.047477231,42.8806690036,37.1187065324,0.0,5.76196247118
 01/02  03:00:00,37.2693498867,5.51558133368,0.0454111870999,5.88150699543,8.25718729233,10.0299323277,44.0305943741,38.2686821424,0.0,5.76191223166
 01/02  04:00:00,37.9351014667,5.54089112451,0.0387070158763,6.52865530276,8.25718729233,10.0299323277,39.5370414119,39.5170414119,0.0,0.02
 01/02  05:00:00,40.1100126396,5.56179459584,0.033034889708,7.08159563397,8.25718729233,11.6354268332,46.3497185799,40.5807411924,0.0,5.76897738749
 01/02  06:00:00,47.631870009,5.55816997465,0.0318702055613,7.02818325762,12.1011305571,15.3678112995,51.6171518921,40.0567321374,0.0,11.5604197547
 01/02  07:00:00,73.5816194643,5.43786064539,0.284060524031,3.31711822846,19.7275818095,37.2640762949,56.922731428,39.4856588465,0.0,17.4370725816
 01/02  08:00:00,86.0511806844,5.51928218073,1.50795798453,1.52872114911,24.3117294858,51.2795993405,55.5096182382,37.9858555345,0.0,17.5237627037
 01/02  09:00:00,74.9862612658,5.47308488423,0.35521918245,4.8224677303,23.6694662846,40.6342015617,68.3627339468,32.9222120869,0.0,35.4405218599
 01/02  10:00:00,72.9747824916,5.51448694654,2.14206911959,5.9904516497,23.6694662846,35.6302164847,80.4891567868,33.045754467,18.025,29.4184023199
 01/02  11:00:00,57.6516999062,5.5934596676,2.30486782621,8.02255128235,18.7433767983,22.9618409725,74.5796128806,33.0695875305,18.025,23.4850253501
 01/02  12:00:00,58.1622376246,5.61255498923,2.34210303185,8.47924408,18.7433767983,22.9618409725,74.4276343872,32.9768608034,18.025,23.4257735838
 01/02  13:00:00,58.2186600527,5.6204615106,2.1567436065,8.66966906589,18.5889407304,23.1597249699,73.4331814886,31.9808828833,18.025,23.4272986052
 01/02  14:00:00,58.5804968905,5.62624365803,2.10360196345,8.83236494681,18.7433767983,23.2517909448,78.9649960769,31.6694093829,18.025,29.270586694
 01/02  15:00:00,58.9282295975,5.6394839497,2.10832482722,9.16213678105,18.7433767983,23.2517909448,73.4876298995,32.0514872064,18.025,23.4111426931
 01/02  16:00:00,59.0787714321,5.65629818858,2.08918726544,9.60495191909,18.7433767983,22.9618409725,76.0398424568,34.6018530747,18.025,23.4129893821
 01/02  17:00:00,68.4673364749,5.66167580777,1.23962450243,9.73436510726,18.7433767983,27.431320555,59.1462674973,35.3526657458,18.025,5.76860175154
 01/02  18:00:00,79.1683603141,5.5772879661,0.0872671601527,7.59964557089,17.6635504202,40.6971502883,42.446019429,36.6630824912,0.0,5.78293693782
 01/02  19:00:00,84.2019414458,5.52672991786,0.150778851466,6.11484680641,27.5259009287,37.3340067412,58.1656211967,40.7519394247,0.0,17.413681772
 01/02  20:00:00,85.4163465252,5.48791140056,0.219815288552,4.97409435141,33.8341110165,33.3544677425,47.0997773925,41.3025280178,0.0,5.79724937469
 01/02  21:00:00,92.16176125,5.47311482774,0.72059739545,3.07936717061,36.5179666069,38.8247702939,55.0914436295,43.5182228891,0.0,11.5732207405
 01/02  22:00:00,86.4349706745,5.48573214712,0.9794318934,2.59560968047,32.965339924,36.8579353714,62.7700889665,45.3342929632,0.0,17.4357960033
 01/02  23:00:00,65.8523793617,5.52713805432,0.149503639897,6.34910865554,25.6355707503,20.6438685092,59.7115526079,48.122877341,0.0,11.588675267
 01/02  24:00:00,49.9262772573,5.65821805491,0.0460252887548,9.94892199952,15.0252895274,11.7056064465,56.7783119065,51.002190253,0.0,5.77612165346
 01/03  01:00:00,47.1276353433,5.73960153183,0.0353624487785,12.1054340456,11.6412384099,10.0650221343,59.5041047835,53.735069517,0.0,5.76903526655
 01/03  02:00:00,47.2809499528,5.80137301612,0.0267303579571,13.7664356313,10.0992000411,10.047477231,62.0519477677,56.2901997185,0.0,5.76174804917
 01/03  03:00:00,47.1197967868,5.86311761816,0.0181468094944,15.4116809597,8.25718729233,10.0299323277,64.4414150672,58.6797082009,0.0,5.7617068663
 01/03  04:00:00,48.5519870966,5.91327781497,0.0111839566963,16.8006743236,8.25718729233,10.0299323277,60.93233262,60.91233262,0.0,0.02
 01/03  05:00:00,51.4899717451,5.96017623403,0.00491551740161,18.0912892546,8.25718729233,11.6354268332,68.8365477611,63.0675717633,0.0,5.76897599783
 01/03  06:00:00,59.6917074694,5.97866158958,0.00234315368975,18.6970511891,12.1011305571,15.3678112995,75.3515272282,63.7913470983,0.0,11.5601801299
 01/03  07:00:00,84.6962360397,5.79365207834,0.0332205308001,14.3267743226,19.7275818095,37.2640762949,80.0395470787,64.2833116978,0.0,15.7562353808
 01/03  08:00:00,94.3306153965,5.66521090614,0.126242374252,11.0439287396,24.3117294858,51.2795993405,81.9199040135,62.7056293314,0.0,19.2142746821
 01/03  09:00:00,83.699996212,5.75855647426,0.0961140514453,13.5098282693,23.6694662846,40.6342015617,85.355727598,49.9135339888,0.0,35.4421936092
 01/03  10:00:00,78.8242014045,5.70858445451,1.70574714608,12.0820880256,23.6694662846,35.6302164847,91.9418836147,44.4910189789,18.025,29.4258646357
 01/03  11:00:00,61.7779604831,5.72576800681,1.96160518074,12.3597616218,18.7433767983,22.9618409725,82.7698549022,41.2575885469,18.025,23.4872663554
 01/03  12:00:00,62.77624486,5.77243055814,2.03768407231,13.2377917432,18.7433767983,22.9618409725,82.3266371134,40.8757262242,18.025,23.4259108892
 01/03  13:00:00,61.7237560702,5.74171608106,1.91362957821,12.2966226472,18.5889407304,23.1597249699,79.1946511916,37.7433274376,18.025,23.4263237539
 01/03  14:00:00,60.7171388409,5.69782628236,1.96325763964,11.0377643013,18.7433767983,23.2517909448,76.4248432217,34.9716393781,18.025,23.4282038435
 01/03  15:00:00,60.0251888727,5.67353206748,2.00316455039,10.3302033458,18.7433767983,23.2517909448,81.1678162256,33.8737203692,18.025,29.2690958563
 01/03  16:00:00,59.5836486182,5.66892081624,1.99049067652,10.1959002304,18.7433767983,22.9618409725,77.6767379007,36.2394365455,18.025,23.4123013552
 01/03  17:00:00,69.5755981233,5.69820856729,1.08330506961,10.9624128402,18.7433767983,27.431320555,63.1327132968,39.3390287279,18.025,5.76868456896
 01/03  18:00:00,81.9703145356,5.6633958621,0.0532541645457,10.3495013256,17.6635504202,40.6971502883,52.1796272441,46.3964697964,0.0,5.78315744768
 01/03  19:00:00,87.6632449893,5.62677448526,0.0441963173587,9.58268122141,27.5259009287,37.3340067412,65.1695337849,53.5520230042,0.0,11.6175107807
 01/03  20:00:00,89.7053610778,5.60826218118,0.0537287700338,9.30883849466,33.8341110165,33.3544677425,68.3079064244,56.7333067901,0.0,11.5745996342
 01/03  21:00:00,96.1040278452,5.5678764547,0.395769799906,7.25169319879,36.5179666069,38.8247702939,68.5975327997,57.0246123313,0.0,11.5729204684
 01/03  22:00:00,90.0726678395,5.56297486438,0.570316928528,6.5651683148,32.965339924,36.8579353714,73.1754210969,55.7400118518,0.0,17.4354092451
 01/03  23:00:00,70.0903402824,5.65603225112,0.0523800400091,10.5552925439,25.6355707503,20.6438685092,68.2641928834,56.6756875589,0.0,11.5885053244
 01/03  24:00:00,54.6023616991,5.81082645079,0.030094866212,14.4883246401,15.0252895274,11.7056064465,63.5423464539,57.766762622,0.0,5.77558383191
 01/04  01:00:00,51.5530607324,5.88461032046,0.020850870028,16.400359234,11.6412384099,10.0650221343,64.5858176107,58.8169160386,0.0,5.76890157209
 01/04  02:00:00,51.1923796569,5.92974154705,0.014059826934,17.5621651021,10.0992000411,10.047477231,65.2296899349,59.4676616501,0.0,5.76202828483
 01/04  03:00:00,50.204254041,5.96311066475,0.00738626360312,18.4069037942,8.25718729233,10.0299323277,59.671348065,59.651348065,0.0,0.02
 01/04  04:00:00,50.7481908197,5.98366937578,0.00219003618342,18.9354777027,8.25718729233,10.0299323277,65.61466967,59.8526744714,0.0,5.76199519862
 01/04  05:00:00,52.7361829426,5.99832768366,0.0,19.304261574,8.25718729233,11.6354268332,65.7630356514,59.9941683353,0.0,5.76886731611
 01/04  06:00:00,59.8026477824,5.97870202024,0.0,18.8102876335,12.1011305571,15.3678112995,70.173957851,58.6135672698,0.0,11.5603905813
 01/04  07:00:00,83.6527496787,5.7549151918,0.0320293983985,13.3232080868,19.7275818095,37.2640762949,68.6317805991,56.9998236908,0.0,11.6319569083
 01/04  08:00:00,92.7005745589,5.60809812174,0.0825877952591,9.51464231554,24.3117294858,51.2795993405,76.7309641498,53.3700905146,0.0,23.3608736352
 01/04  09:00:00,83.631027917,5.76611170017,0.115240193588,13.4141701339,23.6694662846,40.6342015617,78.5322962429,43.0878306335,0.0,35.4444656094
 01/04  10:00:00,80.7197248806,5.78321212968,1.89538413294,13.7133406977,23.6694662846,35.6302164847,88.4143655033,40.9623458357,18.025,29.4270196676
 01/04  11:00:00,65.3105358952,5.86622956838,2.08344950172,15.6300265165,18.7433767983,22.9618409725,82.0048642627,40.4916531369,18.025,23.4882111259
 01/04  12:00:00,64.9511233516,5.8555434355,2.12805073034,15.2391876361,18.7433767983,22.9618409725,81.0880668543,39.6362218995,18.025,23.4268449548
 01/04  13:00:00,63.9692881316,5.82767543477,1.97294343346,14.3968781359,18.5889407304,23.1597249699,78.7255437745,37.2731627643,18.025,23.4273810102
 01/04  14:00:00,63.358745253,5.8000009456,1.96396769937,13.5764828521,18.7433767983,23.2517909448,79.4984611857,36.0878633188,18.025,25.3855978669
 01/04  15:00:00,62.9062460771,5.78575502359,1.98716433538,13.1150356154,18.7433767983,23.2517909448,81.0694664331,35.7342524691,18.025,27.3102139641
 01/04  16:00:00,62.207064072,5.7719471182,2.00516140323,12.7016156659,18.7433767983,22.9618409725,78.3045923255,36.8658652269,18.025,23.4137270986
 01/04  17:00:00,69.2884521012,5.76026308306,1.15743323738,12.4230798509,18.7433767983,27.431320555,61.2785022736,37.4845886692,18.025,5.76891360438
 01/04  18:00:00,81.7008950178,5.66136594655,0.0690338003912,10.0663269826,17.6635504202,40.6971502883,45.6187965652,39.8356077869,0.0,5.78318877822
 01/04  19:00:00,86.8381476368,5.60467403893,0.0473241745907,8.77654691409,27.5259009287,37.3340067412,62.9041725478,45.488145054,0.0,17.4160274939
 01/04  20:00:00,89.2709766509,5.59738525645,0.0548351872068,8.88421838667,33.8341110165,33.3544677425,57.3166975107,51.5192978487,0.0,5.79739966206
 01/04  21:00:00,96.1946828339,5.54618525427,0.121148371278,7.63865481191,36.5179666069,38.8247702939,68.3772061349,56.8036312005,0.0,11.5735749344
 01/04  22:00:00,90.2938944681,5.53226419016,0.173943366592,7.21347113309,32.965339924,36.8579353714,75.3268428982,57.890010006,0.0,17.4368328923
 01/04  23:00:00,70.9903705908,5.68481611488,0.0471306840424,11.4317806153,25.6355707503,20.6438685092,70.7942927258,59.2050092351,0.0,11.5892834907
 01/04  24:00:00,56.1532849507,5.86523423485,0.023550741543,15.9913801966,15.0252895274,11.7056064465,66.6465431509,60.8712284513,0.0,5.77531469963
 01/05  01:00:00,53.6763541546,5.96016966047,0.013698203589,18.4552428049,11.6412384099,10.0650221343,68.2469272115,62.4791731646,0.0,5.76775404693
 01/05  02:00:00,53.781692956,6.02172076921,0.00609509246948,20.0674615962,10.0992000411,10.047477231,69.3787026868,63.6167656828,0.0,5.76193700402
 01/05  03:00:00,53.2576651937,6.07125569538,0.000232695537475,21.3593205723,8.25718729233,10.0299323277,70.1244748227,64.3625619505,0.0,5.76191287224
