Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,90.0039684716,14.6211893877,0.0,0.0,3.49369000822,6.81298672936,57.0339706521,55.2627206521,1.75125,0.02
 01/01  02:00:00,90.421247174,15.2991469251,0.0,0.0,3.49369000822,6.81298672936,70.6520280644,68.8807780644,1.75125,0.02
 01/01  03:00:00,88.0632653141,13.1318367898,0.0,0.0,3.49369000822,6.81298672936,66.3661489008,63.4505506391,1.75125,1.16434826176
 01/01  04:00:00,92.9290106568,18.3073511978,0.0,0.0,3.49369000822,6.81298672936,98.0195899191,96.2483399191,1.75125,0.02
 01/01  05:00:00,97.861055914,16.4587106819,0.0,0.0,3.49369000822,6.81298672936,84.2393400423,82.4680900423,1.75125,0.02
 01/01  06:00:00,95.4822364203,14.5589921828,0.0,0.0,3.49369000822,6.81298672936,77.0769377623,74.1613660122,1.75125,1.16432175012
 01/01  07:00:00,121.933730728,27.2936253296,0.0,0.0,6.98738001645,14.1499734587,634.90819692,631.38569692,3.5025,0.02
 01/01  08:00:00,120.887296344,27.2936253296,0.0,0.0,6.98738001645,14.1499734587,579.821998702,576.299498702,3.5025,0.02
 01/01  09:00:00,153.022949635,27.2936253296,0.0,0.0,6.98738001645,14.1499734587,496.165360179,491.498452852,3.5025,1.16440732728
 01/01  10:00:00,125.563059793,27.2936253296,0.0,0.0,6.98738001645,14.1499734587,473.977823344,470.455323344,3.5025,0.02
 01/01  11:00:00,160.21894498,27.2936253296,0.0,0.0,27.9495200658,27.7759469175,440.056554091,431.886755591,7.005,1.16479850067
 01/01  12:00:00,191.652317449,27.2936253296,0.0,0.0,27.9495200658,27.7759469175,416.583964702,408.414154767,7.005,1.16480993441
 01/01  13:00:00,198.832288304,27.2936253296,0.0,0.0,41.9242800987,36.8599292233,383.982577126,373.477598781,9.34,1.164978345
 01/01  14:00:00,196.036032673,27.2936253296,0.0,0.0,41.9242800987,36.8599292233,375.057844272,364.552973334,9.34,1.16487093833
 01/01  15:00:00,192.266577448,27.2936253296,0.0,0.0,41.9242800987,36.8599292233,376.971413649,367.611413649,9.34,0.02
 01/01  16:00:00,188.867595953,27.2936253296,0.0,0.0,41.9242800987,36.8599292233,372.544648491,362.039737237,9.34,1.16491125367
 01/01  17:00:00,195.673221359,27.2936253296,0.0,0.0,41.9242800987,36.8599292233,365.877310394,355.372477889,9.34,1.16483250483
 01/01  18:00:00,174.039991339,27.2936253296,0.0,0.0,27.9495200658,27.7759469175,426.446019474,418.276149911,7.005,1.16486956381
 01/01  19:00:00,180.516022264,27.2936253296,0.0,0.0,13.9747600329,18.6919646116,437.642246802,431.807603746,4.67,1.16464305541
 01/01  20:00:00,160.619051425,27.2936253296,0.0,0.0,13.9747600329,18.6919646116,427.682419548,422.992419548,4.67,0.02
 01/01  21:00:00,151.850917901,27.2936253296,0.0,0.0,13.9747600329,18.6919646116,429.369108889,423.534500703,4.67,1.16460818547
 01/01  22:00:00,137.59573537,27.2936253296,0.0,0.0,13.9747600329,18.6919646116,386.941931958,381.107439851,4.67,1.16449210692
 01/01  23:00:00,77.0837800354,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,112.859670326,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,96.2937201158,12.2431752335,0.0,0.0,3.49369000822,9.08398230582,35.0059326141,31.5066712639,2.335,1.16426135019
 01/02  02:00:00,90.1487050542,12.3154435898,0.0,0.0,3.49369000822,9.08398230582,34.3194723658,31.9644723658,2.335,0.02
 01/02  03:00:00,87.4927989123,9.65740482399,0.0,0.0,3.49369000822,9.08398230582,25.1968047025,22.8418047025,2.335,0.02
