Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,111.209438497,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,108.755577541,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,107.237643906,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557491907,0.0,1.75125,1.16432491907
 01/01  04:00:00,103.442530358,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,106.045281078,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,102.997683051,0.0,0.0,0.0,3.49369000822,6.81298672936,2.915560629,0.0,1.75125,1.164310629
 01/01  07:00:00,140.06795664,27.2650920634,0.0,0.0,6.98738001645,14.1499734587,242.57851476,239.05601476,3.5025,0.02
 01/01  08:00:00,142.456144736,27.2650920634,0.0,0.0,6.98738001645,14.1499734587,234.722461697,231.199961697,3.5025,0.02
 01/01  09:00:00,171.26694159,27.2650920634,0.0,0.0,6.98738001645,14.1499734587,214.214366216,209.547458954,3.5025,1.16440726132
 01/01  10:00:00,146.790716591,27.2650920634,0.0,0.0,6.98738001645,14.1499734587,203.776115592,200.253615592,3.5025,0.02
 01/01  11:00:00,181.182793848,27.2650920634,0.0240219390309,0.0,27.9495200658,27.7759469175,183.136142913,174.966344474,7.005,1.16479843943
 01/01  12:00:00,212.320437843,27.2650920634,0.0,0.0,27.9495200658,27.7759469175,172.203143124,164.033333262,7.005,1.16480986119
 01/01  13:00:00,229.280821565,27.2650920634,0.333396521955,0.0,41.9242800987,36.8599292233,134.054522744,123.549544475,9.34,1.16497826995
 01/01  14:00:00,237.421024942,27.2650920634,0.780765916821,0.0,41.9242800987,36.8599292233,101.067890791,90.5630199402,9.34,1.16487085068
 01/01  15:00:00,238.519173937,27.2650920634,0.95688556191,0.0,41.9242800987,36.8599292233,85.3927370164,76.0327370164,9.34,0.02
 01/01  16:00:00,235.945285796,27.2650920634,1.04712473006,0.0,41.9242800987,36.8599292233,84.5616821808,74.056771017,9.34,1.16491116388
 01/01  17:00:00,239.767042921,27.2650920634,0.945534068846,0.0,41.9242800987,36.8599292233,95.4050828381,84.9002504231,9.34,1.16483241495
 01/01  18:00:00,214.298875024,27.2650920634,0.230065427664,0.0,27.9495200658,27.7759469175,120.144801805,111.974932317,7.005,1.16486948835
 01/01  19:00:00,216.679260842,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,128.908426284,123.073783328,4.67,1.16464295546
 01/01  20:00:00,200.445243726,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,131.268448571,126.578448571,4.67,0.02
 01/01  21:00:00,190.14464229,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,133.661334855,127.826726775,4.67,1.16460807982
 01/01  22:00:00,171.408225195,27.2650920634,0.0190968680426,0.0,13.9747600329,18.6919646116,91.326228488,85.4917364871,4.67,1.16449200089
 01/01  23:00:00,113.928366636,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,146.063596737,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,122.553667772,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923832955,0.0,2.335,1.16423832955
 01/02  02:00:00,113.839251748,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,113.65908194,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,113.178926398,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924420886,0.0,2.335,1.16424420886
 01/02  05:00:00,119.219698438,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,117.896802567,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,169.225518187,27.2650920634,0.0485065895048,0.0,13.9747600329,18.6919646116,136.364230905,131.674230905,4.67,0.02
 01/02  08:00:00,177.89502103,27.2650920634,0.0178806833768,0.0,13.9747600329,18.6919646116,130.494931325,124.660464349,4.67,1.16446697548
 01/02  09:00:00,249.810524477,27.2650920634,0.372405849218,0.0,34.9369000822,32.3179380704,108.492388464,99.1552522323,8.1725,1.16463623222
 01/02  10:00:00,279.926720631,27.2650920634,1.43937734597,0.0,62.886420148,41.4019203762,79.7170229368,69.1895229368,10.5075,0.02
 01/02  11:00:00,275.409577626,27.2650920634,2.04109924708,0.0,62.886420148,41.4019203762,63.5016911618,51.8291694086,10.5075,1.16502175316
 01/02  12:00:00,300.118143292,27.2650920634,2.60909175489,0.0,62.886420148,41.4019203762,49.9277758731,37.1095917913,10.5075,2.31068408184
 01/02  13:00:00,289.129625622,27.2650920634,2.95990557122,0.0,62.886420148,41.4019203762,40.2036721061,28.5307404211,10.5075,1.16543168498
 01/02  14:00:00,288.811485526,27.2650920634,3.20936728894,0.0,62.886420148,41.4019203762,38.5116515371,26.8387276199,10.5075,1.16542391714
 01/02  15:00:00,284.160275251,27.2650920634,3.4432682145,0.0,62.886420148,41.4019203762,35.0736158087,23.4009355468,10.5075,1.16518026188
 01/02  16:00:00,278.093450081,27.2650920634,3.34025959862,0.0,62.886420148,41.4019203762,43.063973812,30.2462760656,10.5075,2.3101977464
 01/02  17:00:00,276.159373397,27.2650920634,2.69707791086,0.0,62.886420148,41.4019203762,64.9892462262,53.3166641378,10.5075,1.16508208832
 01/02  18:00:00,280.435295684,27.2650920634,2.09939334922,0.0,62.886420148,41.4019203762,84.8714149262,73.198734364,10.5075,1.16518056218
 01/02  19:00:00,270.439800615,27.2650920634,1.13542500095,0.0,41.9242800987,36.8599292233,101.899900917,91.3948178283,9.34,1.16508308819
 01/02  20:00:00,252.727315218,27.2650920634,0.798239262927,0.0,41.9242800987,36.8599292233,120.74695155,110.242157101,9.34,1.16479444949
 01/02  21:00:00,224.678869704,27.2650920634,0.510923732383,0.0,34.9369000822,32.3179380704,129.386893016,121.194393016,8.1725,0.02
 01/02  22:00:00,162.29660687,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,98.4106617551,92.5760035157,4.67,1.16465823937
 01/02  23:00:00,106.437074547,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,138.310668247,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934191244,0.0,2.335,1.16434191244
 01/03  01:00:00,109.187664483,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,100.507418702,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,99.9834870826,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992614924,0.0,2.335,1.1642614924
 01/03  04:00:00,99.9769490026,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,123.466792831,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  06:00:00,122.940000093,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49922811119,0.0,2.335,1.16422811119
 01/03  07:00:00,173.862743296,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,193.759096062,189.069096062,4.67,0.02
 01/03  08:00:00,169.436995522,27.2650920634,0.0,0.0,13.9747600329,18.6919646116,194.081818946,189.391818946,4.67,0.02
