Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,81.1566199095,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,80.3152340637,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,79.9663459732,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557494756,0.0,1.75125,1.16432494756
 01/01  04:00:00,79.6469642487,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,85.7153820662,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,93.1242028936,7.91463144874,0.0,0.0,3.49369000822,6.81298672936,14.3196161688,11.4040555105,1.75125,1.16431065827
 01/01  07:00:00,125.497369851,27.2677804466,0.0,0.0,6.98738001645,14.1499734587,402.341212091,398.818712091,3.5025,0.02
 01/01  08:00:00,126.617323149,27.2677804466,0.0,0.0,6.98738001645,14.1499734587,369.544890332,366.022390332,3.5025,0.02
 01/01  09:00:00,158.804513741,27.2677804466,0.0,0.0,6.98738001645,14.1499734587,333.826035312,329.159128017,3.5025,1.16440729416
 01/01  10:00:00,132.563403373,27.2677804466,0.0,0.0,6.98738001645,14.1499734587,317.73558975,314.21308975,3.5025,0.02
 01/01  11:00:00,166.628193057,27.2677804466,0.0,0.0,27.9495200658,27.7759469175,289.641660191,281.471861722,7.005,1.16479846893
 01/01  12:00:00,197.406127826,27.2677804466,0.0,0.0,27.9495200658,27.7759469175,273.527321675,265.357511773,7.005,1.1648099023
 01/01  13:00:00,205.454692318,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,250.092023338,239.587045024,9.34,1.16497831442
 01/01  14:00:00,203.095336274,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,243.688666874,233.183795977,9.34,1.16487089734
 01/01  15:00:00,198.512868575,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,236.779071255,227.419071255,9.34,0.02
 01/01  16:00:00,194.787672851,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,232.452453003,221.947541792,9.34,1.1649112109
 01/01  17:00:00,201.283741528,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,232.463738678,221.958906216,9.34,1.16483246194
 01/01  18:00:00,178.545024661,27.2677804466,0.0,0.0,27.9495200658,27.7759469175,272.998874878,264.829141585,7.005,1.1647332932
 01/01  19:00:00,183.821703773,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,294.758546324,288.923903287,4.67,1.16464303654
 01/01  20:00:00,163.998783077,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,299.783420061,295.093420061,4.67,0.02
 01/01  21:00:00,155.626065836,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,302.746058382,296.911450199,4.67,1.1646081829
 01/01  22:00:00,141.588053004,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,259.509213069,253.674720963,4.67,1.1644921057
 01/01  23:00:00,82.9625341314,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,118.311859396,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,89.8364582006,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992384306,0.0,2.335,1.1642384306
 01/02  02:00:00,82.4229991898,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,81.549044883,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,84.6566655561,3.95731572437,0.0,0.0,3.49369000822,9.08398230582,10.9320824165,7.43280376426,2.335,1.16427865225
 01/02  05:00:00,94.7983136458,7.91463144874,0.0,0.0,3.49369000822,9.08398230582,17.1572407657,14.8022407657,2.335,0.02
 01/02  06:00:00,98.2464501653,11.8719471731,0.0,0.0,3.49369000822,9.08398230582,26.4978547559,24.1428547559,2.335,0.02
 01/02  07:00:00,138.022130661,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,403.473776243,398.783776243,4.67,0.02
 01/02  08:00:00,137.861656182,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,373.450873465,367.616406395,4.67,1.16446707026
 01/02  09:00:00,210.47599444,27.2677804466,0.0,0.0,34.9369000822,32.3179380704,339.087386708,329.750250376,8.1725,1.16463633184
 01/02  10:00:00,235.589643058,27.2677804466,0.0,0.0,62.886420148,41.4019203762,298.646847283,288.119347283,10.5075,0.02
 01/02  11:00:00,225.834081162,27.2677804466,0.0,0.0,62.886420148,41.4019203762,289.521620006,277.849098151,10.5075,1.165021855
 01/02  12:00:00,255.940041389,27.2677804466,0.0,0.0,62.886420148,41.4019203762,276.074130038,263.255945736,10.5075,2.31068430207
 01/02  13:00:00,235.742426374,27.2677804466,0.0,0.0,62.886420148,41.4019203762,276.298154014,264.625222218,10.5075,1.16543179609
 01/02  14:00:00,232.776012016,27.2677804466,0.0,0.0,62.886420148,41.4019203762,276.704488323,265.031564295,10.5075,1.16542402816
 01/02  15:00:00,228.840289409,27.2677804466,0.0,0.0,62.886420148,41.4019203762,273.656770283,261.984089911,10.5075,1.16518037283
 01/02  16:00:00,225.499438913,27.2677804466,0.0,0.0,62.886420148,41.4019203762,269.899881424,257.082183456,10.5075,2.31019796781
 01/02  17:00:00,232.176536486,27.2677804466,0.0,0.0,62.886420148,41.4019203762,269.750614538,258.078032339,10.5075,1.16508219912
 01/02  18:00:00,238.082017968,27.2677804466,0.0,0.0,62.886420148,41.4019203762,275.179770801,263.507090129,10.5075,1.16518067284
 01/02  19:00:00,236.687635234,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,280.92565571,270.420572512,9.34,1.16508319856
 01/02  20:00:00,220.415235587,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,288.93185484,278.427060281,9.34,1.16479455974
 01/02  21:00:00,195.136136229,27.2677804466,0.0,0.0,34.9369000822,32.3179380704,294.6688307,286.4763307,8.1725,0.02
 01/02  22:00:00,137.944082073,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,271.179395061,265.34481228,4.67,1.16458278137
 01/02  23:00:00,81.1533840275,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,116.732303387,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934202158,0.0,2.335,1.16434202158
 01/03  01:00:00,85.0960789835,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,78.0511571881,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  03:00:00,85.9205134838,7.91463144874,0.0,0.0,3.49369000822,9.08398230582,18.5633096128,15.0640480104,2.335,1.16426160242
 01/03  04:00:00,89.8333807991,11.8719471731,0.0,0.0,3.49369000822,9.08398230582,29.357327541,27.002327541,2.335,0.02
 01/03  05:00:00,112.495796896,12.064502441,0.0,0.0,3.49369000822,9.08398230582,31.3898776904,29.0348776904,2.335,0.02
 01/03  06:00:00,108.761469248,8.34788080143,0.0,0.0,3.49369000822,9.08398230582,25.3652129107,21.8659503118,2.335,1.16426259886
 01/03  07:00:00,153.224208807,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,439.197825479,434.507825479,4.67,0.02
 01/03  08:00:00,144.887169052,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,396.8008284,392.1108284,4.67,0.02
 01/03  09:00:00,208.432095526,27.2677804466,0.0,0.0,34.9369000822,32.3179380704,350.459150524,341.121965883,8.1725,1.16468464031
 01/03  10:00:00,232.584762218,27.2677804466,0.0,0.0,62.886420148,41.4019203762,305.457021351,293.78476892,10.5075,1.1647524312
 01/03  11:00:00,222.828484722,27.2677804466,0.0,0.0,62.886420148,41.4019203762,295.145469725,283.472920686,10.5075,1.1650490389
 01/03  12:00:00,253.390060708,27.2677804466,0.0,0.0,62.886420148,41.4019203762,282.082939863,270.410204303,10.5075,1.16523556039
 01/03  13:00:00,233.079111202,27.2677804466,0.0,0.0,62.886420148,41.4019203762,270.708724211,257.890590872,10.5075,2.31063333919
 01/03  14:00:00,230.138803285,27.2677804466,0.0,0.0,62.886420148,41.4019203762,249.932335156,238.259518851,10.5075,1.1653163053
 01/03  15:00:00,226.456978988,27.2677804466,0.0,0.0,62.886420148,41.4019203762,238.066948291,226.394157424,10.5075,1.16529086665
 01/03  16:00:00,223.080570089,27.2677804466,0.0,0.0,62.886420148,41.4019203762,233.258677616,221.586153937,10.5075,1.16502367904
 01/03  17:00:00,229.747576575,27.2677804466,0.0,0.0,62.886420148,41.4019203762,243.264447061,231.591848946,10.5075,1.16509811445
 01/03  18:00:00,236.484344195,27.2677804466,0.0,0.0,62.886420148,41.4019203762,265.086289782,253.413600306,10.5075,1.16518947571
 01/03  19:00:00,235.785037698,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,279.506863929,269.001728475,9.34,1.16513545349
 01/03  20:00:00,213.11140772,27.2677804466,0.0,0.0,41.9242800987,36.8599292233,294.264114601,283.759199321,9.34,1.16491528026
 01/03  21:00:00,188.626838414,27.2677804466,0.0,0.0,34.9369000822,32.3179380704,305.132083713,295.794642727,8.1725,1.16494098562
 01/03  22:00:00,132.984257868,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,281.695601275,275.860980404,4.67,1.16462087081
 01/03  23:00:00,80.2867657038,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,115.831762544,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  01:00:00,84.6421547177,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925313648,0.0,2.335,1.16425313648
 01/04  02:00:00,77.9773660329,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,89.869652917,11.8719471731,0.0,0.0,3.49369000822,9.08398230582,27.3052359396,24.9502359396,2.335,0.02
 01/04  04:00:00,89.9225742191,11.8719471731,0.0,0.0,3.49369000822,9.08398230582,29.559283996,26.0600239633,2.335,1.16426003274
 01/04  05:00:00,92.9625561707,8.34788080143,0.0,0.0,3.49369000822,9.08398230582,22.3790278338,20.0240278338,2.335,0.02
 01/04  06:00:00,96.3773261273,12.3051965258,0.0,0.0,3.49369000822,9.08398230582,35.7309482313,33.3759482313,2.335,0.02
 01/04  07:00:00,136.797707067,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,431.737356865,425.903123791,4.67,1.16423307432
 01/04  08:00:00,135.715961164,27.2677804466,0.0,0.0,13.9747600329,18.6919646116,389.680047911,384.990047911,4.67,0.02
 01/04  09:00:00,208.358211891,27.2677804466,0.0,0.0,34.9369000822,32.3179380704,341.518902984,332.181827751,8.1725,1.16457523332
 01/04  10:00:00,232.667286524,27.2677804466,0.0,0.0,62.886420148,41.4019203762,293.740057976,283.212557976,10.5075,0.02
 01/04  11:00:00,223.08844123,27.2677804466,0.0,0.0,62.886420148,41.4019203762,273.397351728,261.724737617,10.5075,1.16511411031
 01/04  12:00:00,254.579580832,27.2677804466,0.0,0.0,62.886420148,41.4019203762,256.230670234,243.412292553,10.5075,2.31087768146
 01/04  13:00:00,235.3866889,27.2677804466,0.0,0.0,62.886420148,41.4019203762,242.04137691,230.368344252,10.5075,1.16553265762
 01/04  14:00:00,232.683758497,27.2677804466,0.0,0.0,62.886420148,41.4019203762,235.761500704,224.088473355,10.5075,1.16552734913
