Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,97.7817574231,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,96.7808783389,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,94.7104006177,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91560683346,0.0,1.75125,1.16435683346
 01/01  04:00:00,92.0297558665,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,95.7461086287,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,92.4060805025,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155324521,0.0,1.75125,1.1642824521
 01/01  07:00:00,131.286717515,29.1725669616,0.0,0.0,6.98738001645,14.1499734587,351.847031661,348.324531661,3.5025,0.02
 01/01  08:00:00,140.296937157,29.1725669616,0.0,0.0,6.98738001645,14.1499734587,327.270631007,323.748131007,3.5025,0.02
 01/01  09:00:00,160.933057279,29.1725669616,0.0,0.0,6.98738001645,14.1499734587,295.000238834,290.333354017,3.5025,1.1643848171
 01/01  10:00:00,134.510462481,29.1725669616,0.0,0.0,6.98738001645,14.1499734587,288.797609166,285.275109166,3.5025,0.02
 01/01  11:00:00,169.039586811,29.1725669616,0.0,0.0,27.9495200658,27.7759469175,259.622491046,251.452733052,7.005,1.16475799404
 01/01  12:00:00,200.596313543,29.1725669616,0.0,0.0,27.9495200658,27.7759469175,241.321072437,233.151267492,7.005,1.16480494541
 01/01  13:00:00,209.663387275,29.1725669616,0.00743014720543,0.0,41.9242800987,36.8599292233,220.357952419,209.852946663,9.34,1.1650057558
 01/01  14:00:00,208.218854543,29.1725669616,0.0,0.0,41.9242800987,36.8599292233,206.384828302,195.879890051,9.34,1.16493825141
 01/01  15:00:00,204.874146414,29.1725669616,0.0,0.0,41.9242800987,36.8599292233,206.661872835,196.156863139,9.34,1.16500969625
 01/01  16:00:00,203.064795582,29.1725669616,0.0,0.0,41.9242800987,36.8599292233,204.184869251,193.679925357,9.34,1.16494389485
 01/01  17:00:00,204.263987461,29.1725669616,0.0,0.0,41.9242800987,36.8599292233,198.920630395,188.415696393,9.34,1.16493400242
 01/01  18:00:00,186.824088344,29.1725669616,0.0,0.0,27.9495200658,27.7759469175,227.529947243,220.504947243,7.005,0.02
 01/01  19:00:00,195.439201555,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,242.263376094,236.428616002,4.67,1.16476009191
 01/01  20:00:00,177.645336153,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,248.475634389,242.640918936,4.67,1.16471545334
 01/01  21:00:00,167.930966798,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,249.510915117,243.676308537,4.67,1.16460658002
 01/01  22:00:00,152.823536671,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,192.021295771,187.331295771,4.67,0.02
 01/01  23:00:00,95.483942841,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559946636,0.0,1.75125,1.16434946636
 01/01  24:00:00,131.396263651,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,107.021089047,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,100.238380049,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,100.511036065,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49929580377,0.0,2.335,1.16429580377
 01/02  04:00:00,100.517103789,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,107.298558795,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,106.799367181,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992760961,0.0,2.335,1.1642760961
 01/02  07:00:00,159.960995797,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,207.016213245,202.326213245,4.67,0.02
 01/02  08:00:00,175.729755548,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,190.968380856,185.133910561,4.67,1.16447029499
 01/02  09:00:00,238.570849357,29.1725669616,0.0322512525435,0.0,34.9369000822,32.3179380704,162.889468352,154.696968352,8.1725,0.02
 01/02  10:00:00,267.935109907,29.1725669616,0.368176464446,0.0,62.886420148,41.4019203762,134.587714385,122.915315398,10.5075,1.16489898672
 01/02  11:00:00,262.337185174,29.1725669616,0.683816277585,0.0,62.886420148,41.4019203762,124.350156551,112.677636772,10.5075,1.16501977908
 01/02  12:00:00,288.835150255,29.1725669616,0.875013306938,0.0,62.886420148,41.4019203762,111.938105956,100.265101636,10.5075,1.16550431979
 01/02  13:00:00,273.955570342,29.1725669616,0.973794868619,0.0,62.886420148,41.4019203762,107.539892339,94.7213958789,10.5075,2.31099646022
 01/02  14:00:00,273.765024787,29.1725669616,1.10039439854,0.0,62.886420148,41.4019203762,90.3645867083,78.6916770885,10.5075,1.16540961975
 01/02  15:00:00,269.669819285,29.1725669616,1.22475838724,0.0,62.886420148,41.4019203762,79.5522380975,67.8795373505,10.5075,1.16520074699
 01/02  16:00:00,267.463511237,29.1725669616,1.36449242734,0.0,62.886420148,41.4019203762,74.1398597918,61.3219864248,10.5075,2.31037336695
 01/02  17:00:00,268.099653716,29.1725669616,1.44710622648,0.0,62.886420148,41.4019203762,74.4378134001,62.7650721545,10.5075,1.16524124561
 01/02  18:00:00,278.249386206,29.1725669616,1.43312770511,0.0,62.886420148,41.4019203762,80.9586382038,69.2860092322,10.5075,1.16512897156
 01/02  19:00:00,277.558330061,29.1725669616,1.14335454122,0.0,41.9242800987,36.8599292233,86.9538270705,76.4487321984,9.34,1.16509487205
 01/02  20:00:00,265.510922467,29.1725669616,1.06728047561,0.0,41.9242800987,36.8599292233,94.020780724,83.5159102778,9.34,1.16487044617
 01/02  21:00:00,240.651473547,29.1725669616,0.817909300419,0.0,34.9369000822,32.3179380704,98.0818005424,88.7443645579,8.1725,1.16493598446
 01/02  22:00:00,174.547520067,29.1725669616,0.0325977621581,0.0,13.9747600329,18.6919646116,67.8652286661,63.1752286661,4.67,0.02
 01/02  23:00:00,114.464187524,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49946080422,0.0,2.335,1.16446080422
 01/02  24:00:00,145.054567671,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,117.31926204,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,106.768792111,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930604456,0.0,2.335,1.16430604456
 01/03  03:00:00,103.753276314,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,101.430384081,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,121.652506131,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923477553,0.0,2.335,1.16423477553
 01/03  06:00:00,120.383015139,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  07:00:00,172.664549702,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,212.094396832,207.404396832,4.67,0.02
 01/03  08:00:00,177.316596462,29.1725669616,0.0,0.0,13.9747600329,18.6919646116,221.085553214,215.251013677,4.67,1.16453953695
 01/03  09:00:00,226.467655224,29.1725669616,0.00866864823669,0.0,34.9369000822,32.3179380704,210.844884455,201.507746299,8.1725,1.16463815656
 01/03  10:00:00,251.822214931,29.1725669616,0.0356853025295,0.0,62.886420148,41.4019203762,180.005357401,169.477857401,10.5075,0.02
 01/03  11:00:00,242.359761655,29.1725669616,0.243770315707,0.0,62.886420148,41.4019203762,170.396517328,158.72392267,10.5075,1.1650946582
 01/03  12:00:00,271.271955628,29.1725669616,0.388356467812,0.0,62.886420148,41.4019203762,161.602298692,148.783776681,10.5075,2.31102201095
 01/03  13:00:00,252.839076618,29.1725669616,0.486697366727,0.0,62.886420148,41.4019203762,159.222101032,147.548916231,10.5075,1.16568480102
 01/03  14:00:00,251.622271638,29.1725669616,0.593516402757,0.0,62.886420148,41.4019203762,154.924839284,142.106480373,10.5075,2.31085891127
 01/03  15:00:00,248.924689269,29.1725669616,0.719941338416,0.0,62.886420148,41.4019203762,144.415903254,132.743251589,10.5075,1.16515166448
 01/03  16:00:00,246.780072218,29.1725669616,0.752878604667,0.0,62.886420148,41.4019203762,142.449913831,130.777240861,10.5075,1.16517297052
 01/03  17:00:00,246.297159742,29.1725669616,0.74770375427,0.0,62.886420148,41.4019203762,146.981733955,135.308929775,10.5075,1.16530417993
 01/03  18:00:00,254.858376544,29.1725669616,0.606104270297,0.0,62.886420148,41.4019203762,165.18517117,153.512482843,10.5075,1.16518832675
 01/03  19:00:00,252.921622097,29.1725669616,0.248189860123,0.0,41.9242800987,36.8599292233,181.25776148,170.752583281,9.34,1.16517819894
 01/03  20:00:00,230.624314672,29.1725669616,0.0838611348315,0.0,41.9242800987,36.8599292233,195.273852573,184.768861761,9.34,1.16499081274
