Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,78.7653377332,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,85.3238132044,8.23493921175,0.0,0.0,3.49369000822,6.81298672936,17.9179451836,16.1466951836,1.75125,0.02
 01/01  03:00:00,88.3399052334,12.3524088176,0.0,0.0,3.49369000822,6.81298672936,32.1658227582,29.2502158777,1.75125,1.1643568805
 01/01  04:00:00,88.3698495918,12.5781049839,0.0,0.0,3.49369000822,6.81298672936,32.90000478,31.12875478,1.75125,0.02
 01/01  05:00:00,90.9770256259,8.6863315443,0.0,0.0,3.49369000822,6.81298672936,25.3444125639,23.5731625639,1.75125,0.02
 01/01  06:00:00,96.2994293097,14.6154085729,0.0,0.0,3.49369000822,6.81298672936,42.7802518286,39.8646798709,1.75125,1.16432195767
 01/01  07:00:00,124.152604747,28.8889227166,0.0,0.0,6.98738001645,14.1499734587,483.296624495,479.774124495,3.5025,0.02
 01/01  08:00:00,123.06306746,28.8889227166,0.0,0.0,6.98738001645,14.1499734587,443.73322563,440.21072563,3.5025,0.02
 01/01  09:00:00,154.989965114,28.8889227166,0.0,0.0,6.98738001645,14.1499734587,396.255558656,391.58867383,3.5025,1.16438482586
 01/01  10:00:00,127.888270019,28.8889227166,0.0,0.0,6.98738001645,14.1499734587,383.38536842,379.86286842,3.5025,0.02
 01/01  11:00:00,162.999060323,28.8889227166,0.0,0.0,27.9495200658,27.7759469175,347.773939335,339.604181334,7.005,1.1647580018
 01/01  12:00:00,195.693864059,28.8889227166,0.0,0.0,27.9495200658,27.7759469175,325.616182686,317.446377733,7.005,1.16480495352
 01/01  13:00:00,204.658841145,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,296.987236117,286.482230384,9.34,1.16500573263
 01/01  14:00:00,202.965272713,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,288.825672939,278.320734665,9.34,1.16493827463
 01/01  15:00:00,199.465292466,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,279.842909389,269.337899662,9.34,1.16500972731
 01/01  16:00:00,196.382206608,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,277.746201668,267.241257742,9.34,1.16494392656
 01/01  17:00:00,206.334885834,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,277.678810065,267.173876031,9.34,1.16493403425
 01/01  18:00:00,181.0323635,28.8889227166,0.0,0.0,27.9495200658,27.7759469175,319.105183546,312.080183546,7.005,0.02
 01/01  19:00:00,186.577425959,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,336.509810604,330.675051758,4.67,1.16475884608
 01/01  20:00:00,167.271961939,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,340.133216236,334.29850082,4.67,1.16471541594
 01/01  21:00:00,158.018072712,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,345.361864236,339.527257705,4.67,1.16460653172
 01/01  22:00:00,142.690503931,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,305.118718623,300.428718623,4.67,0.02
 01/01  23:00:00,81.4486414707,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559941664,0.0,1.75125,1.16434941664
 01/01  24:00:00,116.723352196,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,87.2132216068,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,88.0134234579,8.23493921175,0.0,0.0,3.49369000822,9.08398230582,16.8725650658,14.5175650658,2.335,0.02
 01/02  03:00:00,87.2180315252,8.23493921175,0.0,0.0,3.49369000822,9.08398230582,19.6289097429,16.1296139517,2.335,1.16429579119
 01/02  04:00:00,90.5831170731,12.3524088176,0.0,0.0,3.49369000822,9.08398230582,32.0146868479,29.6596868479,2.335,0.02
 01/02  05:00:00,97.2943869568,12.6345290255,0.00136049697827,0.0,3.49369000822,9.08398230582,33.641459866,31.286459866,2.335,0.02
 01/02  06:00:00,92.8308862406,8.6863315443,0.0,0.0,3.49369000822,9.08398230582,27.0850709135,23.585794824,2.335,1.16427608944
 01/02  07:00:00,138.248123817,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,449.008519435,444.318519435,4.67,0.02
 01/02  08:00:00,137.206779928,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,409.847031114,404.012560824,4.67,1.16447029055
 01/02  09:00:00,209.856786611,28.8889227166,0.0,0.0,34.9369000822,32.3179380704,381.303387265,373.110887265,8.1725,0.02
 01/02  10:00:00,233.814164155,28.8889227166,0.0,0.0,62.886420148,41.4019203762,349.168728614,337.496329632,10.5075,1.164898982
 01/02  11:00:00,224.135092847,28.8889227166,0.0,0.0,62.886420148,41.4019203762,333.522412077,321.849892279,10.5075,1.16501979774
 01/02  12:00:00,254.9360215,28.8889227166,0.0,0.0,62.886420148,41.4019203762,319.147932984,307.474928638,10.5075,1.16550434532
 01/02  13:00:00,234.593048543,28.8889227166,0.0,0.0,62.886420148,41.4019203762,314.877536753,302.05904024,10.5075,2.31099651303
 01/02  14:00:00,231.53537336,28.8889227166,0.0,0.0,62.886420148,41.4019203762,312.851697719,301.178788073,10.5075,1.16540964637
 01/02  15:00:00,227.647616081,28.8889227166,0.0,0.0,62.886420148,41.4019203762,312.601167563,300.928466789,10.5075,1.16520077359
 01/02  16:00:00,224.207358754,28.8889227166,0.0,0.0,62.886420148,41.4019203762,316.233660103,303.415786683,10.5075,2.31037341995
 01/02  17:00:00,234.336154202,28.8889227166,0.0,0.0,62.886420148,41.4019203762,320.579990099,308.907248827,10.5075,1.16524127211
 01/02  18:00:00,237.70548143,28.8889227166,0.0,0.0,62.886420148,41.4019203762,324.731565609,313.058936611,10.5075,1.16512899797
 01/02  19:00:00,237.104514263,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,334.706232278,324.20113738,9.34,1.1650948985
 01/02  20:00:00,220.894252024,28.8889227166,0.0,0.0,41.9242800987,36.8599292233,343.223272543,332.71840207,9.34,1.16487047258
 01/02  21:00:00,196.037370633,28.8889227166,0.0,0.0,34.9369000822,32.3179380704,354.540777643,345.203341632,8.1725,1.16493601084
 01/02  22:00:00,139.154609571,28.8889227166,0.0,0.0,13.9747600329,18.6919646116,336.409645194,331.719645194,4.67,0.02
 01/02  23:00:00,79.2856661031,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49948863588,0.0,2.335,1.16448863588
 01/02  24:00:00,119.221145654,4.11746960588,0.0,0.0,3.49369000822,9.08398230582,13.7684042544,11.4134042544,2.335,0.02
 01/03  01:00:00,96.4779272922,12.6063170047,0.0,0.0,3.49369000822,9.08398230582,39.7836214709,37.4286214709,2.335,0.02
 01/03  02:00:00,87.9062613268,10.2906406284,0.0,0.0,3.49369000822,9.08398230582,36.7478069943,33.2485008793,2.335,1.16430611496
 01/03  03:00:00,95.2982651981,18.0116966935,0.0,0.0,3.49369000822,9.08398230582,48.3436035299,45.9886035299,2.335,0.02
 01/03  04:00:00,93.4929528841,16.2945395262,0.0,0.0,3.49369000822,9.08398230582,64.3597511276,62.0047511276,2.335,0.02
