Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,77.5308730436,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,84.0223386059,8.29108868798,0.0,0.0,3.49369000822,6.81298672936,22.4684028723,20.6971528723,1.75125,0.02
 01/01  03:00:00,87.8748876745,12.436633032,0.0,0.0,3.49369000822,6.81298672936,37.2729665122,34.3573596363,1.75125,1.1643568759
 01/01  04:00:00,88.109985313,12.6922724779,0.0,0.0,3.49369000822,6.81298672936,36.1401027176,34.3688527176,1.75125,0.02
 01/01  05:00:00,90.4983490068,8.54672813393,0.0,0.0,3.49369000822,6.81298672936,26.5114884664,24.7402384664,1.75125,0.02
 01/01  06:00:00,94.318904851,12.9479119239,0.00163258958885,0.0,3.49369000822,6.81298672936,40.8864572196,37.9708852608,1.75125,1.16432195881
 01/01  07:00:00,124.17636972,29.0820750363,0.0,0.0,6.98738001645,14.1499734587,471.545602181,468.023102181,3.5025,0.02
 01/01  08:00:00,123.0411951,29.0820750363,0.0,0.0,6.98738001645,14.1499734587,424.907351978,421.384851978,3.5025,0.02
 01/01  09:00:00,155.047113177,29.0820750363,0.0,0.0,6.98738001645,14.1499734587,371.279152353,366.612267527,3.5025,1.16438482659
 01/01  10:00:00,128.039965341,29.0820750363,0.0,0.0,6.98738001645,14.1499734587,341.317391328,337.794891328,3.5025,0.02
 01/01  11:00:00,163.118070784,29.0820750363,0.0,0.0,27.9495200658,27.7759469175,295.723445921,287.553687918,7.005,1.1647580024
 01/01  12:00:00,194.244738776,29.0820750363,0.0,0.0,27.9495200658,27.7759469175,278.174048564,270.00424361,7.005,1.16480495417
 01/01  13:00:00,201.730211065,29.0820750363,0.0,0.0,41.9242800987,36.8599292233,249.723555098,239.218549364,9.34,1.16500573329
 01/01  14:00:00,199.362797299,29.0820750363,0.0,0.0,41.9242800987,36.8599292233,234.539515343,224.034577067,9.34,1.1649382753
